"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Abudefduf_abdominalis",-3.75069439904503,0,Inf,0,0,"0"
"2","Abudefduf_concolor",-3.75069439904503,0,Inf,0,0,"0"
"3","Abudefduf_vaigiensis",-3.75069439904503,0,Inf,0,0,"0"
"4","Abyssoberyx_levisquamosus",-1.21802128809746,0,Inf,0,0,"0"
"5","Acanthemblemaria_castroi",-0.850267889936378,0,Inf,0,0,"0"
"6","Acanthemblemaria_johnsoni",-0.850267889936378,0,Inf,0,0,"0"
"7","Acanthemblemaria_maria",-0.850267889936378,0,Inf,0,0,"0"
"8","Acanthemblemaria_rivasi",-0.850267889936378,0,Inf,0,0,"0"
"9","Acanthistius_ocellatus",-1.10996020306994,0,Inf,0,0,"0"
"10","Acanthocepola_krusensternii",0.13322980422743,1,86.677019577257,0,0,"0"
"11","Acanthochaenus_luetkenii",-1.21802128809746,0,Inf,0,0,"0"
"12","Acanthonus_armatus",0.723921636060134,0,-Inf,0,0,"0"
"13","Acanthopagrus_berda",0.24846280149212,1,75.153719850788,0,0,"0"
"14","Acanthoplesiops_cappuccino",-0.243353201766733,0,Inf,0,0,"0"
"15","Acanthurus_fowleri",-3.37784822333191,0,Inf,0,0,"0"
"16","Acanthurus_leucosternon",-3.37784822333191,0,Inf,0,0,"0"
"17","Acanthurus_triostegus",-3.37784822333191,0,Inf,0,0,"0"
"18","Acentrogobius_viganensis",1.25524571344468,1,-25.524571344468,0,0,"0"
"19","Acentrogobius_violarisi",1.25524571344468,1,-25.524571344468,0,0,"0"
"20","Acentrogobius_viridipunctatus",1.25524571344468,1,-25.524571344468,0,0,"0"
"21","Acentronura_tentaculata",-0.4656168023626,0,Inf,0,0,"0"
"22","Acreichthys_hajam",-1.13018631332756,1,213.018631332756,0,0,"0"
"23","Acroteriobatus_andysabini",1.44988554940477,1,-44.988554940477,0,0,"0"
"24","Acroteriobatus_leucospilus",1.44988554940477,1,-44.988554940477,0,0,"0"
"25","Acroteriobatus_omanensis",1.44988554940477,0,-Inf,0,0,"0"
"26","Acyrtus_lanthanum",0.628573567737496,0,-Inf,0,0,"0"
"27","Acyrtus_rubiginosus",0.628573567737496,1,37.1426432262504,0,0,"0"
"28","Agonopsis_vulsa",3.50197678765362,1,-250.197678765362,0,0,"0"
"29","Agrostichthys_parkeri",-2.16979951480304,0,Inf,0,0,"0"
"30","Akarotaxis_nudiceps",2.50797485387698,1,-150.797485387698,0,0,"0"
"31","Akheilos_suwartanai",0.467522516818712,0,-Inf,0,0,"0"
"32","Albula_virgata",-0.994659061243064,0,Inf,0,0,"0"
"33","Alepocephalus_bairdii",1.45968096235015,1,-45.968096235015,0,0,"0"
"34","Allips_concolor",0.86301403498806,1,13.698596501194,0,0,"0"
"35","Alphestes_multiguttatus",-0.478910813212561,1,147.891081321256,0,0,"0"
"36","Aluterus_scriptus",-0.638085461920411,0,Inf,0,0,"0"
"37","Amamiichthys_matsubarai",-0.168460025355681,0,Inf,0,0,"0"
"38","Amblyeleotris_fasciata",0.3274181297612,0,-Inf,0,0,"0"
"39","Amblyglyphidodon_indicus",-2.70848078809979,0,Inf,0,0,"0"
"40","Amblyglyphidodon_leucogaster",-2.70848078809979,0,Inf,0,0,"0"
"41","Amblygobius_magnusi",-0.948582256381835,1,194.858225638183,0,0,"0"
"42","Amblyotrypauchen_arctocephalus",0.52520078588,1,47.479921412,0,0,"0"
"43","Amblypomacentrus_vietnamicus",-3.35321017636316,0,Inf,0,0,"0"
"44","Amblyraja_frerichsi",2.70461087567801,1,-170.461087567801,0,0,"0"
"45","Ambophthalmos_magnicirrus",2.89510654178153,1,-189.510654178153,0,0,"0"
"46","Ammodytes_marinus",0.745064594118651,0,-Inf,0,0,"0"
"47","Amphiarius_rugispinis",2.05175404485125,1,-105.175404485125,0,0,"0"
"48","Amphiprion_thiellei",-3.95005696501807,0,Inf,0,0,"0"
"49","Anampses_twistii",-2.81477324514004,0,Inf,0,0,"0"
"50","Anarchias_allardicei",-0.437718105363305,1,143.77181053633,0,0,"0"
"51","Anarchias_euryurus",-0.437718105363305,1,143.77181053633,0,0,"0"
"52","Anarchias_similis",-0.437718105363305,0,Inf,0,0,"0"
"53","Anarhichas_denticulatus",2.23830234704794,0,-Inf,1,1,"Anarhichas_denticulatus"
"54","Anchoa_belizensis",-5.47365144154297,0,Inf,1,2,"Anchoa_belizensis"
"55","Anchoa_compressa",-5.47365144154297,0,Inf,1,3,"Anchoa_compressa"
"56","Anchoa_curta",-5.47365144154297,0,Inf,1,4,"Anchoa_curta"
"57","Anchoa_delicatissima",-5.47365144154297,0,Inf,1,5,"Anchoa_delicatissima"
"58","Anchoa_eigenmannia",-5.47365144154297,0,Inf,1,6,"Anchoa_eigenmannia"
"59","Anchoa_exigua",-5.47365144154297,0,Inf,1,7,"Anchoa_exigua"
"60","Andamia_reyi",0.386392797341138,0,-Inf,0,0,"0"
"61","Anisarchus_macrops",1.61577284815238,1,-61.577284815238,0,0,"0"
"62","Anisotremus_caesius",-0.553566367483414,1,155.356636748341,0,0,"0"
"63","Anomalops_katoptron",-0.63647999288572,0,Inf,0,0,"0"
"64","Anoplarchus_insignis",1.7113381642159,1,-71.13381642159,0,0,"0"
"65","Anoplogaster_cornuta",-1.64831523065944,0,Inf,0,0,"0"
"66","Anotopterus_nikparini",-1.16261457783226,0,Inf,0,0,"0"
"67","Anotopterus_vorax",-1.16261457783226,0,Inf,0,0,"0"
"68","Antennarius_hispidus",-1.67053512516814,0,Inf,0,0,"0"
"69","Antennatus_strigatus",-0.114856740208776,1,111.485674020878,0,0,"0"
"70","Anthias_noeli",-0.773260208768276,0,Inf,0,0,"0"
"71","Antipodocottus_elegans",3.26857400608474,1,-226.857400608474,0,0,"0"
"72","Antipodocottus_galatheae",3.26857400608474,1,-226.857400608474,0,0,"0"
"73","Anyperodon_leucogrammicus",-0.713328950804059,0,Inf,0,0,"0"
"74","Aphanopus_arigato",-4.09752403938023,0,Inf,0,0,"0"
"75","Aphanopus_microphthalmus",-4.09752403938023,0,Inf,0,0,"0"
"76","Apletodon_incognitus",0.817808475623032,1,18.2191524376968,0,0,"0"
"77","Apogon_dammermani",-1.72879761804812,0,Inf,0,0,"0"
"78","Apogon_dianthus",-1.72879761804812,0,Inf,0,0,"0"
"79","Apogon_dovii",-1.72879761804812,0,Inf,0,0,"0"
"80","Apogon_guadalupensis",-1.72879761804812,1,272.879761804812,0,0,"0"
"81","Apogonichthyoides_brevicaudatus",-1.20019927445978,0,Inf,0,0,"0"
"82","Apogonichthyoides_cantoris",-1.20019927445978,0,Inf,0,0,"0"
"83","Apogonichthyoides_erdmanni",-1.20019927445978,0,Inf,0,0,"0"
"84","Apogonichthyoides_gardineri",-1.20019927445978,0,Inf,0,0,"0"
"85","Apogonichthyoides_maculipinnis",-1.20019927445978,0,Inf,0,0,"0"
"86","Apogon_marquesensis",-1.72879761804812,1,272.879761804812,0,0,"0"
"87","Apogon_posterofasciatus",-1.72879761804812,0,Inf,0,0,"0"
"88","Apogon_seminigracaudus",-1.72879761804812,0,Inf,0,0,"0"
"89","Apogon_townsendi",-1.72879761804812,0,Inf,0,0,"0"
"90","Apolemichthys_armitagei",-3.56362353861051,0,Inf,0,0,"0"
"91","Apristurus_internatus",1.48229091594705,0,-Inf,0,0,"0"
"92","Apristurus_nakayai",1.48229091594705,0,-Inf,0,0,"0"
"93","Apterichtus_caecus",0.622900815839057,1,37.7099184160943,0,0,"0"
"94","Apterichtus_succinus",0.622900815839057,0,-Inf,0,0,"0"
"95","Argentina_brucei",0.380689874155075,0,-Inf,0,0,"0"
"96","Argentina_elongata",0.380689874155075,1,61.9310125844925,0,0,"0"
"97","Argentina_euchus",0.380689874155075,1,61.9310125844925,0,0,"0"
"98","Argentina_stewarti",0.380689874155075,1,61.9310125844925,0,0,"0"
"99","Argyripnus_hulleyi",-2.32704305000556,0,Inf,0,0,"0"
"100","Argyropelecus_gigas",-3.15059957956047,0,Inf,0,0,"0"
"101","Argyrops_bleekeri",0.650095325725736,1,34.9904674274264,0,0,"0"
"102","Argyrops_megalommatus",0.650095325725736,1,34.9904674274264,0,0,"0"
"103","Ariomma_regulus",-0.765886428903128,1,176.588642890313,0,0,"0"
"104","Ariosoma_coquettei",0.871185951949843,1,12.8814048050157,0,0,"0"
"105","Ariosoma_megalops",0.871185951949843,1,12.8814048050157,0,0,"0"
"106","Ariosoma_multivertebratum",0.871185951949843,0,-Inf,0,0,"0"
"107","Ariosoma_opistophthalmum",0.871185951949843,1,12.8814048050157,0,0,"0"
"108","Ariosoma_selenops",0.871185951949843,1,12.8814048050157,0,0,"0"
"109","Aristostomias_scintillans",-3.72015000159838,0,Inf,0,0,"0"
"110","Aristostomias_tittmanni",-3.72015000159838,0,Inf,0,0,"0"
"111","Arius_jella",2.09469617807863,1,-109.469617807863,0,0,"0"
"112","Arnoglossus_coeruleosticta",4.06314910421457,1,-306.314910421457,0,0,"0"
"113","Arnoglossus_multirastris",4.06314910421457,1,-306.314910421457,0,0,"0"
"114","Arnoglossus_waitei",4.06314910421457,1,-306.314910421457,0,0,"0"
"115","Arothron_firmamentum",-0.759583192419411,1,175.958319241941,0,0,"0"
"116","Arothron_immaculatus",-0.759583192419411,0,Inf,0,0,"0"
"117","Arripis_xylabion",-3.3579760107097,0,Inf,0,0,"0"
"118","Artediellus_atlanticus",3.58990610206892,1,-258.990610206892,0,0,"0"
"119","Artediellus_ingens",3.58990610206892,1,-258.990610206892,0,0,"0"
"120","Artediellus_scaber",3.58990610206892,1,-258.990610206892,0,0,"0"
"121","Artediellus_schmidti",3.58990610206892,1,-258.990610206892,0,0,"0"
"122","Aseraggodes_auroculus",0.889432677870009,0,-Inf,0,0,"0"
"123","Aseraggodes_corymbus",0.889432677870009,1,11.0567322129991,0,0,"0"
"124","Aseraggodes_kruppi",0.889432677870009,0,-Inf,0,0,"0"
"125","Aseraggodes_martine",0.889432677870009,0,-Inf,0,0,"0"
"126","Aseraggodes_texturatus",0.889432677870009,1,11.0567322129991,0,0,"0"
"127","Assessor_macneilli",-1.15032496572517,0,Inf,0,0,"0"
"128","Asterropteryx_atripes",-0.210899139952232,0,Inf,0,0,"0"
"129","Asterropteryx_semipunctata",-0.210899139952232,0,Inf,0,0,"0"
"130","Asterropteryx_spinosa",-0.210899139952232,0,Inf,0,0,"0"
"131","Astronesthes_barbata",-4.31956065311158,0,Inf,0,0,"0"
"132","Astronesthes_cyaneus",-4.31956065311158,0,Inf,0,0,"0"
"133","Astronesthes_decoratus",-4.31956065311158,0,Inf,0,0,"0"
"134","Astronesthes_exsul",-4.31956065311158,0,Inf,0,0,"0"
"135","Astronesthes_karsteni",-4.31956065311158,0,Inf,0,0,"0"
"136","Astronesthes_lucibucca",-4.31956065311158,0,Inf,0,0,"0"
"137","Astronesthes_martensii",-4.31956065311158,0,Inf,0,0,"0"
"138","Astronesthes_oligoa",-4.31956065311158,0,Inf,0,0,"0"
"139","Astronesthes_psychrolutes",-4.31956065311158,0,Inf,0,0,"0"
"140","Astroscopus_sexspinosus",1.37535635692828,1,-37.535635692828,0,0,"0"
"141","Asymbolus_funebris",-1.14156116518369,0,Inf,0,0,"0"
"142","Ataxolepis_henactis",-2.29345434566869,0,Inf,0,0,"0"
"143","Atelomycterus_erdmanni",0.101551857621097,0,-Inf,0,0,"0"
"144","Atherinomorus_forskalii",-0.95798522527896,0,Inf,0,0,"0"
"145","Atherinosoma_microstoma",-1.47880204196404,0,Inf,0,0,"0"
"146","Aulopareia_janetae",0.855402953385318,1,14.4597046614682,0,0,"0"
"147","Aulostomus_strigosus",-1.61347978363881,1,261.347978363881,0,0,"0"
"148","Avocettina_bowersii",-1.74129590412633,0,Inf,0,0,"0"
"149","Awaous_commersoni",0.223152864328626,0,-Inf,0,0,"0"
"150","Awaous_guamensis",0.223152864328626,1,77.6847135671374,0,0,"0"
"151","Awaous_jayakari",0.223152864328626,1,77.6847135671374,0,0,"0"
"152","Awaous_tajasica",0.223152864328626,1,77.6847135671374,0,0,"0"
"153","Axoclinus_nigricaudus",0.669214010048584,1,33.0785989951416,0,0,"0"
"154","Azurina_lepidolepis",-3.55443674945866,0,Inf,0,0,"0"
"155","Azygopterus_corallinus",0.78807491841494,1,21.192508158506,0,0,"0"
"156","Bassanago_albescens",2.05177211216696,1,-105.177211216696,0,0,"0"
"157","Bassozetus_normalis",1.74048318417678,1,-74.048318417678,0,0,"0"
"158","Bathophilus_altipinnis",-3.90963387102214,0,Inf,0,0,"0"
