"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Abudefduf_abdominalis",-5.03955464773632,0,Inf,0,0,"0"
"2","Abudefduf_concolor",-5.03955464773632,0,Inf,0,0,"0"
"3","Abudefduf_vaigiensis",-5.03955464773632,0,Inf,0,0,"0"
"4","Abyssoberyx_levisquamosus",0.0558180602161528,1,94.4181939783847,0,0,"0"
"5","Acanthemblemaria_castroi",-5.41958443806384,0,Inf,0,0,"0"
"6","Acanthemblemaria_johnsoni",-5.41958443806384,0,Inf,0,0,"0"
"7","Acanthemblemaria_maria",-5.41958443806384,0,Inf,0,0,"0"
"8","Acanthemblemaria_rivasi",-5.41958443806384,0,Inf,0,0,"0"
"9","Acanthistius_ocellatus",-1.89424938471414,0,Inf,0,0,"0"
"10","Acanthocepola_krusensternii",-3.8026428919152,0,Inf,0,0,"0"
"11","Acanthochaenus_luetkenii",0.0558180602161528,0,-Inf,0,0,"0"
"12","Acanthonus_armatus",-3.01823578141915,1,401.823578141915,1,1,"Acanthonus_armatus"
"13","Acanthopagrus_berda",-1.77256077392763,0,Inf,0,0,"0"
"14","Acanthoplesiops_cappuccino",-1.57040097920658,0,Inf,0,0,"0"
"15","Acanthurus_fowleri",-5.21934153779837,0,Inf,0,0,"0"
"16","Acanthurus_leucosternon",-5.21934153779837,0,Inf,0,0,"0"
"17","Acanthurus_triostegus",-5.21934153779837,0,Inf,0,0,"0"
"18","Acentrogobius_viganensis",-4.83540302824514,0,Inf,0,0,"0"
"19","Acentrogobius_violarisi",-4.83540302824514,0,Inf,0,0,"0"
"20","Acentrogobius_viridipunctatus",-4.83540302824514,0,Inf,0,0,"0"
"21","Acentronura_tentaculata",-4.05616853355657,0,Inf,0,0,"0"
"22","Acreichthys_hajam",-4.41671157355697,0,Inf,0,0,"0"
"23","Acroteriobatus_andysabini",-3.48440969775233,0,Inf,0,0,"0"
"24","Acroteriobatus_leucospilus",-3.48440969775233,0,Inf,0,0,"0"
"25","Acroteriobatus_omanensis",-3.48440969775233,0,Inf,0,0,"0"
"26","Acyrtus_lanthanum",-4.32866026246076,0,Inf,0,0,"0"
"27","Acyrtus_rubiginosus",-4.32866026246076,0,Inf,0,0,"0"
"28","Agonopsis_vulsa",-4.98555596219832,0,Inf,0,0,"0"
"29","Agrostichthys_parkeri",1.39618120074355,1,-39.618120074355,0,0,"0"
"30","Akarotaxis_nudiceps",-4.45605154963741,0,Inf,0,0,"0"
"31","Akheilos_suwartanai",-2.30977275883396,1,330.977275883396,1,2,"Akheilos_suwartanai"
"32","Albula_virgata",-2.16584153482883,0,Inf,0,0,"0"
"33","Alepocephalus_bairdii",-2.35803864471786,0,Inf,0,0,"0"
"34","Allips_concolor",-4.30261225705155,0,Inf,0,0,"0"
"35","Alphestes_multiguttatus",-5.42573446284336,0,Inf,0,0,"0"
"36","Aluterus_scriptus",-4.4468052548737,0,Inf,0,0,"0"
"37","Amamiichthys_matsubarai",-3.31036884750804,0,Inf,0,0,"0"
"38","Amblyeleotris_fasciata",-4.81724973648538,0,Inf,0,0,"0"
"39","Amblyglyphidodon_indicus",-4.92514010318017,0,Inf,0,0,"0"
"40","Amblyglyphidodon_leucogaster",-4.92514010318017,0,Inf,0,0,"0"
"41","Amblygobius_magnusi",-4.45067199436296,0,Inf,0,0,"0"
"42","Amblyotrypauchen_arctocephalus",-4.10749048105639,0,Inf,0,0,"0"
"43","Amblypomacentrus_vietnamicus",-4.8241258631351,0,Inf,0,0,"0"
