"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Acanthoclinus_littoreus",3.07826952178001,2.98315349134713,3.07826952178001,0,0,"0"
"2","Acanthopagrus_butcheri",3.76539560662396,3.66724076729159,3.76539560662396,0,0,"0"
"3","Acroteriobatus_annulatus",4.78122638252025,4.72206393745959,4.78122638252025,0,0,"0"
"4","Anarhichas_minor",4.69963458606082,5.06259503302697,4.69963458606082,0,0,"0"
"5","Argentina_sialis",3.35449073053748,3.09104245335832,3.35449073053748,0,0,"0"
"6","Arripis_trutta",3.57176031094747,4.53742653390157,3.57176031094747,0,0,"0"
"7","Atheresthes_evermanni",4.21635109046552,4.51415078760092,4.21635109046552,0,0,"0"
"8","Bathyagonus_nigripinnis",3.15836781652271,3.30688670219091,3.15836781652271,0,0,"0"
"9","Bathypterois_mediterraneus",3.47251324181656,2.89037175789616,3.47251324181656,0,0,"0"
"10","Bathyraja_lindbergi",4.69919350974262,4.88280192258637,4.69919350974262,0,0,"0"
"11","Bathyraja_trachura",4.69919350974262,4.58776967130792,4.69919350974262,0,0,"0"
"12","Benthalbella_linguidens",3.45202857907206,2.56494935746154,3.45202857907206,0,0,"0"
"13","Benthosema_glaciale",1.89776709669555,2.23055189009421,1.89776709669555,1,1,"Benthosema_glaciale"
"14","Boleophthalmus_boddarti",2.67963758730047,2.82137888640921,2.67963758730047,0,0,"0"
"15","Boops_boops",3.78559158463399,3.40885548340398,3.78559158463399,0,0,"0"
"16","Brotula_barbata",4.16107295054218,4.38202663467388,4.16107295054218,0,0,"0"
"17","Buglossidium_luteum",3.43013643913165,2.54451114360762,3.43013643913165,0,0,"0"
"18","Calamus_nodosus",3.68170382297158,3.98805769170414,3.68170382297158,0,0,"0"
"19","Carangoides_equula",3.86057275425298,3.20139051052718,3.86057275425298,0,0,"0"
"20","Caranx_hippos",4.07291227827071,4.3333614626926,4.07291227827071,0,0,"0"
"21","Carcharhinus_sorrah",5.35946103404302,4.86855956587083,5.35946103404302,1,2,"Carcharhinus_sorrah"
"22","Cataetyx_alleni",3.38423552816061,2.2975725511705,3.38423552816061,1,3,"Cataetyx_alleni"
"23","Centropomus_armatus",4.43375757215818,3.90399083373088,4.43375757215818,0,0,"0"
"24","Centropyge_bicolor",3.27951982567111,1.98100146886658,3.27951982567111,1,4,"Centropyge_bicolor"
"25","Chaetodon_citrinellus",2.5965955396788,2.20497226412705,2.5965955396788,0,0,"0"
"26","Chaetodon_lunulatus",2.5965955396788,2.39698576841553,2.5965955396788,0,0,"0"
"27","Champsocephalus_gunnari",3.93358215734028,4.11338826481972,3.93358215734028,0,0,"0"
"28","Chelidonichthys_queketti",3.68143278294078,3.44201937618241,3.68143278294078,0,0,"0"
"29","Chlorophthalmus_agassizi",3.48477158031129,2.9391619220656,3.48477158031129,0,0,"0"
"30","Citharichthys_fragilis",3.34715678651189,3.04452243772342,3.34715678651189,0,0,"0"
"31","Coryphaenoides_rupestris",3.73853549784255,4.52592403597825,3.73853549784255,0,0,"0"
"32","Dipturus_oxyrinchus",4.85109924307434,5.54517744447956,4.85109924307434,0,0,"0"
"33","Dissostichus_eleginoides",3.60594942760004,4.77170105687572,3.60594942760004,1,5,"Dissostichus_eleginoides"
"34","Dissostichus_mawsoni",3.60594942760004,5.23520005723256,3.60594942760004,1,6,"Dissostichus_mawsoni"
"35","Doederleinia_berycoides",3.64215556938604,3.42751468997953,3.64215556938604,0,0,"0"
"36","Dormitator_latifrons",2.69987715185196,3.71357206670431,2.69987715185196,0,0,"0"
"37","Encrasicholina_heteroloba",2.55214333330103,2.38704112453436,2.55214333330103,0,0,"0"
"38","Epinephelus_itajara",4.15766374407539,5.30330490805908,4.15766374407539,1,7,"Epinephelus_itajara"
"39","Epinephelus_rivulatus",4.15766374407539,3.54211807271853,4.15766374407539,0,0,"0"
"40","Equulites_popei",2.44862332853353,2.57006445812831,2.44862332853353,0,0,"0"
"41","Etropus_crossotus",3.27786107534645,2.95664488484594,3.27786107534645,0,0,"0"
"42","Etrumeus_micropus",3.28479055807637,3.04452243772342,3.28479055807637,0,0,"0"
"43","Gadiculus_thori",3.37209718310944,2.75684036527164,3.37209718310944,0,0,"0"
"44","Gerlachea_australis",3.391792733762,3.22882615572137,3.391792733762,0,0,"0"
"45","Gobius_niger",2.84062133858167,2.7684133508293,2.84062133858167,0,0,"0"
"46","Gobius_vittatus",2.84062133858167,1.62924053973028,2.84062133858167,1,8,"Gobius_vittatus"
"47","Gymnocanthus_pistilliger",3.63743220733565,3.14462630423543,3.63743220733565,0,0,"0"
"48","Halichoeres_scapularis",3.54515618284072,3.11351530921037,3.54515618284072,0,0,"0"
"49","Harpagifer_antarcticus",3.33880131322435,2.35137525716348,3.33880131322435,0,0,"0"
"50","Hyperoplus_lanceolatus",3.52267610334293,3.39450839351136,3.52267610334293,0,0,"0"
