"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Abudefduf_bengalensis",-1.63367899058718,-1.71413598380031,-1.63367899058718,0,0,"0"
"2","Acanthopagrus_butcheri",-1.13612566621747,-1.15240444345778,-1.13612566621747,0,0,"0"
"3","Acanthurus_coeruleus",-1.91500845795899,-2.01552659164927,-1.91500845795899,0,0,"0"
"4","Acanthurus_olivaceus",-1.91500845795899,-2.13138667363519,-1.91500845795899,0,0,"0"
"5","Achirus_declivis",-1.64289006092314,-1.26547503774333,-1.64289006092314,0,0,"0"
"6","Alepisaurus_brevirostris",-0.171906542252424,-0.217058658016407,-0.171906542252424,0,0,"0"
"7","Amblyglyphidodon_leucogaster",-1.64511246935527,-1.77924787989314,-1.64511246935527,0,0,"0"
"8","Amphiprion_bicinctus",-1.46612783590289,-1.43683535716141,-1.46612783590289,0,0,"0"
"9","Amphistichus_rhodoterus",-1.32996467265052,-1.14533671470844,-1.32996467265052,0,0,"0"
"10","Anampses_twistii",-1.48996332474966,-1.6069828067919,-1.48996332474966,0,0,"0"
"11","Anchoa_filifera",-0.408071366578381,-0.245397677804444,-0.408071366578381,0,0,"0"
"12","Anisotremus_virginicus",-1.40551353449183,-1.40260877749733,-1.40551353449183,0,0,"0"
"13","Anoplocapros_inermis",-1.92153983485075,-2.33655709455828,-1.92153983485075,1,1,"Anoplocapros_inermis"
"14","Apodichthys_flavidus",-1.270674829277,-1.47873699517219,-1.270674829277,0,0,"0"
"15","Apogon_caudicinctus",-0.6051927824173,-0.588778669538932,-0.6051927824173,0,0,"0"
"16","Apogon_erythrinus",-0.6051927824173,-0.666922641515343,-0.6051927824173,0,0,"0"
"17","Apogon_phenax",-0.6051927824173,-0.46626871144416,-0.6051927824173,0,0,"0"
"18","Apogon_planifrons",-0.6051927824173,-0.487539023964784,-0.6051927824173,0,0,"0"
"19","Apogon_robinsi",-0.6051927824173,-0.498725267186958,-0.6051927824173,0,0,"0"
"20","Aracana_ornata",-1.92201373790117,-1.97475708442465,-1.92201373790117,0,0,"0"
"21","Argyropelecus_hemigymnus",-0.562609383551816,-0.374086397963072,-0.562609383551816,0,0,"0"
"22","Argyropelecus_olfersii",-0.562609383551816,-0.298274516776387,-0.562609383551816,0,0,"0"
"23","Argyrops_spinifer",-1.23081298457407,-1.17055795514058,-1.23081298457407,0,0,"0"
"24","Ariopsis_felis",-1.00807316697871,-0.89736617535318,-1.00807316697871,0,0,"0"
"25","Arnoglossus_imperialis",-0.931767118133643,-0.901355868023235,-0.931767118133643,0,0,"0"
"26","Arripis_trutta",-0.824040722505817,-0.828744316741466,-0.824040722505817,0,0,"0"
"27","Artedius_fenestralis",-0.751585267556209,-1.19657057851704,-0.751585267556209,0,0,"0"
"28","Atherinomorus_vaigiensis",-1.02153800872586,-0.98130531293757,-1.02153800872586,0,0,"0"
"29","Awaous_melanocephalus",-0.945769071700575,-0.963476021081585,-0.945769071700575,0,0,"0"
"30","Bagre_marinus",-1.06000409563909,-0.860039091441307,-1.06000409563909,0,0,"0"
"31","Bagre_panamensis",-1.06000409563909,-0.9272257552783,-1.06000409563909,0,0,"0"
"32","Bathyagonus_nigripinnis",-0.933957490016059,-0.972209535610767,-0.933957490016059,0,0,"0"
"33","Bathygobius_cocosensis",-1.01431198588015,-1.01095135102293,-1.01431198588015,0,0,"0"
"34","Bathygobius_ramosus",-1.01431198588015,-1.101777667783,-1.01431198588015,0,0,"0"
"35","Bathymaster_caeruleofasciatus",-0.805310290682325,-0.719837927352653,-0.805310290682325,0,0,"0"
