"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Abudefduf_bengalensis",0.145318415357596,0.177041459791962,0.145318415357596,0,0,"0"
"2","Acanthopagrus_butcheri",0.0594990722901989,0.00600744035130637,0.0594990722901989,0,0,"0"
"3","Acanthurus_coeruleus",0.152657862806703,0.278762065598513,0.152657862806703,0,0,"0"
"4","Acanthurus_olivaceus",0.152657862806703,0.106781583936489,0.152657862806703,0,0,"0"
"5","Achirus_declivis",0.499648469707392,0.466593285026289,0.499648469707392,1,1,"Achirus_declivis"
"6","Alepisaurus_brevirostris",-0.563616908570545,-0.824344260083954,-0.563616908570545,1,2,"Alepisaurus_brevirostris"
"7","Amblyglyphidodon_leucogaster",0.165746584558619,0.20862785144636,0.165746584558619,0,0,"0"
"8","Amphiprion_bicinctus",0.056263475770805,0.061711514845694,0.056263475770805,0,0,"0"
"9","Amphistichus_rhodoterus",0.105427129660615,0.131344245132527,0.105427129660615,0,0,"0"
"10","Anampses_twistii",-0.100553550776228,-0.161874436304474,-0.100553550776228,0,0,"0"
"11","Anchoa_filifera",-0.247114791268712,-0.31382922088269,-0.247114791268712,0,0,"0"
"12","Anisotremus_virginicus",-0.00413233660682934,0.0672714767962294,-0.00413233660682934,0,0,"0"
"13","Anoplocapros_inermis",-0.176103455694203,-0.071180253607759,-0.176103455694203,0,0,"0"
"14","Apodichthys_flavidus",-0.435303059297598,-0.453781575845433,-0.435303059297598,0,0,"0"
"15","Apogon_caudicinctus",-0.157312571354772,-0.174832663960889,-0.157312571354772,0,0,"0"
"16","Apogon_erythrinus",-0.157312571354772,-0.151366488674376,-0.157312571354772,0,0,"0"
"17","Apogon_phenax",-0.157312571354772,-0.198370603138696,-0.157312571354772,0,0,"0"
"18","Apogon_planifrons",-0.157312571354772,-0.240350509523701,-0.157312571354772,0,0,"0"
"19","Apogon_robinsi",-0.157312571354772,-0.171693041406583,-0.157312571354772,0,0,"0"
"20","Aracana_ornata",-0.176322596145228,0.0834493518552322,-0.176322596145228,1,3,"Aracana_ornata"
"21","Argyropelecus_hemigymnus",0.188628813872297,0.0080062003819028,0.188628813872297,1,4,"Argyropelecus_hemigymnus"
"22","Argyropelecus_olfersii",0.188628813872297,0.390219105635288,0.188628813872297,0,0,"0"
"23","Argyrops_spinifer",0.122113477340552,0.119066152631703,0.122113477340552,0,0,"0"
"24","Ariopsis_felis",-0.532766670087692,-0.585147666376951,-0.532766670087692,0,0,"0"
"25","Arnoglossus_imperialis",0.233099887757895,0.26918631610735,0.233099887757895,0,0,"0"
"26","Arripis_trutta",-0.271723636372142,-0.22379869225475,-0.271723636372142,0,0,"0"
"27","Artedius_fenestralis",-0.567295074679549,-0.513368209343057,-0.567295074679549,0,0,"0"
"28","Atherinomorus_vaigiensis",-0.461119756407776,-0.396128933090558,-0.461119756407776,0,0,"0"
"29","Awaous_melanocephalus",-0.536751244578269,-0.517482368798735,-0.536751244578269,0,0,"0"
"30","Bagre_marinus",-0.524819584167387,-0.444885899069648,-0.524819584167387,0,0,"0"
"31","Bagre_panamensis",-0.524819584167387,-0.479620422571392,-0.524819584167387,0,0,"0"
"32","Bathyagonus_nigripinnis",-0.777628368715542,-0.898079431420895,-0.777628368715542,0,0,"0"
"33","Bathygobius_cocosensis",-0.528425714168289,-0.533574878578228,-0.528425714168289,0,0,"0"
"34","Bathygobius_ramosus",-0.528425714168289,-0.580890082648824,-0.528425714168289,0,0,"0"
"35","Bathymaster_caeruleofasciatus",-0.488305772662628,-0.430807388112675,-0.488305772662628,0,0,"0"
"36","Bathymaster_leurolepis",-0.488305772662628,-0.419988033652932,-0.488305772662628,0,0,"0"
"37","Bathyuroconger_vicinus",-0.896975372096664,-0.790219990418143,-0.896975372096664,1,5,"Bathyuroconger_vicinus"
"38","Bembras_japonica",-0.475173567056117,-0.716974584669951,-0.475173567056117,1,6,"Bembras_japonica"
"39","Benthosema_glaciale",-0.286596527550907,-0.261298456924859,-0.286596527550907,0,0,"0"
"40","Boleophthalmus_boddarti",-0.551748628597223,-0.521861176727652,-0.551748628597223,0,0,"0"
"41","Boops_boops",0.00518886049628002,-0.270567531899491,0.00518886049628002,1,7,"Boops_boops"
"42","Borostomias_antarcticus",-0.435878041522586,-0.422206245267434,-0.435878041522586,0,0,"0"
"43","Bothrocara_brunneum",-0.709866343206611,-0.550514489022235,-0.709866343206611,0,0,"0"
"44","Bothus_ocellatus",0.443257417100689,0.530743932460914,0.443257417100689,0,0,"0"
"45","Brachyistius_frenatus",0.0472759062792286,0.106899969156992,0.0472759062792286,0,0,"0"
"46","Brachysomophis_henshawi",-1.06203617437585,-0.990647782160299,-1.06203617437585,1,8,"Brachysomophis_henshawi"
"47","Brotula_barbata",-0.409364488684146,-0.430978064712198,-0.409364488684146,0,0,"0"
"48","Buglossidium_luteum",0.225628754771212,0.240637611150756,0.225628754771212,0,0,"0"
"49","Butis_amboinensis",-0.454300211678728,-0.578227530606916,-0.454300211678728,0,0,"0"
"50","Calamus_nodosus",0.0798528782845605,0.0973724398340617,0.0798528782845605,0,0,"0"
"51","Canthidermis_maculata",0.118302071375447,0.0144048527570652,0.118302071375447,0,0,"0"
"52","Canthigaster_figueiredoi",-0.127524857261923,-0.140196353047035,-0.127524857261923,0,0,"0"
"53","Caranx_hippos",-0.0573311605795934,-0.075592669094192,-0.0573311605795934,0,0,"0"
"54","Careproctus_gilberti",-0.344909928704149,-0.424480430001807,-0.344909928704149,0,0,"0"
"55","Cataetyx_rubrirostris",-0.461454477132984,-0.591281582102052,-0.461454477132984,0,0,"0"
"56","Centrobranchus_nigroocellatus",-0.337229643613958,-0.20042311406294,-0.337229643613958,0,0,"0"
"57","Centropomus_armatus",-0.200116578383748,-0.152264517561346,-0.200116578383748,0,0,"0"
"58","Centropomus_medius",-0.200116578383748,-0.111535709968932,-0.200116578383748,0,0,"0"
"59","Centropyge_bicolor",0.145281495164758,0.153819764535429,0.145281495164758,0,0,"0"
"60","Centropyge_bispinosa",0.145281495164758,0.141913085552511,0.145281495164758,0,0,"0"
"61","Ceratoscopelus_warmingii",-0.363839526449311,-0.3438368101954,-0.363839526449311,0,0,"0"
"62","Cercamia_eremia",-0.134640677794,-0.235084569737982,-0.134640677794,0,0,"0"
"63","Chaetodon_blackburnii",0.325074773896483,0.286026964266567,0.325074773896483,0,0,"0"
"64","Chaetodon_capistratus",0.325074773896483,0.326695147293807,0.325074773896483,0,0,"0"
"65","Chaetodon_citrinellus",0.325074773896483,0.294922787817248,0.325074773896483,0,0,"0"
"66","Chaetodon_lunula",0.325074773896483,0.310884621869821,0.325074773896483,0,0,"0"
"67","Chaetodon_miliaris",0.325074773896483,0.274126092734915,0.325074773896483,0,0,"0"
"68","Chaetodon_octofasciatus",0.325074773896483,0.378119767800682,0.325074773896483,0,0,"0"
"69","Chaetodon_sedentarius",0.325074773896483,0.334899430814312,0.325074773896483,0,0,"0"
"70","Chaetodon_ulietensis",0.325074773896483,0.24684097597784,0.325074773896483,0,0,"0"
"71","Chaetodon_zanzibarensis",0.325074773896483,0.2488509538167,0.325074773896483,0,0,"0"
"72","Chelidonichthys_queketti",-0.520715673881401,-0.475844220565613,-0.520715673881401,0,0,"0"
"73","Chilomycterus_antennatus",-0.505119454823803,-0.46837776771385,-0.505119454823803,0,0,"0"
"74","Chionodraco_myersi",-0.512475861574406,-0.639290092958654,-0.512475861574406,0,0,"0"
"75","Chlorophthalmus_agassizi",-0.468418125206091,-0.530754957551565,-0.468418125206091,0,0,"0"
"76","Chlorophthalmus_nigromarginatus",-0.468418125206091,-0.470214218121703,-0.468418125206091,0,0,"0"
"77","Chlorurus_japanensis",-0.0833125790536445,-0.0262383001952704,-0.0833125790536445,0,0,"0"
"78","Choerodon_azurio",-0.0704844861838711,-0.0260151237158475,-0.0704844861838711,0,0,"0"
"79","Chromis_weberi",0.0939072832074651,0.0652716745603965,0.0939072832074651,0,0,"0"
"80","Chromis_xanthochira",0.0939072832074651,0.0994230944305982,0.0939072832074651,0,0,"0"
"81","Coelorinchus_japonicus",-0.542810489261022,-0.626004022584358,-0.542810489261022,0,0,"0"
"82","Coelorinchus_oliverianus",-0.542810489261022,-0.512135972079763,-0.542810489261022,0,0,"0"
"83","Coelorinchus_scaphopsis",-0.542810489261022,-0.567637086197873,-0.542810489261022,0,0,"0"
"84","Coris_formosa",-0.148647637545242,-0.0476195951703717,-0.148647637545242,0,0,"0"
"85","Coris_picta",-0.148647637545242,-0.190164801926071,-0.148647637545242,0,0,"0"
"86","Coris_pictoides",-0.148647637545242,-0.223374203418669,-0.148647637545242,0,0,"0"
"87","Coryphaenoides_rupestris",-0.483971883330677,-0.470677658578959,-0.483971883330677,0,0,"0"
"88","Coryphoblennius_galerita",-0.369467397069231,-0.392837385105216,-0.369467397069231,0,0,"0"
"89","Corythoichthys_amplexus",-0.979327413703257,-1.05129938306422,-0.979327413703257,0,0,"0"
"90","Cosmocampus_albirostris",-0.948304747947857,-0.966955041698774,-0.948304747947857,0,0,"0"
"91","Crossorhombus_kobensis",0.302432835996822,0.398478363833961,0.302432835996822,0,0,"0"
"92","Cryptocentrus_strigilliceps",-0.485874608113751,-0.379183854044415,-0.485874608113751,0,0,"0"
"93","Cubiceps_baxteri",-0.167970380368954,-0.198594925194475,-0.167970380368954,0,0,"0"
"94","Cyclothone_signata",-0.396709002624343,-0.40226091381864,-0.396709002624343,0,0,"0"
"95","Cymolutes_praetextatus",-0.25629070107608,-0.205036209044238,-0.25629070107608,0,0,"0"
"96","Dacodraco_hunteri",-0.562429541507644,-0.479386246061904,-0.562429541507644,0,0,"0"
"97","Dactylopus_dactylopus",-0.747290628831604,-0.753467546329449,-0.747290628831604,0,0,"0"
"98","Danaphos_oculatus",0.0725652643343389,-0.22646592712934,0.0725652643343389,1,9,"Danaphos_oculatus"
"99","Dascyllus_aruanus",0.239337679006169,0.187450471539816,0.239337679006169,0,0,"0"
"100","Dascyllus_trimaculatus",0.239337679006169,0.200524876483368,0.239337679006169,0,0,"0"
"101","Dermatolepis_inermis",-0.166137537170157,-0.00687800893415139,-0.166137537170157,0,0,"0"
"102","Desmodema_polystictum",-0.0952362645965633,-0.15521226168851,-0.0952362645965633,0,0,"0"
"103","Diaphus_rafinesquii",-0.32529136633019,-0.33673088705555,-0.32529136633019,0,0,"0"
"104","Dicrolene_introniger",-0.492081579430939,-0.628592406608209,-0.492081579430939,0,0,"0"
"105","Diogenichthys_atlanticus",-0.317545473323982,-0.265369884642191,-0.317545473323982,0,0,"0"
"106","Dissostichus_eleginoides",-0.43250308208917,-0.550375912193753,-0.43250308208917,0,0,"0"
"107","Dissostichus_mawsoni",-0.43250308208917,-0.608503554415713,-0.43250308208917,0,0,"0"
"108","Ditropichthys_storeri",-0.366075111850658,-0.260049315767045,-0.366075111850658,0,0,"0"
"109","Dormitator_latifrons",-0.389214601514039,-0.27465261763951,-0.389214601514039,0,0,"0"
"110","Drepane_longimana",0.412709482173124,0.39180686381171,0.412709482173124,0,0,"0"
"111","Echidna_polyzona",-0.840132877388933,-0.681008898739761,-0.840132877388933,1,10,"Echidna_polyzona"
"112","Elagatis_bipinnulata",-0.0577392047679413,-0.30204310174205,-0.0577392047679413,0,0,"0"
"113","Embiotoca_jacksoni",0.082502268086733,0.13515696776931,0.082502268086733,0,0,"0"
"114","Encrasicholina_heteroloba",-0.251620556408405,-0.381377075063426,-0.251620556408405,0,0,"0"
"115","Epibulus_insidiator",-0.0354052051080363,0.051566904829967,-0.0354052051080363,0,0,"0"
"116","Epinephelus_areolatus",-0.1768335902403,-0.150805070152266,-0.1768335902403,0,0,"0"
"117","Epinephelus_bruneus",-0.1768335902403,-0.210598854308859,-0.1768335902403,0,0,"0"
"118","Epinephelus_coioides",-0.1768335902403,-0.24644627980891,-0.1768335902403,0,0,"0"
"119","Epinephelus_howlandi",-0.1768335902403,-0.230471086754813,-0.1768335902403,0,0,"0"
"120","Epinephelus_itajara",-0.1768335902403,-0.226721556647089,-0.1768335902403,0,0,"0"
"121","Epinephelus_radiatus",-0.1768335902403,-0.101316395080858,-0.1768335902403,0,0,"0"
"122","Epinephelus_rivulatus",-0.1768335902403,-0.149919051707496,-0.1768335902403,0,0,"0"
"123","Etropus_crossotus",0.356210019344847,0.492972113282555,0.356210019344847,0,0,"0"
"124","Etrumeus_micropus",-0.422164677355631,-0.470805726173079,-0.422164677355631,0,0,"0"
"125","Eucinostomus_melanopterus",-0.0518299722350546,-0.0367975588767136,-0.0518299722350546,0,0,"0"
"126","Euleptorhamphus_viridis",-0.508585368620916,-0.754994582528061,-0.508585368620916,1,11,"Euleptorhamphus_viridis"
"127","Eviota_spilota",-0.392134152818316,-0.317731767001063,-0.392134152818316,0,0,"0"
"128","Evoxymetopon_taeniatus",-0.632999891192599,-0.457872485305176,-0.632999891192599,0,0,"0"
"129","Exyrias_belissimus",-0.393917413197651,-0.332623800865434,-0.393917413197651,0,0,"0"
"130","Fistularia_petimba",-1.11913955963404,-1.2161797036237,-1.11913955963404,0,0,"0"
"131","Fodiator_rostratus",-0.428024986661694,-0.409198655332508,-0.428024986661694,0,0,"0"
"132","Fowleria_aurita",-0.144741425036507,-0.116861939182182,-0.144741425036507,0,0,"0"
"133","Fowleria_vaiulae",-0.144741425036507,-0.0751981161405331,-0.144741425036507,0,0,"0"
"134","Freemanichthys_thompsoni",-0.653794232687854,-0.724393287789128,-0.653794232687854,0,0,"0"
"135","Gaidropsarus_ensis",-0.497150107350129,-0.237693624998291,-0.497150107350129,0,0,"0"
"136","Gasterochisma_melampus",-0.332866528604532,-0.173222949868666,-0.332866528604532,0,0,"0"
"137","Genicanthus_lamarck",0.156098511944773,0.109189373586075,0.156098511944773,0,0,"0"
"138","Gerlachea_australis",-0.710776380995275,-0.735581563858478,-0.710776380995275,0,0,"0"
"139","Glyptocephalus_stelleri",0.228107133451534,0.284551574985659,0.228107133451534,0,0,"0"
"140","Gobiodon_ceramensis",-0.111856216431338,-0.0793336968207128,-0.111856216431338,0,0,"0"
"141","Gobiodon_citrinus",-0.111856216431338,-0.0334189087863018,-0.111856216431338,0,0,"0"
"142","Gomphosus_caeruleus",-0.195831621017301,-0.184683944330417,-0.195831621017301,0,0,"0"
"143","Gonichthys_tenuiculus",-0.300659928035425,-0.23001084868086,-0.300659928035425,0,0,"0"
"144","Grammatostomias_flagellibarba",-0.516526512229211,-1.01931589219102,-0.516526512229211,1,12,"Grammatostomias_flagellibarba"
"145","Guavina_guavina",-0.507317803158673,-0.526211212293978,-0.507317803158673,0,0,"0"
"146","Gymnapogon_urospilotus",-0.134468325478877,-0.299680687525843,-0.134468325478877,0,0,"0"
"147","Gymnodraco_acuticeps",-0.710776380995275,-0.860642907592761,-0.710776380995275,0,0,"0"
"148","Gymnothorax_australicola",-0.73348902748281,-0.779096691113337,-0.73348902748281,0,0,"0"
"149","Gymnothorax_fimbriatus",-0.73348902748281,-0.620808652670096,-0.73348902748281,0,0,"0"
"150","Gymnothorax_ocellatus",-0.73348902748281,-0.763626957223148,-0.73348902748281,0,0,"0"
"151","Haemulon_maculicauda",-0.113302595043215,-0.104461192063047,-0.113302595043215,0,0,"0"
"152","Haemulon_steindachneri",-0.113302595043215,-0.0963222569028253,-0.113302595043215,0,0,"0"
"153","Haletta_semifasciata",-0.26932068280678,-0.336298874040698,-0.26932068280678,0,0,"0"
"154","Halichoeres_biocellatus",-0.151403123826284,-0.0263503133730388,-0.151403123826284,0,0,"0"
"155","Halichoeres_poeyi",-0.151403123826284,-0.150280413247696,-0.151403123826284,0,0,"0"
"156","Halichoeres_prosopeion",-0.151403123826284,-0.199670132503985,-0.151403123826284,0,0,"0"
"157","Halichoeres_scapularis",-0.151403123826284,-0.105166937003285,-0.151403123826284,0,0,"0"
"158","Halichoeres_socialis",-0.151403123826284,-0.32047683771406,-0.151403123826284,0,0,"0"
"159","Halichoeres_trimaculatus",-0.151403123826284,-0.117296682359891,-0.151403123826284,0,0,"0"
"160","Harengula_humeralis",-0.0753679177478291,-0.179097722608663,-0.0753679177478291,0,0,"0"
"161","Harpagifer_antarcticus",-0.58823982730171,-0.588938298515402,-0.58823982730171,0,0,"0"
"162","Hemanthias_signifer",-0.117193186404323,-0.144507638416656,-0.117193186404323,0,0,"0"
"163","Hemicaranx_zelotes",0.037940212301388,0.0783119002103172,0.037940212301388,0,0,"0"
"164","Heniochus_diphreutes",0.374126310493489,0.348569778018732,0.374126310493489,0,0,"0"
"165","Heterophotus_ophistoma",-0.516195914531572,-0.282162479062406,-0.516195914531572,0,0,"0"
"166","Hexagrammos_agrammus",-0.318262206521922,-0.233098890955983,-0.318262206521922,0,0,"0"
"167","Hippocampus_ingens",-0.475893908286753,-0.493742035548096,-0.475893908286753,0,0,"0"
"168","Hirundichthys_albimaculatus",-0.538817708929935,-0.52532095629889,-0.538817708929935,0,0,"0"
"169","Histrio_histrio",-0.118337998091516,-0.00367879662104127,-0.118337998091516,0,0,"0"
"170","Hoplunnis_tenuis",-1.00293315857207,-1.17854323024595,-1.00293315857207,0,0,"0"
"171","Hyperoplus_lanceolatus",-0.578508750207941,-0.8281193040147,-0.578508750207941,1,13,"Hyperoplus_lanceolatus"
"172","Inegocia_harrisii",-0.880022371308362,-0.882141902444608,-0.880022371308362,0,0,"0"
"173","Isopsetta_isolepis",0.258266142929268,0.348415425888438,0.258266142929268,0,0,"0"
"174","Jenkinsia_lamprotaenia",-0.342920589494295,-0.449621674817195,-0.342920589494295,0,0,"0"
"175","Kyphosus_sectatrix",0.0546209068200415,0.0586658151872067,0.0546209068200415,0,0,"0"
"176","Labrichthys_unilineatus",-0.151514763378879,-0.0905129514011847,-0.151514763378879,0,0,"0"
"177","Labroides_dimidiatus",-0.231425956425409,-0.231250116820597,-0.231425956425409,0,0,"0"
"178","Lampadena_anomala",-0.359175201008427,-0.327539245981451,-0.359175201008427,0,0,"0"
"179","Lampanyctus_intricarius",-0.372937672661678,-0.400898826655444,-0.372937672661678,0,0,"0"
"180","Lampanyctus_macdonaldi",-0.372937672661678,-0.369844716675242,-0.372937672661678,0,0,"0"
