"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Abudefduf_bengalensis",-1.03199631856613,-1.05101216190912,-1.03199631856613,0,0,"0"
"2","Acanthopagrus_butcheri",-1.23085562473254,-1.32535386042287,-1.23085562473254,0,0,"0"
"3","Acanthurus_coeruleus",-1.38012503819161,-1.44173863257209,-1.38012503819161,0,0,"0"
"4","Acanthurus_olivaceus",-1.38012503819161,-1.43527251369507,-1.38012503819161,0,0,"0"
"5","Achirus_declivis",-0.819374198999235,-0.742976019702672,-0.819374198999235,0,0,"0"
"6","Alepisaurus_brevirostris",-1.76918069540049,-2.09071227717358,-1.76918069540049,0,0,"0"
"7","Amblyglyphidodon_leucogaster",-1.10222182454405,-1.1434405822512,-1.10222182454405,0,0,"0"
"8","Amphiprion_bicinctus",-1.04757638467313,-1.13459776783918,-1.04757638467313,0,0,"0"
"9","Amphistichus_rhodoterus",-1.13823700140927,-1.17973104662111,-1.13823700140927,0,0,"0"
"10","Anampses_twistii",-1.00222360285155,-0.964649227157856,-1.00222360285155,0,0,"0"
"11","Anchoa_filifera",-1.11044319773009,-1.15646857651866,-1.11044319773009,0,0,"0"
"12","Anisotremus_virginicus",-1.35119458389423,-1.43834841330302,-1.35119458389423,0,0,"0"
"13","Anoplocapros_inermis",-1.81732622022944,-1.81174688393916,-1.81732622022944,0,0,"0"
"14","Apodichthys_flavidus",-1.79744882764703,-1.87076539893441,-1.79744882764703,0,0,"0"
"15","Apogon_caudicinctus",-1.13435209420789,-1.16713097055993,-1.13435209420789,0,0,"0"
"16","Apogon_erythrinus",-1.13435209420789,-1.25191857346456,-1.13435209420789,0,0,"0"
"17","Apogon_phenax",-1.13435209420789,-1.14007581515,-1.13435209420789,0,0,"0"
"18","Apogon_planifrons",-1.13435209420789,-1.17081898243141,-1.13435209420789,0,0,"0"
"19","Apogon_robinsi",-1.13435209420789,-1.120767605554,-1.13435209420789,0,0,"0"
"20","Aracana_ornata",-1.81671894096118,-1.42575990546595,-1.81671894096118,0,0,"0"
"21","Argyropelecus_hemigymnus",-1.47020627968729,-1.54148966108415,-1.47020627968729,0,0,"0"
