"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Abantennarius_coccineus",3.9831650450585,4.2,3.9831650450585,0,0,"0"
"2","Abudefduf_bengalensis",2.80427475711767,3.08,2.80427475711767,0,0,"0"
"3","Acanthemblemaria_castroi",3.30400278198338,3.4300000667572,3.30400278198338,0,0,"0"
"4","Acanthemblemaria_rivasi",3.30400278198338,3.24000000953674,3.30400278198338,0,0,"0"
"5","Acanthocepola_krusensternii",3.37110268855515,3.36999988555908,3.37110268855515,0,0,"0"
"6","Acanthocepola_limbata",3.37110268855515,3.40000009536743,3.37110268855515,0,0,"0"
"7","Acanthoclinus_littoreus",3.59038169674641,3.37,3.59038169674641,0,0,"0"
"8","Acanthoclinus_rua",3.59038169674641,3.41000008583069,3.59038169674641,0,0,"0"
"9","Acanthodraco_dewitti",3.57077392388034,3.66000008583069,3.57077392388034,0,0,"0"
"10","Acanthogobius_stigmothonus",3.34746827998788,3.38000011444092,3.34746827998788,0,0,"0"
"11","Acanthopagrus_butcheri",3.37843511469111,3.47,3.37843511469111,0,0,"0"
"12","Acanthopagrus_catenula",3.37843511469111,3.39000010490417,3.37843511469111,0,0,"0"
"13","Acanthoplesiops_psilogaster",3.23164669202944,3.27999997138977,3.23164669202944,0,0,"0"
"14","Acanthostracion_notacanthus",2.61845786165893,2.35999989509583,2.61845786165893,0,0,"0"
"15","Acanthurus_bariene",2.29909543423361,2,2.29909543423361,0,0,"0"
"16","Acanthurus_coeruleus",2.29909543423361,2.15,2.29909543423361,0,0,"0"
"17","Acanthurus_olivaceus",2.29909543423361,2.26,2.29909543423361,1,1,"Acanthurus_olivaceus"
"18","Acanthurus_tennentii",2.29909543423361,2,2.29909543423361,0,0,"0"
"19","Acentrogobius_ennorensis",3.36798983510027,3.28999996185303,3.36798983510027,0,0,"0"
"20","Acentrogobius_masoni",3.36798983510027,3.35999989509583,3.36798983510027,0,0,"0"
"21","Acentrogobius_violarisi",3.36798983510027,3.14000010490417,3.36798983510027,0,0,"0"
"22","Achirus_declivis",3.41026596247423,3.3199999332428,3.41026596247423,0,0,"0"
"23","Achirus_klunzingeri",3.41026596247423,3.34999990463257,3.41026596247423,0,0,"0"
"24","Acromycter_longipectoralis",3.75697481302677,3.65000009536743,3.75697481302677,0,0,"0"
"25","Acroteriobatus_andysabini",3.50141130880173,3.49000000953674,3.50141130880173,0,0,"0"
"26","Acroteriobatus_annulatus",3.50141130880173,3.35,3.50141130880173,0,0,"0"
"27","Acroteriobatus_zanzibarensis",3.50141130880173,3.45000004768372,3.50141130880173,0,0,"0"
"28","Adventor_elongatus",3.35646710935496,3.32999992370605,3.35646710935496,0,0,"0"
"29","Aetobatus_laticeps",3.7462397479144,3.61999988555908,3.7462397479144,0,0,"0"
"30","Agonomalus_mozinoi",3.31031116942684,3.1800000667572,3.31031116942684,0,0,"0"
"31","Agonopsis_sterletus",3.28523338660687,3.24000000953674,3.28523338660687,0,0,"0"
"32","Alepisaurus_brevirostris",3.9814100842863,3.81,3.9814100842863,0,0,"0"
"33","Alepocephalus_andersoni",3.63278237715366,3.67000007629395,3.63278237715366,0,0,"0"
"34","Alepocephalus_triangularis",3.63278237715366,3.52999997138977,3.63278237715366,0,0,"0"
"35","Allenichthys_glauerti",3.71081064678037,3.95000004768372,3.71081064678037,0,0,"0"
"36","Alloblennius_parvus",2.71807681713966,2.70000004768372,2.71807681713966,0,0,"0"
"37","Allocareproctus_kallaion",3.46161029137815,3.52999997138977,3.46161029137815,0,0,"0"
"38","Altrichthys_alelia",2.79183167597083,2.78999996185303,2.79183167597083,0,0,"0"
"39","Amarsipus_carlsbergi",3.89133324864128,3.75999999046326,3.89133324864128,0,0,"0"
"40","Amblyeleotris_arcupinna",3.32362864128033,3.36999988555908,3.32362864128033,0,0,"0"
"41","Amblyeleotris_callopareia",3.32362864128033,3.29999995231628,3.32362864128033,0,0,"0"
"42","Amblyeleotris_ellipse",3.32362864128033,3.19000005722046,3.32362864128033,0,0,"0"
"43","Amblyeleotris_macronema",3.32362864128033,3.30999994277954,3.32362864128033,0,0,"0"
"44","Amblyglyphidodon_leucogaster",2.70777230474198,3.38,2.70777230474198,1,2,"Amblyglyphidodon_leucogaster"
"45","Amblygobius_tekomaji",2.82685911853627,2.86999988555908,2.82685911853627,0,0,"0"
"46","Amblyraja_hyperborea",4.03816479639385,4.31,4.03816479639385,0,0,"0"
"47","Ammodytoides_leptus",3.22118203454678,3.22000002861023,3.22118203454678,0,0,"0"
"48","Amphichthys_rubigenis",3.65636333598897,3.69000005722046,3.65636333598897,0,0,"0"
"49","Amphiprion_bicinctus",2.67284983744266,2.68,2.67284983744266,0,0,"0"
"50","Amphistichus_rhodoterus",3.4078740318877,3.37,3.4078740318877,0,0,"0"
"51","Anacanthobatis_marmorata",3.711184837814,3.60999989509583,3.711184837814,0,0,"0"
