"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Abantennarius_coccineus",-3.43198786421315,0,-3.43198786421315,0,0,"0"
"2","Abudefduf_bengalensis",-5.11759557997302,0,-5.11759557997302,0,0,"0"
"3","Acanthemblemaria_castroi",-5.38939016179899,0,-5.38939016179899,0,0,"0"
"4","Acanthemblemaria_rivasi",-5.38939016179899,0,-5.38939016179899,0,0,"0"
"5","Acanthocepola_krusensternii",-3.59054123588569,0,-3.59054123588569,0,0,"0"
"6","Acanthocepola_limbata",-3.59054123588569,0,-3.59054123588569,0,0,"0"
"7","Acanthoclinus_littoreus",-3.23992449287555,0,-3.23992449287555,0,0,"0"
"8","Acanthoclinus_rua",-3.23992449287555,0,-3.23992449287555,0,0,"0"
"9","Acanthodraco_dewitti",-4.45837492356643,0,-4.45837492356643,0,0,"0"
"10","Acanthogobius_stigmothonus",-2.17283523872463,0,-2.17283523872463,0,0,"0"
"11","Acanthopagrus_butcheri",-1.71351587301933,0,-1.71351587301933,0,0,"0"
"12","Acanthopagrus_catenula",-1.71351587301933,0,-1.71351587301933,0,0,"0"
"13","Acanthoplesiops_psilogaster",-1.53887206989125,0,-1.53887206989125,0,0,"0"
"14","Acanthostracion_notacanthus",-3.98016773379225,0,-3.98016773379225,0,0,"0"
"15","Acanthurus_bariene",-5.22559919494264,0,-5.22559919494264,0,0,"0"
"16","Acanthurus_coeruleus",-5.22559919494264,0,-5.22559919494264,0,0,"0"
"17","Acanthurus_olivaceus",-5.22559919494264,0,-5.22559919494264,0,0,"0"
"18","Acanthurus_tennentii",-5.22559919494264,0,-5.22559919494264,0,0,"0"
"19","Acentrogobius_ennorensis",-4.69884907494484,0,-4.69884907494484,0,0,"0"
"20","Acentrogobius_masoni",-4.69884907494484,0,-4.69884907494484,0,0,"0"
"21","Acentrogobius_violarisi",-4.69884907494484,0,-4.69884907494484,0,0,"0"
"22","Achirus_declivis",-5.02877104657485,0,-5.02877104657485,0,0,"0"
"23","Achirus_klunzingeri",-5.02877104657485,0,-5.02877104657485,0,0,"0"
"24","Acromycter_longipectoralis",-4.74884293703913,1,-4.74884293703913,1,1,"Acromycter_longipectoralis"
"25","Acroteriobatus_andysabini",-3.47784312090042,0,-3.47784312090042,0,0,"0"
"26","Acroteriobatus_annulatus",-3.47784312090042,0,-3.47784312090042,0,0,"0"
"27","Acroteriobatus_zanzibarensis",-3.47784312090042,0,-3.47784312090042,0,0,"0"
"28","Adventor_elongatus",-4.86217319686669,0,-4.86217319686669,0,0,"0"
"29","Aetobatus_laticeps",-3.74488550057278,0,-3.74488550057278,0,0,"0"
"30","Agonomalus_mozinoi",-4.90528323607514,0,-4.90528323607514,0,0,"0"
"31","Agonopsis_sterletus",-4.92031264975131,0,-4.92031264975131,0,0,"0"
"32","Alepisaurus_brevirostris",0.789087102873318,1,0.789087102873318,0,0,"0"
"33","Alepocephalus_andersoni",-2.3202764826703,0,-2.3202764826703,0,0,"0"
"34","Alepocephalus_triangularis",-2.3202764826703,0,-2.3202764826703,0,0,"0"
"35","Allenichthys_glauerti",-2.33042961200771,0,-2.33042961200771,0,0,"0"
"36","Alloblennius_parvus",-3.99473682040447,0,-3.99473682040447,0,0,"0"
"37","Allocareproctus_kallaion",-2.86894674856126,0,-2.86894674856126,0,0,"0"
"38","Altrichthys_alelia",-4.85031204521976,0,-4.85031204521976,0,0,"0"
"39","Amarsipus_carlsbergi",0.140635407517697,1,0.140635407517697,0,0,"0"
"40","Amblyeleotris_arcupinna",-4.79327145245407,0,-4.79327145245407,0,0,"0"
"41","Amblyeleotris_callopareia",-4.79327145245407,0,-4.79327145245407,0,0,"0"
"42","Amblyeleotris_ellipse",-4.79327145245407,0,-4.79327145245407,0,0,"0"
"43","Amblyeleotris_macronema",-4.79327145245407,0,-4.79327145245407,0,0,"0"
"44","Amblyglyphidodon_leucogaster",-4.97306649903453,0,-4.97306649903453,0,0,"0"
"45","Amblygobius_tekomaji",-4.43906599643278,0,-4.43906599643278,0,0,"0"
"46","Amblyraja_hyperborea",-4.39738631683943,0,-4.39738631683943,0,0,"0"
"47","Ammodytoides_leptus",-1.75378934498478,0,-1.75378934498478,0,0,"0"
"48","Amphichthys_rubigenis",-4.62154900181289,0,-4.62154900181289,0,0,"0"
"49","Amphiprion_bicinctus",-5.19177609463397,0,-5.19177609463397,0,0,"0"
"50","Amphistichus_rhodoterus",-4.4585993864301,0,-4.4585993864301,0,0,"0"
"51","Anacanthobatis_marmorata",-3.42636107326134,0,-3.42636107326134,0,0,"0"
"52","Anacanthobythites_platycephalus",-2.51340112822032,0,-2.51340112822032,0,0,"0"
"53","Anampses_twistii",-4.46312958033395,0,-4.46312958033395,0,0,"0"
"54","Anarchias_allardicei",-5.10173837576571,0,-5.10173837576571,0,0,"0"
"55","Anarchopterus_tectus",-4.0007123900542,0,-4.0007123900542,0,0,"0"
"56","Anarhichas_minor",-4.65846271520397,0,-4.65846271520397,0,0,"0"
"57","Anchoa_chamensis",3.42530724257227,1,3.42530724257227,1,2,"Anchoa_chamensis"
"58","Anchoa_filifera",3.42530724257227,1,3.42530724257227,1,3,"Anchoa_filifera"
"59","Anchoviella_blackburni",3.35468581765022,1,3.35468581765022,1,4,"Anchoviella_blackburni"
"60","Anisochromis_kenyae",-4.58156869984359,0,-4.58156869984359,0,0,"0"
"61","Anisochromis_straussi",-4.58156869984359,0,-4.58156869984359,0,0,"0"
