"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Acanthogobius_flavimanus",2.26149568282752,3.76584049525006,2.26149568282752,1,1,"Acanthogobius_flavimanus"
"2","Acanthopagrus_butcheri",3.75564591766292,3.66724076729159,3.75564591766292,0,0,"0"
"3","Acyrtops_beryllinus",2.59700377390305,0.916290731874155,2.59700377390305,1,2,"Acyrtops_beryllinus"
"4","Alepes_kleinii",3.52842969722936,2.83907846350861,3.52842969722936,0,0,"0"
"5","Alopias_pelagicus",6.00586020861714,5.88026558033963,6.00586020861714,1,3,"Alopias_pelagicus"
"6","Ammodytes_hexapterus",3.21134477651014,3.44998754583159,3.21134477651014,0,0,"0"
"7","Atule_mate",3.94164828446733,3.39226875091785,3.94164828446733,0,0,"0"
"8","Bathyraja_taranetzi",4.75729217078825,4.32941668440158,4.75729217078825,0,0,"0"
"9","Bothus_constellatus",3.30951013061774,2.80245087652369,3.30951013061774,0,0,"0"
"10","Brevoortia_tyrannus",3.59143313742232,3.57162680103566,3.59143313742232,0,0,"0"
"11","Centrophorus_squamosus",4.62074920953962,4.98286434857489,4.62074920953962,0,0,"0"
"12","Cephalopholis_cruentata",3.57050027452048,3.60186807712431,3.57050027452048,0,0,"0"
"13","Chaetodipterus_faber",3.3990612226549,3.96276047870909,3.3990612226549,0,0,"0"
"14","Chaetodon_semilarvatus",2.53011958343222,2.90690105984738,2.53011958343222,0,0,"0"
"15","Chionodraco_rastrospinosus",3.96584316549952,3.93182563272433,3.96584316549952,0,0,"0"
"16","Ciliata_mustela",3.54765965234715,3.2188758248682,3.54765965234715,0,0,"0"
"17","Citharus_linguatula",3.40286711860779,3.31127267413417,3.40286711860779,0,0,"0"
"18","Contusus_richei",3.71531860689526,2.87732404250369,3.71531860689526,0,0,"0"
"19","Decapterus_macarellus",3.42809412658495,3.32683296637329,3.42809412658495,0,0,"0"
"20","Decapterus_tabl",3.42809412658495,3.48431228837266,3.42809412658495,0,0,"0"
"21","Diagramma_pictum",3.75833174529488,4.23338160423931,3.75833174529488,0,0,"0"
"22","Dipturus_chinensis",5.21088385504453,4.38140143927996,5.21088385504453,1,4,"Dipturus_chinensis"
"23","Epinephelus_bleekeri",4.13892217936418,4.22317743406507,4.13892217936418,0,0,"0"
"24","Epinephelus_drummondhayi",4.13892217936418,4.57471097850338,4.13892217936418,0,0,"0"
"25","Equulites_leuciscus",2.51079313472914,2.48768057667073,2.51079313472914,0,0,"0"
"26","Eubleekeria_splendens",2.65798769610528,2.71524646797281,2.65798769610528,0,0,"0"
"27","Eviota_melasma",1.26051607820123,1.01523067972906,1.26051607820123,1,5,"Eviota_melasma"
"28","Galeocerdo_cuvier",5.03745379767746,6.02586597382531,5.03745379767746,0,0,"0"
"29","Galeus_melastomus",5.05942198538434,4.2076732475291,5.05942198538434,1,6,"Galeus_melastomus"
"30","Gazza_minuta",2.74961366405687,2.62103882411258,2.74961366405687,0,0,"0"
"31","Glaucosoma_hebraicum",3.97324845484722,4.51715830866488,3.97324845484722,0,0,"0"
"32","Glaucostegus_cemiculus",4.9432986714783,4.61512051684126,4.9432986714783,0,0,"0"
