"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Abudefduf_sordidus",-1.62603382914135,-1.83359520373231,-1.62603382914135,0,0,"0"
"2","Acanthogobius_flavimanus",-0.888788477938614,-0.802552768744885,-0.888788477938614,0,0,"0"
"3","Acanthopagrus_butcheri",-1.13460446785235,-1.15240444345778,-1.13460446785235,0,0,"0"
"4","Acanthurus_bahianus",-1.91683846304242,-2.11317718624066,-1.91683846304242,0,0,"0"
"5","Acanthurus_japonicus",-1.91683846304242,-1.98008752371612,-1.91683846304242,0,0,"0"
"6","Acentrogobius_viridipunctatus",-1.0959525952909,-1.02365223693365,-1.0959525952909,0,0,"0"
"7","Aesopia_cornuta",-1.36859542692841,-1.92333461087681,-1.36859542692841,1,1,"Aesopia_cornuta"
"8","Aldrovandia_affinis",-0.753802596396319,-1.23776440955485,-0.753802596396319,1,2,"Aldrovandia_affinis"
"9","Aluterus_monoceros",-2.06052646398772,-2.10390789517173,-2.06052646398772,0,0,"0"
"10","Amphichaetodon_howensis",-1.21371359626836,-1.43092880139805,-1.21371359626836,0,0,"0"
"11","Amphiprion_chrysogaster",-1.45752116491179,-1.46230782756948,-1.45752116491179,0,0,"0"
"12","Amphiprion_clarkii",-1.45752116491179,-1.59068487418218,-1.45752116491179,0,0,"0"
"13","Anampses_caeruleopunctatus",-1.50559998265816,-1.55028383361548,-1.50559998265816,0,0,"0"
"14","Anchoa_filifera",-0.398002819692964,-0.245397677804444,-0.398002819692964,0,0,"0"
"15","Anchoa_hepsetus",-0.398002819692964,-0.454963854648157,-0.398002819692964,0,0,"0"
"16","Anchoa_panamensis",-0.398002819692964,-0.518307942534936,-0.398002819692964,0,0,"0"
"17","Anisotremus_interruptus",-1.41289504573224,-1.44729798177914,-1.41289504573224,0,0,"0"
"18","Anisotremus_surinamensis",-1.41289504573224,-1.31101426665179,-1.41289504573224,0,0,"0"
"19","Antennarius_hispidus",-0.832589555579838,-0.696951696709549,-0.832589555579838,0,0,"0"
"20","Antigonia_capros",-1.56236471679375,-1.63349880456177,-1.56236471679375,0,0,"0"
"21","Aplodactylus_arctidens",-1.69981102680386,-1.82873526508017,-1.69981102680386,0,0,"0"
"22","Argentina_striata",-0.427138883439112,-1.30266386875773,-0.427138883439112,1,3,"Argentina_striata"
"23","Arnoglossus_imperialis",-0.94894677284464,-0.901355868023235,-0.94894677284464,0,0,"0"
"24","Artediellus_fuscimentus",-0.909848750848688,-0.692566809842893,-0.909848750848688,0,0,"0"
"25","Artedius_fenestralis",-0.808404176910081,-1.19657057851704,-0.808404176910081,0,0,"0"
"26","Artedius_lateralis",-0.808404176910081,-0.592525367654975,-0.808404176910081,0,0,"0"
"27","Aseraggodes_kobensis",-1.3687930537187,-1.32898983527726,-1.3687930537187,0,0,"0"
"28","Ateleopus_japonicus",-1.0014515255323,-1.19785142002875,-1.0014515255323,0,0,"0"
"29","Aulichthys_japonicus",-0.89660669459559,0.636631260134594,-0.89660669459559,1,4,"Aulichthys_japonicus"
"30","Aulopus_filamentosus",-0.502410661841575,-0.555568654840117,-0.502410661841575,0,0,"0"
"31","Aulostomus_maculatus",-0.818545744496232,-0.729560353439499,-0.818545744496232,0,0,"0"
"32","Avocettina_infans",-0.278086054619432,0.0350970326597089,-0.278086054619432,0,0,"0"
"33","Bathophilus_vaillanti",-0.373621526365951,-0.145345565151239,-0.373621526365951,0,0,"0"
"34","Bathygobius_mystacium",-0.989723654372906,-1.35608905119761,-0.989723654372906,0,0,"0"
"35","Bathylagus_tenuis",-1.18708857574352,-1.20661375391566,-1.18708857574352,0,0,"0"
"36","Benthalbella_elongata",-0.109798186586695,0.00987634399285672,-0.109798186586695,0,0,"0"
"37","Benthosema_fibulatum",-0.428578079619804,-0.459697022680426,-0.428578079619804,0,0,"0"
"38","Benthosema_pterotum",-0.428578079619804,-0.415887196552098,-0.428578079619804,0,0,"0"
"39","Bothrocara_brunneum",-0.781899784514022,-0.720028027278245,-0.781899784514022,0,0,"0"
"40","Bothrocara_hollandi",-0.781899784514022,-0.828632405406304,-0.781899784514022,0,0,"0"
"41","Bovichtus_variegatus",-0.931831878619547,-0.92139197275526,-0.931831878619547,0,0,"0"
"42","Brachysomophis_henshawi",-0.629469572332304,-0.870281341209827,-0.629469572332304,0,0,"0"
"43","Bregmaceros_cantori",-0.824282393315366,-0.793560698373765,-0.824282393315366,0,0,"0"
