"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Acanthopagrus_butcheri",-0.994846494957615,-1.6094379124341,-0.994846494957615,0,0,"0"
"2","Alopias_pelagicus",-1.51452970871446,-1.82914985844661,-1.51452970871446,0,0,"0"
"3","Ammodytes_hexapterus",-0.162760602433526,-0.916290731874155,-0.162760602433526,0,0,"0"
"4","Archosargus_rhomboidalis",-1.17812558924508,0.683096844706444,-1.17812558924508,1,1,"Archosargus_rhomboidalis"
"5","Brevoortia_tyrannus",-0.439393138679959,-0.472673857801614,-0.439393138679959,0,0,"0"
"6","Centrophorus_squamosus",-2.14944423605414,-2.67075441635851,-2.14944423605414,0,0,"0"
"7","Cephalopholis_cruentata",-1.50016236484294,-0.713349887877465,-1.50016236484294,0,0,"0"
"8","Chelidonichthys_kumu",-0.877565546088759,-1.27296567581289,-0.877565546088759,0,0,"0"
"9","Epinephelus_bleekeri",-1.54258399717171,-1.74296930505862,-1.54258399717171,0,0,"0"
"10","Epinephelus_drummondhayi",-1.54258399717171,-1.91960420443887,-1.54258399717171,0,0,"0"
"11","Eubleekeria_splendens",0.784865767296207,0.877549903557724,0.784865767296207,0,0,"0"
"12","Evynnis_cardinalis",-0.997307035675531,0.048790164169432,-0.997307035675531,0,0,"0"
"13","Galeus_melastomus",-2.03113771747171,-0.510825623765991,-2.03113771747171,1,2,"Galeus_melastomus"
"14","Glaucosoma_hebraicum",-1.71237662735819,-2.27847801765081,-1.71237662735819,0,0,"0"
"15","Harengula_jaguana",0.0819830725584788,0.336472236621213,0.0819830725584788,0,0,"0"
"16","Hypoptychus_dybowskii",-0.838262082027622,1.43508452528932,-0.838262082027622,1,3,"Hypoptychus_dybowskii"
"17","Hyporhamphus_australis",-0.333803349261754,0.048790164169432,-0.333803349261754,0,0,"0"
"18","Hyporthodus_niveatus",-1.90581486986125,-1.81760049098788,-1.90581486986125,0,0,"0"
"19","Istiophorus_albicans",-0.941121612497494,0.182321556793955,-0.941121612497494,0,0,"0"
"20","Lampanyctus_macdonaldi",-0.00891758573599084,-0.356674943938732,-0.00891758573599084,0,0,"0"
"21","Lepidopsetta_bilineata",-1.26472088660323,-1.60445037092306,-1.26472088660323,0,0,"0"
"22","Lepidopus_caudatus",-0.666488727280286,-0.795733769335046,-0.666488727280286,0,0,"0"
"23","Lutjanus_bohar",-1.39364980830144,-1.63634672899132,-1.39364980830144,0,0,"0"
"24","Lycodes_squamiventer",-1.07989868140485,-1.58474529984373,-1.07989868140485,0,0,"0"
"25","Micromesistius_australis",-0.842571010185946,-1.6094379124341,-0.842571010185946,0,0,"0"
"26","Micropogonias_undulatus",-0.922115688652297,-0.139262067333508,-0.922115688652297,0,0,"0"
"27","Mobula_birostris",-1.37358482058436,-1.56064774826467,-1.37358482058436,0,0,"0"
"28","Mulloidichthys_martinicus",-0.404427687382995,0.53062825106217,-0.404427687382995,0,0,"0"
"29","Neogobius_melanostomus",0.490619079952466,-0.356674943938732,0.490619079952466,0,0,"0"
"30","Opsanus_tau",-0.0499524960539534,-0.798507696217772,-0.0499524960539534,0,0,"0"
"31","Pagrus_caeruleostictus",-1.53471610053186,-0.27443684570176,-1.53471610053186,0,0,"0"
"32","Parazanclistius_hutchinsi",-1.79817765768474,-2.44639772835989,-1.79817765768474,0,0,"0"
"33","Percophis_brasiliensis",-0.838262082027622,-1.32044420055752,-0.838262082027622,0,0,"0"
"34","Polymixia_nobilis",-0.767965046179895,-1.20397280432594,-0.767965046179895,0,0,"0"
"35","Protonibea_diacanthus",-0.566913075865614,-0.186329578191493,-0.566913075865614,0,0,"0"
"36","Pseudobatos_productus",-1.14126887037911,-1.33750419695046,-1.14126887037911,0,0,"0"
"37","Pseudopleuronectes_yokohamae",-0.638954255524569,-0.867500567704723,-0.638954255524569,0,0,"0"
"38","Pterogymnus_laniarius",-1.10452145196478,-0.991795833404912,-1.10452145196478,0,0,"0"
"39","Raja_brachyura",-1.27195678278109,-1.23787435600162,-1.27195678278109,0,0,"0"
"40","Salarias_patzneri",0.795213702396861,1.78339121955754,0.795213702396861,0,0,"0"
"41","Sarda_sarda",-0.354322456756588,-0.139262067333508,-0.354322456756588,0,0,"0"
"42","Sardinella_maderensis",0.00460542715240811,-0.342490308946776,0.00460542715240811,0,0,"0"
"43","Saurida_undosquamis",-0.301302737096111,-0.326191927213657,-0.301302737096111,0,0,"0"
"44","Scyliorhinus_canicula",-3.38104546210206,-0.891598119283784,-3.38104546210206,1,4,"Scyliorhinus_canicula"
"45","Sebastes_caurinus",-2.19097053804578,-2.04022082852655,-2.19097053804578,0,0,"0"
"46","Serrivomer_sector",-1.17959667521916,-0.693147180559945,-1.17959667521916,0,0,"0"
"47","Solea_aegyptiaca",-0.658813571697406,-1.23787435600162,-0.658813571697406,0,0,"0"
"48","Somniosus_microcephalus",-2.55648314042174,-4.53657739452248,-2.55648314042174,0,0,"0"
"49","Sparodon_durbanensis",-1.10452145196478,-1.79715399354536,-1.10452145196478,0,0,"0"
"50","Sphyrna_tiburo",-1.72026034324901,-1.02165124753198,-1.72026034324901,0,0,"0"
"51","Thalassoma_bifasciatum",-0.490367195971927,0.336472236621213,-0.490367195971927,0,0,"0"
"52","Trachinocephalus_trachinus",-0.172634050093817,-0.857444160441081,-0.172634050093817,0,0,"0"
"53","Trematomus_loennbergii",-1.39377183208475,-1.70040254780819,-1.39377183208475,0,0,"0"
"54","Trigla_lyra",-0.664656971180311,-0.59783700075562,-0.664656971180311,0,0,"0"
"55","Upeneus_moluccensis",0.226615795367947,-0.139262067333508,0.226615795367947,0,0,"0"
"56","Acanthopagrus_arabicus",-0.957855838417629,-1.18199389760716,-0.957855838417629,0,0,"0"
"57","Acanthopagrus_bifasciatus",-0.957855838417629,-1.30174183796853,-0.957855838417629,0,0,"0"
"58","Acentrogobius_pflaumii",0.908742026233191,0.0741051150067832,0.908742026233191,1,5,"Acentrogobius_pflaumii"
"59","Agonus_cataphractus",-0.811108262941022,0.336472236621213,-0.811108262941022,0,0,"0"
"60","Alepocephalus_tenebrosus",-1.90258571430346,-0.916290731874155,-1.90258571430346,0,0,"0"
"61","Allocyttus_niger",-2.83333106907971,-3.36029539034173,-2.83333106907971,1,6,"Allocyttus_niger"
"62","Amblygaster_sirm",0.23919008382452,0.537954291154243,0.23919008382452,0,0,"0"
"63","Amphiprion_melanopus",-0.578107223265249,-0.139262067333508,-0.578107223265249,0,0,"0"
"64","Anarhichas_lupus",-0.914439361600235,-1.65595316617557,-0.914439361600235,0,0,"0"
"65","Anyperodon_leucogrammicus",-1.21860651566012,-1.89711998488588,-1.21860651566012,0,0,"0"
"66","Aphareus_rutilans",-1.0233109714957,-1.33750419695046,-1.0233109714957,0,0,"0"
"67","Argyrops_spinifer",-1.01710148789323,-1.62964061975162,-1.01710148789323,0,0,"0"
"68","Atractoscion_aequidens",-0.889350782571062,-0.71743987312899,-0.889350782571062,0,0,"0"
"69","Bathyraja_trachura",-1.90297956270672,-1.56064774826467,-1.90297956270672,0,0,"0"
"70","Calamus_brachysomus",-0.970691560252326,-1.27296567581289,-0.970691560252326,0,0,"0"
"71","Callionymus_belcheri",0.317393846091482,0.336472236621213,0.317393846091482,0,0,"0"
"72","Carangoides_bajad",-0.0355607767051516,-0.644357016390513,-0.0355607767051516,0,0,"0"
"73","Carcharhinus_isodon",-1.3827854805821,-0.398986142010455,-1.3827854805821,0,0,"0"
"74","Carcharhinus_sorrah",-1.3827854805821,-0.644357016390513,-1.3827854805821,0,0,"0"
"75","Caulolatilus_microps",-1.30609670915033,-1.25526609871349,-1.30609670915033,0,0,"0"
"76","Cepola_macrophthalma",-0.73454421082949,-0.298855373049906,-0.73454421082949,0,0,"0"
"77","Chilara_taylori",-0.930698981834085,-0.693147180559945,-0.930698981834085,0,0,"0"
"78","Chrysoblephus_cristiceps",-1.23529951130522,-1.56542102701733,-1.23529951130522,0,0,"0"
"79","Dalatias_licha",-2.21642103504673,-2.14840584214637,-2.21642103504673,0,0,"0"
"80","Dentex_macrophthalmus",-0.943741774971303,-0.594207232705042,-0.943741774971303,0,0,"0"
"81","Diplodus_hottentotus",-0.836076216006718,-2.06144446497818,-0.836076216006718,0,0,"0"
"82","Engraulis_encrasicolus",0.105941589449002,0.146982190348646,0.105941589449002,0,0,"0"
"83","Eopsetta_jordani",-1.25902935473055,-1.49165487677772,-1.25902935473055,0,0,"0"
"84","Epinephelus_chlorostigma",-1.58243345798464,-1.00785792539965,-1.58243345798464,0,0,"0"
"85","Epinephelus_morio",-1.58243345798464,-1.71479842809193,-1.58243345798464,0,0,"0"
"86","Euthynnus_alletteratus",0.0258965133492736,-0.728774358203096,0.0258965133492736,0,0,"0"
"87","Galeorhinus_galeus",-1.31050545193301,-2.33574898577248,-1.31050545193301,0,0,"0"
"88","Genypterus_blacodes",-1.1173221310754,-1.69644928942373,-1.1173221310754,0,0,"0"
"89","Girella_punctata",-0.879929846237676,-1.12985530840804,-0.879929846237676,0,0,"0"
"90","Harpagifer_bispinis",-0.766522568694017,-0.762132909215264,-0.766522568694017,0,0,"0"
"91","Knipowitschia_longecaudata",0.789705949488302,0.741937344729377,0.789705949488302,0,0,"0"
"92","Labrus_mixtus",-1.28953000544529,-1.34707364796661,-1.28953000544529,0,0,"0"
"93","Lamna_nasus",-1.93630007637263,-1.71479842809193,-1.93630007637263,0,0,"0"
"94","Leiognathus_ruconius",0.900945232380503,1.30019166206648,0.900945232380503,0,0,"0"
"95","Lethrinus_enigmaticus",-0.888472995927548,-1.6094379124341,-0.888472995927548,0,0,"0"
"96","Lipophrys_pholis",0.781729825705901,-0.105360515657826,0.781729825705901,1,7,"Lipophrys_pholis"
"97","Lutjanus_erythropterus",-1.43120085008978,-1.19360176990172,-1.43120085008978,0,0,"0"
"98","Lutjanus_malabaricus",-1.43120085008978,-1.83264396570152,-1.43120085008978,0,0,"0"
"99","Lutjanus_purpureus",-1.43120085008978,-1.04982212449868,-1.43120085008978,0,0,"0"
"100","Lycodes_pacificus",-1.63276261832856,-0.139262067333508,-1.63276261832856,1,8,"Lycodes_pacificus"
"101","Megalops_atlanticus",-0.208333867788238,-2.54874141861733,-0.208333867788238,1,9,"Megalops_atlanticus"
"102","Menidia_extensa",0.191482046070747,0.336472236621213,0.191482046070747,0,0,"0"
"103","Menidia_menidia",0.191482046070747,0.741937344729377,0.191482046070747,0,0,"0"
"104","Merluccius_merluccius",-0.789148898788687,-1.02040202813155,-0.789148898788687,0,0,"0"
"105","Merluccius_productus",-0.789148898788687,-0.579818495252942,-0.789148898788687,0,0,"0"
"106","Mustelus_henlei",-1.34725286959123,-1.24943517840269,-1.34725286959123,0,0,"0"
"107","Mycteroperca_olfax",-1.42506379783388,-1.6094379124341,-1.42506379783388,0,0,"0"
"108","Myliobatis_californica",-1.42673289496521,-1.70040254780819,-1.42673289496521,0,0,"0"
"109","Myzopsetta_ferruginea",-1.4863958389782,-1.89711998488588,-1.4863958389782,0,0,"0"
"110","Nemichthys_scolopaceus",-0.877719755895564,-0.916290731874155,-0.877719755895564,0,0,"0"
"111","Nemipterus_virgatus",0.14021015548779,0.194744076792512,0.14021015548779,0,0,"0"
"112","Netuma_thalassina",-0.917499399754166,-0.85566611005772,-0.917499399754166,0,0,"0"
"113","Ocyurus_chrysurus",-1.060069337385,-0.969520109788776,-1.060069337385,0,0,"0"
"114","Oncorhynchus_nerka",-0.0620646594565792,-0.328504066972036,-0.0620646594565792,0,0,"0"
"115","Opisthonema_oglinum",-0.0166970751164842,-0.620826518980319,-0.0166970751164842,0,0,"0"
"116","Paralichthys_lethostigma",-0.840619240256202,-0.620826518980319,-0.840619240256202,0,0,"0"
"117","Pennahia_macrocephalus",0.0627717775741013,0.0392207131532813,0.0627717775741013,0,0,"0"
"118","Pentaprion_longimanus",-0.407240151492391,1.06643339030387,-0.407240151492391,1,10,"Pentaprion_longimanus"
"119","Periophthalmus_waltoni",0.416172843541991,0.553885113226438,0.416172843541991,0,0,"0"
"120","Petrus_rupestris",-0.956917507910171,-1.89711998488588,-0.956917507910171,0,0,"0"
"121","Platycephalus_westraliae",-0.988166761886102,-0.644357016390513,-0.988166761886102,0,0,"0"
"122","Pomacanthus_maculosus",-1.06239000877626,-2.14840584214637,-1.06239000877626,0,0,"0"
"123","Pseudocyttus_maculatus",-2.40665090080729,-3.1172221711417,-2.40665090080729,0,0,"0"
"124","Salvelinus_struanensis",-1.01566954300372,-0.644357016390513,-1.01566954300372,0,0,"0"
"125","Salvelinus_youngeri",-1.01566954300372,-0.762132909215264,-1.01566954300372,0,0,"0"
"126","Sardinella_gibbosa",0.0418520152793219,-0.49429632181478,0.0418520152793219,0,0,"0"
"127","Sargocentron_rubrum",-0.0385052919521492,-0.365283318475333,-0.0385052919521492,0,0,"0"
"128","Saurida_elongata",-0.252075222291183,-0.510825623765991,-0.252075222291183,0,0,"0"
"129","Scarus_ferrugineus",-0.733030669867042,-1.20731170559145,-0.733030669867042,0,0,"0"
"130","Scarus_frenatus",-0.733030669867042,-1.39432653281715,-0.733030669867042,0,0,"0"
"131","Scorpaena_scrofa",-0.769395520063476,-1.78379129957888,-0.769395520063476,0,0,"0"
"132","Sebastes_mystinus",-2.20606467025584,-2.25379492882461,-2.20606467025584,0,0,"0"
"133","Serranus_cabrilla",-0.596380125400516,-0.385662480811985,-0.596380125400516,0,0,"0"
"134","Siganus_sutor",-0.456062281475232,-0.460449416440924,-0.456062281475232,0,0,"0"
"135","Sparisoma_viride",-0.467241990433892,-1.13943428318836,-0.467241990433892,0,0,"0"
"136","Sphyraena_argentea",-0.764627417480276,-0.941608539858445,-0.764627417480276,0,0,"0"
"137","Spratelloides_lewisi",1.78542403236332,2.63905732961526,1.78542403236332,1,11,"Spratelloides_lewisi"
"138","Stenotomus_chrysops",-0.930788183552478,-1.25526609871349,-0.930788183552478,0,0,"0"
"139","Stomias_atriventer",-0.436956702198415,-0.356674943938732,-0.436956702198415,0,0,"0"
"140","Symphodus_melops",0.0270078745334514,-0.713349887877465,0.0270078745334514,0,0,"0"
"141","Trematomus_hansoni",-1.40757460273649,-1.56064774826467,-1.40757460273649,0,0,"0"
"142","Triphoturus_mexicanus",0.385191650585395,-0.174353387144778,0.385191650585395,0,0,"0"
"143","Upeneus_sulphureus",0.0900350485172031,0.797507195884188,0.0900350485172031,0,0,"0"
"144","Variola_louti",-0.962796138133021,-0.82098055206983,-0.962796138133021,0,0,"0"
"145","Acanthoclinus_littoreus",-0.626437737680864,-0.762132909215264,-0.626437737680864,0,0,"0"
"146","Acanthurus_coeruleus",-0.59329757285049,0.398776119957368,-0.59329757285049,0,0,"0"
"147","Albula_vulpes",-0.271401587367837,-1.50936635870988,-0.271401587367837,0,0,"0"
"148","Ammodytes_dubius",-0.353564830392206,0,-0.353564830392206,0,0,"0"
"149","Argentina_sphyraena",-0.872798121491695,-0.478035800943,-0.872798121491695,0,0,"0"
"150","Arrhamphus_krefftii",0.0470530578927527,-0.510825623765991,0.0470530578927527,0,0,"0"
"151","Atherina_presbyter",0.386772576450752,0.0723206615796263,0.386772576450752,0,0,"0"
"152","Balistes_vetula",-0.975746496950667,0.955511445027436,-0.975746496950667,1,12,"Balistes_vetula"
"153","Bostrychus_africanus",0.35588558478979,0.719423903638165,0.35588558478979,0,0,"0"
"154","Brachydeuterus_auritus",-0.484164654862242,-0.113728765328343,-0.484164654862242,0,0,"0"
"155","Caranx_senegallus",-0.250036846248267,-0.116533816255952,-0.250036846248267,0,0,"0"
"156","Carcharhinus_limbatus",-1.28931480109153,-1.39972413823162,-1.28931480109153,0,0,"0"
"157","Carcharodon_carcharias",-1.74894944288273,-2.13423569376697,-1.74894944288273,0,0,"0"
"158","Careproctus_melanurus",-0.670459359624665,-0.510825623765991,-0.670459359624665,0,0,"0"
"159","Ceratoscopelus_maderensis",0.255195586741986,0.741937344729377,0.255195586741986,0,0,"0"
"160","Chloroscombrus_chrysurus",-0.0848503753878892,0.157003748809665,-0.0848503753878892,0,0,"0"
"161","Clupeonella_cultriventris",-0.100198182366208,-0.356674943938732,-0.100198182366208,0,0,"0"
"162","Coryphaena_equiselis",-0.521551849240173,0.0953101798043249,-0.521551849240173,0,0,"0"
"163","Coryphaena_hippurus",-0.521551849240173,0.000666444543160447,-0.521551849240173,0,0,"0"
"164","Deltentosteus_quadrimaculatus",0.787127217481558,-0.174353387144778,0.787127217481558,1,13,"Deltentosteus_quadrimaculatus"
"165","Dentex_congoensis",-1.01312990592095,-0.478035800943,-1.01312990592095,0,0,"0"
"166","Diaphus_theta",0.701955861299479,-0.356674943938732,0.701955861299479,0,0,"0"
"167","Diplodus_cervinus",-0.889808263035598,-1.53711725085447,-0.889808263035598,0,0,"0"
"168","Dipturus_chilensis",-1.78718690858101,-1.62470384610453,-1.78718690858101,0,0,"0"
"169","Dolloidraco_longedorsalis",-0.936062802904822,-1.50936635870988,-0.936062802904822,0,0,"0"
"170","Epigonus_angustifrons",-1.02488863821377,-1.27296567581289,-1.02488863821377,0,0,"0"
"171","Epigonus_telescopus",-1.02488863821377,-2.99573227355399,-1.02488863821377,1,14,"Epigonus_telescopus"
"172","Epinephelides_armatus",-0.786164641752636,-1.30171427064683,-0.786164641752636,0,0,"0"
"173","Forsterygion_lapillum",0.985500920885817,0.336472236621213,0.985500920885817,1,15,"Forsterygion_lapillum"
"174","Gerres_longirostris",-0.273201372201678,-0.607434424190968,-0.273201372201678,0,0,"0"
"175","Glossanodon_semifasciatus",-0.683939589628949,0.741937344729377,-0.683939589628949,1,16,"Glossanodon_semifasciatus"
"176","Gymnapistes_marmoratus",-0.270748102512599,-1.17118298150295,-0.270748102512599,0,0,"0"
"177","Gymnocanthus_tricuspis",-1.20228252159096,-0.713349887877465,-1.20228252159096,0,0,"0"
"178","Haemulon_plumierii",-0.160865439457584,0.570979546585738,-0.160865439457584,0,0,"0"
"179","Harpadon_nehereus",-0.664572209047033,0.559615787935423,-0.664572209047033,0,0,"0"
"180","Helicolenus_dactylopterus",-2.31613191647256,-2.12026353620009,-2.31613191647256,1,17,"Helicolenus_dactylopterus"
"181","Hippoglossoides_robustus",-1.37328252933926,-0.948624547573089,-1.37328252933926,0,0,"0"
"182","Hippoglossus_hippoglossus",-1.35073278855851,-1.6094379124341,-1.35073278855851,0,0,"0"
"183","Hippoglossus_stenolepis",-1.35073278855851,-1.63989711991881,-1.35073278855851,0,0,"0"
"184","Hypomesus_olidus",-0.180059275677876,0.896088024556636,-0.180059275677876,0,0,"0"
"185","Knipowitschia_croatica",0.778796616453226,0.741937344729377,0.778796616453226,0,0,"0"
"186","Labrus_bergylta",-1.10011621975207,-1.89711998488588,-1.10011621975207,0,0,"0"
"187","Lepidonotothen_squamifrons",-1.17426270436695,-1.4827318427569,-1.17426270436695,0,0,"0"
"188","Lepidotrigla_cavillone",-0.673537252154701,-0.139262067333508,-0.673537252154701,0,0,"0"
"189","Lobianchia_dofleini",0.348734769812344,1.43508452528932,0.348734769812344,0,0,"0"
"190","Macruronus_magellanicus",-1.44834197785905,-1.20397280432594,-1.44834197785905,0,0,"0"
"191","Makaira_mazara",-0.530476452674362,-1.83258146374831,-0.530476452674362,0,0,"0"
"192","Microstomus_kitt",-2.02260932490919,-1.70040254780819,-2.02260932490919,0,0,"0"
"193","Molva_dypterygia",-1.16679519575784,-1.49492689064814,-1.16679519575784,0,0,"0"
"194","Monocentris_reedi",-0.507267366998293,-0.620826518980319,-0.507267366998293,0,0,"0"
"195","Myoxocephalus_polyacanthocephalus",-0.835132492227491,-1.39812405687347,-0.835132492227491,0,0,"0"
"196","Negaprion_brevirostris",-0.937465611904777,-0.720518377356077,-0.937465611904777,0,0,"0"
"197","Nemipterus_hexodon",0.131231023826631,0.387527407421497,0.131231023826631,0,0,"0"
"198","Nemipterus_thosaporni",0.131231023826631,0.212419587951234,0.131231023826631,0,0,"0"
"199","Neosalanx_pseudotaihuensis",1.02062045392637,1.43508452528932,1.02062045392637,0,0,"0"
"200","Notorynchus_cepedianus",-1.88930544090101,-2.0306513775104,-1.88930544090101,0,0,"0"
"201","Oncorhynchus_keta",-0.137449965221994,0,-0.137449965221994,0,0,"0"
"202","Pachymetopon_aeneum",-1.54713105212834,-1.02165124753198,-1.54713105212834,0,0,"0"
"203","Pachymetopon_blochii",-1.54713105212834,-1.02165124753198,-1.54713105212834,0,0,"0"
"204","Platycephalus_grandispinis",-0.916351852298219,-1.1652009098254,-0.916351852298219,0,0,"0"
"205","Plectropomus_leopardus",-1.08091523818943,-0.139262067333508,-1.08091523818943,0,0,"0"
"206","Pleuragramma_antarcticum",-1.17426270436695,-2.06144446497818,-1.17426270436695,0,0,"0"
"207","Polyprion_americanus",-2.05530527719954,-2.54759089116539,-2.05530527719954,0,0,"0"
"208","Polysteganus_undulosus",-1.15134278740365,-1.56064774826467,-1.15134278740365,0,0,"0"
"209","Pristipomoides_typus",-0.843031568424653,-0.952151097325232,-0.843031568424653,0,0,"0"
"210","Pronotogrammus_martinicensis",-0.932715625022745,-1.27296567581289,-0.932715625022745,0,0,"0"
"211","Prototroctes_maraena",-0.028669359985123,-0.2484613592985,-0.028669359985123,0,0,"0"
"212","Raja_montagui",-1.30548157028223,-1.17118298150295,-1.30548157028223,0,0,"0"
"213","Salmo_salar",-0.631616560909514,0.0953101798043249,-0.631616560909514,0,0,"0"
"214","Salvelinus_alpinus",-0.903867381928193,-1.55708268210017,-0.903867381928193,0,0,"0"
"215","Sardina_pilchardus",-0.292326302352368,-0.981853777657915,-0.292326302352368,0,0,"0"
"216","Scomberomorus_cavalla",-0.668525944355038,-1.21514610492406,-0.668525944355038,0,0,"0"
"217","Scomberomorus_sierra",-0.668525944355038,-0.713349887877465,-0.668525944355038,0,0,"0"
"218","Scorpis_aequipinnis",-0.887057629337434,-2.78449937326562,-0.887057629337434,1,18,"Scorpis_aequipinnis"
"219","Seriola_dumerili",-0.315455316952932,-1.27296567581289,-0.315455316952932,0,0,"0"
"220","Sphoeroides_maculatus",-0.194359114278715,0.336472236621213,-0.194359114278715,0,0,"0"
"221","Sphyraena_chrysotaenia",-0.727577681455566,-0.174353387144778,-0.727577681455566,0,0,"0"
"222","Spratelloides_gracilis",1.90015524846147,2.42480272571829,1.90015524846147,1,19,"Spratelloides_gracilis"
"223","Squalus_suckleyi",-1.92353455635596,-2.59026716544583,-1.92353455635596,0,0,"0"
"224","Stegastes_rectifraenum",-1.12319419072047,-0.93672305738865,-1.12319419072047,0,0,"0"
"225","Symphorus_nematophorus",-1.05029140446903,-1.38629436111989,-1.05029140446903,0,0,"0"
"226","Synodus_saurus",-0.280707349341913,-0.867500567704723,-0.280707349341913,0,0,"0"
"227","Trachurus_declivis",-0.856665712729048,-0.400477566597125,-0.856665712729048,0,0,"0"
"228","Trachurus_picturatus",-0.856665712729048,-1.45530151842317,-0.856665712729048,0,0,"0"
"229","Trematomus_bernacchii",-1.52719914844692,-1.6094379124341,-1.52719914844692,0,0,"0"
"230","Trematomus_eulepidotus",-1.52719914844692,-1.45530151842317,-1.52719914844692,0,0,"0"
"231","Trematomus_newnesi",-1.52719914844692,-0.510825623765991,-1.52719914844692,0,0,"0"
