"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Abudefduf_sordidus",-0.86523451950455,-0.818631418835365,-0.86523451950455,0,0,"0"
"2","Acanthogobius_flavimanus",-0.549121057150604,-0.647326253909827,-0.549121057150604,0,0,"0"
"3","Acanthopagrus_butcheri",-0.907167759037215,-0.861197517162566,-0.907167759037215,0,0,"0"
"4","Acanthurus_bahianus",-0.948857774372452,-0.933437867494532,-0.948857774372452,0,0,"0"
"5","Acanthurus_japonicus",-0.948857774372452,-0.941897412107092,-0.948857774372452,0,0,"0"
"6","Acentrogobius_viridipunctatus",-0.621529575349604,-0.453859277278341,-0.621529575349604,0,0,"0"
"7","Aesopia_cornuta",-1.38542720383858,-1.36309776096469,-1.38542720383858,1,1,"Aesopia_cornuta"
"8","Aldrovandia_affinis",-1.10514436607253,-1.08341630938347,-1.10514436607253,0,0,"0"
"9","Aluterus_monoceros",-1.18763279607007,-1.16217349861033,-1.18763279607007,0,0,"0"
"10","Amphichaetodon_howensis",-1.06876052327186,-1.03895357306678,-1.06876052327186,0,0,"0"
"11","Amphiprion_chrysogaster",-0.79787208036313,-0.786475287323948,-0.79787208036313,0,0,"0"
"12","Amphiprion_clarkii",-0.79787208036313,-0.825348734864818,-0.79787208036313,0,0,"0"
"13","Anampses_caeruleopunctatus",-0.90908117902483,-0.915547812107568,-0.90908117902483,0,0,"0"
"14","Anchoa_filifera",-1.05855472182294,-1.02412665340817,-1.05855472182294,0,0,"0"
"15","Anchoa_hepsetus",-1.05855472182294,-0.955742026122022,-1.05855472182294,0,0,"0"
"16","Anchoa_panamensis",-1.05855472182294,-1.21104421912051,-1.05855472182294,0,0,"0"
"17","Anisotremus_interruptus",-0.825593834211348,-0.834194495582413,-0.825593834211348,0,0,"0"
"18","Anisotremus_surinamensis",-0.825593834211348,-0.752206686340722,-0.825593834211348,0,0,"0"
"19","Antennarius_hispidus",-0.463825322865655,-0.401513737290452,-0.463825322865655,0,0,"0"
"20","Antigonia_capros",-1.06744848664576,-1.05635611174071,-1.06744848664576,0,0,"0"
"21","Aplodactylus_arctidens",-0.814323033398192,-0.742497434428438,-0.814323033398192,0,0,"0"
"22","Argentina_striata",-0.827308462618077,-0.734177608830726,-0.827308462618077,0,0,"0"
"23","Arnoglossus_imperialis",-1.33468238439555,-1.41170819013345,-1.33468238439555,0,0,"0"
"24","Artediellus_fuscimentus",-0.461371303570156,-0.288012034068874,-0.461371303570156,0,0,"0"
"25","Artedius_fenestralis",-0.392957532095343,-0.331351411355078,-0.392957532095343,0,0,"0"
"26","Artedius_lateralis",-0.392957532095343,-0.351023404409253,-0.392957532095343,0,0,"0"
"27","Aseraggodes_kobensis",-1.38540742586404,-1.45007993349092,-1.38540742586404,0,0,"0"
"28","Ateleopus_japonicus",-0.8530399435622,-0.907166266091014,-0.8530399435622,0,0,"0"
"29","Aulichthys_japonicus",-0.689811360852963,-1.27057240503781,-0.689811360852963,1,2,"Aulichthys_japonicus"
"30","Aulopus_filamentosus",-0.806156685279988,-0.639058823316531,-0.806156685279988,0,0,"0"
"31","Aulostomus_maculatus",-1.14060086770264,-1.11646613048273,-1.14060086770264,0,0,"0"
"32","Avocettina_infans",-1.37591677655598,-1.79902335169721,-1.37591677655598,1,3,"Avocettina_infans"
"33","Bathophilus_vaillanti",-0.99177855519275,-0.897428034448973,-0.99177855519275,0,0,"0"
"34","Bathygobius_mystacium",-0.493345626490046,-0.500808041192088,-0.493345626490046,0,0,"0"
"35","Bathylagus_tenuis",-0.852647745648831,-0.88502390175917,-0.852647745648831,0,0,"0"
"36","Benthalbella_elongata",-0.955073130022936,-0.961659314480545,-0.955073130022936,0,0,"0"
"37","Benthosema_fibulatum",-0.908221060799106,-0.737281145338373,-0.908221060799106,0,0,"0"
"38","Benthosema_pterotum",-0.908221060799106,-0.875192545726002,-0.908221060799106,0,0,"0"
"39","Bothrocara_brunneum",-0.901980807014948,-0.858056206844988,-0.901980807014948,0,0,"0"
"40","Bothrocara_hollandi",-0.901980807014948,-1.00999139307923,-0.901980807014948,0,0,"0"
"41","Bovichtus_variegatus",-0.527984751151977,-0.345635186143933,-0.527984751151977,0,0,"0"
"42","Brachysomophis_henshawi",-1.17822973436831,-1.09016804286507,-1.17822973436831,0,0,"0"
"43","Bregmaceros_cantori",-0.821431994876823,-0.990371875343738,-0.821431994876823,0,0,"0"
"44","Brevoortia_tyrannus",-1.01553324218983,-0.928306130689101,-1.01553324218983,0,0,"0"
"45","Cantherhines_pullus",-1.0270184169513,-1.00108055374908,-1.0270184169513,0,0,"0"
"46","Cantherhines_sandwichiensis",-1.0270184169513,-0.967095021348668,-1.0270184169513,0,0,"0"
"47","Canthidermis_sufflamen",-0.835170369860346,-0.931792808479928,-0.835170369860346,0,0,"0"
"48","Canthigaster_rivulata",-0.608308599045558,-0.660694729582236,-0.608308599045558,0,0,"0"
"49","Canthigaster_valentini",-0.608308599045558,-0.624165016544057,-0.608308599045558,0,0,"0"
"50","Caracanthus_maculatus",-0.573206027779078,-0.850464531595049,-0.573206027779078,1,4,"Caracanthus_maculatus"
"51","Carangoides_ferdau",-1.03256638069455,-0.984614432213273,-1.03256638069455,0,0,"0"
"52","Caranx_ignobilis",-0.912801248695284,-0.91401546691032,-0.912801248695284,0,0,"0"
"53","Careproctus_georgianus",-0.84834778048076,-0.552253011981386,-0.84834778048076,1,5,"Careproctus_georgianus"
