"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Abudefduf_sordidus",-1.03306963013078,-1.02976862921215,-1.03306963013078,0,0,"0"
"2","Acanthogobius_flavimanus",-1.28584351982751,-1.22983694491893,-1.28584351982751,0,0,"0"
"3","Acanthopagrus_butcheri",-1.23262850075425,-1.32535386042287,-1.23262850075425,0,0,"0"
"4","Acanthurus_bahianus",-1.37605778698644,-1.50656926935457,-1.37605778698644,0,0,"0"
"5","Acanthurus_japonicus",-1.37605778698644,-1.46587734550344,-1.37605778698644,0,0,"0"
"6","Acentrogobius_viridipunctatus",-1.06392398018083,-1.08233727623517,-1.06392398018083,0,0,"0"
"7","Aesopia_cornuta",-1.26741292003317,-1.77180446416761,-1.26741292003317,0,0,"0"
"8","Aldrovandia_affinis",-3.15344076173721,-3.77976208174516,-3.15344076173721,1,1,"Aldrovandia_affinis"
"9","Aluterus_monoceros",-1.25228652342229,-1.42226742407816,-1.25228652342229,0,0,"0"
"10","Amphichaetodon_howensis",-1.39999515649067,-1.24521165560296,-1.39999515649067,0,0,"0"
"11","Amphiprion_chrysogaster",-1.04408661361845,-1.10140068271767,-1.04408661361845,0,0,"0"
"12","Amphiprion_clarkii",-1.04408661361845,-1.13267869160002,-1.04408661361845,0,0,"0"
"13","Anampses_caeruleopunctatus",-1.00340880198559,-0.944992639286651,-1.00340880198559,0,0,"0"
"14","Anchoa_filifera",-1.11745184956234,-1.15646857651866,-1.11745184956234,0,0,"0"
"15","Anchoa_hepsetus",-1.11745184956234,-1.10880576563579,-1.11745184956234,0,0,"0"
"16","Anchoa_panamensis",-1.11745184956234,-1.00313628897695,-1.11745184956234,0,0,"0"
"17","Anisotremus_interruptus",-1.38019846410818,-1.29443102881238,-1.38019846410818,0,0,"0"
"18","Anisotremus_surinamensis",-1.38019846410818,-1.32131885275183,-1.38019846410818,0,0,"0"
"19","Antennarius_hispidus",-1.46918462601641,-1.49474445801832,-1.46918462601641,0,0,"0"
"20","Antigonia_capros",-1.42029198833463,-1.31297888897993,-1.42029198833463,0,0,"0"
"21","Aplodactylus_arctidens",-1.13205288376957,-1.06858410548537,-1.13205288376957,0,0,"0"
"22","Argentina_striata",-1.49603347465147,-1.42912456575839,-1.49603347465147,0,0,"0"
"23","Arnoglossus_imperialis",-1.09955992831268,-1.22606843569389,-1.09955992831268,0,0,"0"
"24","Artediellus_fuscimentus",-1.84154546025103,-1.72857602512282,-1.84154546025103,0,0,"0"
"25","Artedius_fenestralis",-1.6677482715155,-1.82867710678676,-1.6677482715155,0,0,"0"
"26","Artedius_lateralis",-1.6677482715155,-1.70076235710275,-1.6677482715155,0,0,"0"
"27","Aseraggodes_kobensis",-1.26719192965257,-0.898502532696072,-1.26719192965257,0,0,"0"
"28","Ateleopus_japonicus",-2.54641835568769,-2.97779734478844,-2.54641835568769,0,0,"0"
"29","Aulichthys_japonicus",-1.7494486152772,-1.85331755220418,-1.7494486152772,0,0,"0"
"30","Aulopus_filamentosus",-1.61711565781066,-1.57064113883828,-1.61711565781066,0,0,"0"
"31","Aulostomus_maculatus",-1.99748923203756,-1.9959157571178,-1.99748923203756,0,0,"0"
"32","Avocettina_infans",-3.27401728020833,-3.01455252422001,-3.27401728020833,1,2,"Avocettina_infans"
"33","Bathophilus_vaillanti",-2.0568356668028,-1.0725446674985,-2.0568356668028,1,3,"Bathophilus_vaillanti"
"34","Bathygobius_mystacium",-1.07494793465128,-1.02755671831774,-1.07494793465128,0,0,"0"
"35","Bathylagus_tenuis",-1.63874576604025,-1.43906198199597,-1.63874576604025,0,0,"0"
"36","Benthalbella_elongata",-1.60958991324793,-1.31843804991701,-1.60958991324793,0,0,"0"
"37","Benthosema_fibulatum",-1.36867987800498,-1.35574546291683,-1.36867987800498,0,0,"0"
"38","Benthosema_pterotum",-1.36867987800498,-1.35618224029979,-1.36867987800498,0,0,"0"
"39","Bothrocara_brunneum",-2.91144761875204,-3.93372877180103,-2.91144761875204,1,4,"Bothrocara_brunneum"
"40","Bothrocara_hollandi",-2.91144761875204,-3.60655510853757,-2.91144761875204,1,5,"Bothrocara_hollandi"
