"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Abantennarius_analis",3.94367239674283,4,3.94367239674283,0,0,"0"
"2","Abantennarius_dorehensis",3.94367239674283,4.25,3.94367239674283,0,0,"0"
"3","Abantennarius_nummifer",3.94367239674283,4.2,3.94367239674283,0,0,"0"
"4","Ablabys_macracanthus",3.1944276623789,3.25,3.1944276623789,0,0,"0"
"5","Abudefduf_sordidus",2.81469247157144,2.88,2.81469247157144,0,0,"0"
"6","Acanthanectes_rufus",3.1497598850633,3.13000011444092,3.1497598850633,0,0,"0"
"7","Acanthemblemaria_johnsoni",3.31713189668712,3.07999992370605,3.31713189668712,0,0,"0"
"8","Acanthogobius_flavimanus",3.34624257166714,3.39,3.34624257166714,0,0,"0"
"9","Acanthopagrus_butcheri",3.37915520923734,3.47,3.37915520923734,0,0,"0"
"10","Acanthopagrus_sheim",3.37915520923734,3.36999988555908,3.37915520923734,0,0,"0"
"11","Acanthoplesiops_cappuccino",3.27129386960976,3,3.27129386960976,0,0,"0"
"12","Acanthurus_bahianus",2.29199715462832,2.09999990463257,2.29199715462832,0,0,"0"
"13","Acanthurus_bariene",2.29199715462832,2,2.29199715462832,0,0,"0"
"14","Acanthurus_japonicus",2.29199715462832,2.27999997138977,2.29199715462832,1,1,"Acanthurus_japonicus"
"15","Acentrogobius_therezieni",3.3519207747763,3.35999989509583,3.3519207747763,0,0,"0"
"16","Acentrogobius_viridipunctatus",3.3519207747763,3.48000001907349,3.3519207747763,0,0,"0"
"17","Achirus_scutum",3.41510962432694,3.27,3.41510962432694,0,0,"0"
"18","Achirus_zebrinus",3.41510962432694,3.35999989509583,3.41510962432694,0,0,"0"
"19","Achoerodus_viridis",3.62816592207091,3.70000004768372,3.62816592207091,0,0,"0"
"20","Acropoma_boholensis",3.42532231512324,3.42000007629395,3.42532231512324,0,0,"0"
"21","Acropoma_profundum",3.42532231512324,3.1800000667572,3.42532231512324,0,0,"0"
"22","Acroteriobatus_ocellatus",3.49023285803126,3.46000003814697,3.49023285803126,0,0,"0"
"23","Acroteriobatus_salalah",3.49023285803126,3.46000003814697,3.49023285803126,0,0,"0"
"24","Acroteriobatus_zanzibarensis",3.49023285803126,3.45000004768372,3.49023285803126,0,0,"0"
"25","Acyrtops_beryllinus",3.10512303213829,3.33,3.10512303213829,0,0,"0"
"26","Acyrtus_rubiginosus",3.09256147792218,3.26,3.09256147792218,0,0,"0"
"27","Adelotremus_leptus",2.9196689230124,3.20000004768372,2.9196689230124,0,0,"0"
"28","Aesopia_cornuta",3.43422952791893,3.51999998092651,3.43422952791893,0,0,"0"
"29","Aetobatus_laticeps",3.74484359838766,3.61999988555908,3.74484359838766,0,0,"0"
"30","Aetomylaeus_caeruleofasciatus",3.74652217742404,3.77999997138977,3.74652217742404,0,0,"0"
"31","Aetomylaeus_milvus",3.74652217742404,3.77999997138977,3.74652217742404,0,0,"0"
"32","Aetomylaeus_vespertilio",3.74652217742404,3.77999997138977,3.74652217742404,0,0,"0"
"33","Agrostichthys_parkeri",3.69219267983559,3.42000007629395,3.69219267983559,0,0,"0"
"34","Akheilos_suwartanai",3.98067269800577,3.9300000667572,3.98067269800577,0,0,"0"
"35","Alabes_hoesei",3.22365875479047,3.17000007629395,3.22365875479047,0,0,"0"
"36","Aldrovandia_affinis",3.28001793198727,3.3,3.28001793198727,0,0,"0"
"37","Alectrias_markevichi",3.13743433385614,3.09999990463257,3.13743433385614,0,0,"0"
"38","Alepes_kleinii",3.52945532575198,3.54,3.52945532575198,0,0,"0"
"39","Alepocephalus_dentifer",3.63227070634579,3.5699999332428,3.63227070634579,0,0,"0"
"40","Allocareproctus_tanix",3.50191092582968,3.32999992370605,3.50191092582968,0,0,"0"
"41","Alopias_pelagicus",4.42049390332168,4.5,4.42049390332168,0,0,"0"
"42","Alticus_kirkii",2.07793379032453,2,2.07793379032453,1,2,"Alticus_kirkii"
"43","Aluterus_monoceros",2.43934338564841,3.84,2.43934338564841,1,3,"Aluterus_monoceros"
"44","Amblycirrhitus_earnshawi",3.41808227319444,3.44000005722046,3.41808227319444,0,0,"0"
"45","Amblyeleotris_arcupinna",3.3178106059619,3.36999988555908,3.3178106059619,0,0,"0"
"46","Amblyeleotris_biguttata",3.3178106059619,3.3199999332428,3.3178106059619,0,0,"0"
"47","Amblyeleotris_bleekeri",3.3178106059619,3.24000000953674,3.3178106059619,0,0,"0"
"48","Amblyeleotris_downingi",3.3178106059619,3.42000007629395,3.3178106059619,0,0,"0"
"49","Amblyeleotris_rubrimarginata",3.3178106059619,3.32999992370605,3.3178106059619,0,0,"0"
"50","Amblyglyphidodon_indicus",2.76853178296608,2.72000002861023,2.76853178296608,0,0,"0"
"51","Ambophthalmos_eurystigmatephoros",3.46633256418521,3.47000002861023,3.46633256418521,0,0,"0"
"52","Ammodytes_hexapterus",3.20517494326715,3.13,3.20517494326715,0,0,"0"
"53","Ammolabrus_dicrus",3.47633184414181,3.30999994277954,3.47633184414181,0,0,"0"
"54","Ammotretis_elongatus",3.0661229102799,3.01,3.0661229102799,0,0,"0"
"55","Amphiarius_phrygiatus",3.50771875220693,3.52999997138977,3.50771875220693,0,0,"0"
"56","Amphichaetodon_howensis",3.28448003767823,2.76,3.28448003767823,1,4,"Amphichaetodon_howensis"
"57","Amphiprion_chrysogaster",2.67569812920923,2.64,2.67569812920923,0,0,"0"
"58","Amphiprion_clarkii",2.67569812920923,2.87,2.67569812920923,0,0,"0"
"59","Amphiprion_pacificus",2.67569812920923,2.82999992370605,2.67569812920923,0,0,"0"
"60","Amphiprion_tricinctus",2.67569812920923,2.29,2.67569812920923,0,0,"0"
"61","Amphistichus_koelzi",3.4013365276574,3.40000009536743,3.4013365276574,0,0,"0"
"62","Anampses_caeruleopunctatus",3.4838609782698,3.37,3.4838609782698,0,0,"0"
"63","Anchoa_belizensis",3.36354569195593,3.26999998092651,3.36354569195593,0,0,"0"
"64","Anchoa_chamensis",3.36354569195593,3.27999997138977,3.36354569195593,0,0,"0"
"65","Anchoa_filifera",3.36354569195593,3.4300000667572,3.36354569195593,0,0,"0"
"66","Anchoa_hepsetus",3.36354569195593,3.34,3.36354569195593,0,0,"0"
"67","Anchoa_panamensis",3.36354569195593,3.49000000953674,3.36354569195593,0,0,"0"
"68","Anchoa_spinifer",3.36354569195593,4.09,3.36354569195593,1,5,"Anchoa_spinifer"
"69","Anchovia_clupeoides",2.96818533165524,3.4,2.96818533165524,0,0,"0"
"70","Andamia_reyi",2.10704824191956,2,2.10704824191956,1,6,"Andamia_reyi"
"71","Anisochromis_kenyae",3.52269376595867,3.65,3.52269376595867,0,0,"0"
"72","Anisotremus_interruptus",3.66032617125576,3.5,3.66032617125576,0,0,"0"
"73","Anisotremus_surinamensis",3.66032617125576,3.58,3.66032617125576,0,0,"0"
"74","Anodontostoma_selangkat",3.02519894592501,3.11999988555908,3.02519894592501,0,0,"0"
"75","Antennarius_hispidus",4.11214216864976,4.2,4.11214216864976,0,0,"0"
"76","Antigonia_capros",2.86460999063816,4.05,2.86460999063816,1,7,"Antigonia_capros"
"77","Antigonia_kenyae",2.86460999063816,2.92000007629395,2.86460999063816,0,0,"0"
"78","Apagesoma_delosommatum",3.68660443857782,3.70000004768372,3.68660443857782,0,0,"0"
"79","Apionichthys_finis",3.24014618961111,3.25999999046326,3.24014618961111,0,0,"0"
"80","Apionichthys_nattereri",3.24014618961111,3.41000008583069,3.24014618961111,0,0,"0"
"81","Aplatophis_zorro",3.92570180637983,3.9300000667572,3.92570180637983,0,0,"0"
"82","Apletodon_pellegrini",3.05860656562463,3.08999991416931,3.05860656562463,0,0,"0"
"83","Aploactisoma_milesii",3.32627855609277,3.64000010490417,3.32627855609277,0,0,"0"
"84","Aplodactylus_arctidens",2.20123475282025,2.02,2.20123475282025,0,0,"0"
"85","Aplodactylus_etheridgii",2.20123475282025,2,2.20123475282025,0,0,"0"
"86","Apocryptodon_punctatus",2.44089820143886,2.75999999046326,2.44089820143886,1,8,"Apocryptodon_punctatus"
"87","Apogon_axillaris",3.4436947098744,3.63000011444092,3.4436947098744,0,0,"0"
"88","Apogonichthyoides_miniatus",3.38700180804052,3.42000007629395,3.38700180804052,0,0,"0"
"89","Apogon_lativittatus",3.4436947098744,3.40000009536743,3.4436947098744,0,0,"0"
"90","Apogon_tricinctus",3.4436947098744,3.39000010490417,3.4436947098744,0,0,"0"
"91","Apopterygion_alta",3.19975983737958,3.17000007629395,3.19975983737958,0,0,"0"
"92","Apristurus_aphyodes",3.89104640393866,3.94000005722046,3.89104640393866,0,0,"0"
"93","Apristurus_internatus",3.89104640393866,3.80999994277954,3.89104640393866,0,0,"0"
"94","Apristurus_pinguis",3.89104640393866,4,3.89104640393866,0,0,"0"
"95","Apristurus_sibogae",3.89104640393866,3.63000011444092,3.89104640393866,0,0,"0"
"96","Aprognathodon_platyventris",3.82140361275965,3.74000000953674,3.82140361275965,0,0,"0"
"97","Apterichtus_moseri",3.88959065095143,3.26999998092651,3.88959065095143,1,9,"Apterichtus_moseri"
"98","Aptychotrema_vincentiana",3.71281640487967,3.60999989509583,3.71281640487967,0,0,"0"
"99","Archistes_plumarius",3.39672554390243,3.24000000953674,3.39672554390243,0,0,"0"
"100","Archosargus_rhomboidalis",3.3146495822092,2.89,3.3146495822092,0,0,"0"
"101","Arcos_decoris",3.11004922429941,2.94,3.11004922429941,0,0,"0"
"102","Arctoraja_simoterus",3.994906219765,3.95000004768372,3.994906219765,0,0,"0"
"103","Arenigobius_leftwichi",3.28331331145844,3.32999992370605,3.28331331145844,0,0,"0"
"104","Argentina_aliceae",3.33392136650859,3.5,3.33392136650859,0,0,"0"
"105","Argentina_striata",3.33392136650859,3.38000011444092,3.33392136650859,0,0,"0"
"106","Ariomma_parini",3.57314568802067,3.45000004768372,3.57314568802067,0,0,"0"
"107","Ariosoma_anagoides",3.87529410547881,3.98000001907349,3.87529410547881,0,0,"0"
"108","Ariosoma_fasciatum",3.87529410547881,4.09000015258789,3.87529410547881,0,0,"0"
"109","Ariosoma_nigrimanum",3.87529410547881,3.84999990463257,3.87529410547881,0,0,"0"
"110","Ariosoma_ophidiophthalmus",3.87529410547881,3.90000009536743,3.87529410547881,0,0,"0"
"111","Ariosoma_prorigerum",3.87529410547881,3.86999988555908,3.87529410547881,0,0,"0"
"112","Arnoglossus_armstrongi",3.56758778655319,3.57999992370605,3.56758778655319,0,0,"0"
"113","Arnoglossus_imperialis",3.56758778655319,3.84,3.56758778655319,0,0,"0"
"114","Arnoglossus_micrommatus",3.56758778655319,3.51999998092651,3.56758778655319,0,0,"0"
"115","Arnoglossus_nigrifrons",3.56758778655319,3.55999994277954,3.56758778655319,0,0,"0"
"116","Arothron_multilineatus",3.36000759009363,3.47,3.36000759009363,0,0,"0"
"117","Arotrolepis_filicauda",2.92737354259363,2.84999990463257,2.92737354259363,0,0,"0"
"118","Arripis_xylabion",4.21012770632411,4.36999988555908,4.21012770632411,0,0,"0"
"119","Artedidraco_glareobarbatus",3.21642460678319,3.20000004768372,3.21642460678319,0,0,"0"
"120","Artediellus_fuscimentus",3.37810369068187,3.32999992370605,3.37810369068187,0,0,"0"
"121","Artediellus_pacificus",3.37810369068187,3.25999999046326,3.37810369068187,0,0,"0"
"122","Artedius_fenestralis",3.66781704198394,4.03,3.66781704198394,0,0,"0"
"123","Artedius_harringtoni",3.66781704198394,3.41,3.66781704198394,0,0,"0"
"124","Artedius_lateralis",3.66781704198394,3.7,3.66781704198394,0,0,"0"
"125","Asarcenchelys_longimanus",3.82140361275965,4.23999977111816,3.82140361275965,0,0,"0"
"126","Ascelichthys_rhodorus",3.39345099243742,3.38000011444092,3.39345099243742,0,0,"0"
"127","Asemichthys_taylori",3.39345099243742,3.25,3.39345099243742,0,0,"0"
"128","Aseraggodes_andersoni",3.41539243603662,3.10999989509583,3.41539243603662,0,0,"0"
"129","Aseraggodes_kaianus",3.41539243603662,3.64000010490417,3.41539243603662,0,0,"0"
"130","Aseraggodes_kobensis",3.41539243603662,3.53999996185303,3.41539243603662,0,0,"0"
"131","Aseraggodes_magnoculus",3.41539243603662,3.25999999046326,3.41539243603662,0,0,"0"
"132","Aseraggodes_senoui",3.41539243603662,3.28999996185303,3.41539243603662,0,0,"0"
"133","Aseraggodes_xenicus",3.41539243603662,3.41000008583069,3.41539243603662,0,0,"0"
"134","Askoldia_variegata",3.29363242832464,3.36999988555908,3.29363242832464,0,0,"0"
"135","Aspasmichthys_ciconiae",2.89012299875969,3.66000008583069,2.89012299875969,1,10,"Aspasmichthys_ciconiae"
"136","Astrabe_lactisella",3.20664671790681,3.17000007629395,3.20664671790681,0,0,"0"
"137","Astronesthes_karsteni",3.83458869476224,3.85999989509583,3.83458869476224,0,0,"0"
"138","Astronesthes_kreffti",3.83458869476224,4.07000017166138,3.83458869476224,0,0,"0"
"139","Astronesthes_lampara",3.83458869476224,3.82999992370605,3.83458869476224,0,0,"0"
"140","Astronesthes_quasiindicus",3.83458869476224,3.76999998092651,3.83458869476224,0,0,"0"
"141","Astroscopus_ygraecum",4.29953005045096,4.2,4.29953005045096,0,0,"0"
"142","Asymbolus_parvus",4.11207971361862,3.94000005722046,4.11207971361862,0,0,"0"
"143","Ataxolepis_henactis",3.03416567662816,3,3.03416567662816,0,0,"0"
"144","Ateleopus_indicus",3.98211269355143,3.82999992370605,3.98211269355143,0,0,"0"
"145","Ateleopus_japonicus",3.98211269355143,4.24,3.98211269355143,0,0,"0"
"146","Ateleopus_tanabensis",3.98211269355143,3.8199999332428,3.98211269355143,0,0,"0"
"147","Atherinella_blackburni",3.06328719565573,3.4,3.06328719565573,0,0,"0"
"148","Atherion_africanum",3.23965863385954,3.08999991416931,3.23965863385954,0,0,"0"
"149","Atlantoraja_castelnaui",3.649906219765,4.5,3.649906219765,1,11,"Atlantoraja_castelnaui"
"150","Atlantoraja_platana",3.649906219765,4.15,3.649906219765,1,12,"Atlantoraja_platana"
"151","Atrobucca_alcocki",3.59368725167361,3.50999999046326,3.59368725167361,0,0,"0"
"152","Atrobucca_bengalensis",3.59368725167361,3.52999997138977,3.59368725167361,0,0,"0"
"153","Atule_mate",3.8772766478334,4.22,3.8772766478334,0,0,"0"
"154","Aulichthys_japonicus",3.52701399257037,3.05,3.52701399257037,1,13,"Aulichthys_japonicus"
"155","Aulopus_filamentosus",4.0636590027626,4.2,4.0636590027626,0,0,"0"
"156","Aulostomus_maculatus",4.09277850725928,4.26,4.09277850725928,0,0,"0"
"157","Aulotrachichthys_sajademalensis",4.06405364109444,4.34999990463257,4.06405364109444,0,0,"0"
"158","Austrobatrachus_iselesele",3.53467656241615,3.5,3.53467656241615,0,0,"0"
"159","Avocettina_infans",3.39196148094021,3.5,3.39196148094021,0,0,"0"
"160","Awaous_aeneofuscus",2.34944111011439,2.0699999332428,2.34944111011439,0,0,"0"
"161","Awaous_fluviatilis",2.34944111011439,2.99000000953674,2.34944111011439,1,14,"Awaous_fluviatilis"
"162","Axoclinus_rubinoffi",2.83325328071598,2.63,2.83325328071598,0,0,"0"
"163","Azygopus_pinnifasciatus",3.17961463723019,3.04999995231628,3.17961463723019,0,0,"0"
"164","Bajacalifornia_erimoensis",3.45505907651968,3.49000000953674,3.45505907651968,0,0,"0"
"165","Baldwinella_aureorubens",3.38090845360208,3.59999990463257,3.38090845360208,0,0,"0"
"166","Bambradon_laevis",3.6016482022875,3.66000008583069,3.6016482022875,0,0,"0"
"167","Banjos_peregrinus",3.7505635617054,3.45000004768372,3.7505635617054,0,0,"0"
"168","Barathronus_diaphanus",3.37401036360347,3.38000011444092,3.37401036360347,0,0,"0"
"169","Barathronus_multidens",3.37401036360347,3.38000011444092,3.37401036360347,0,0,"0"
"170","Barbuligobius_boehlkei",3.18994008696323,3.03999996185303,3.18994008696323,0,0,"0"
"171","Barryichthys_algicola",3.11012302736992,3.04999995231628,3.11012302736992,0,0,"0"
"172","Bascanichthys_filaria",3.81063349324614,3.8199999332428,3.81063349324614,0,0,"0"
"173","Bascanichthys_myersi",3.81063349324614,3.8199999332428,3.81063349324614,0,0,"0"
"174","Bassogigas_gillii",3.63490667694022,3.74000000953674,3.63490667694022,0,0,"0"
"175","Bassozetus_robustus",3.62690870999252,3.73000001907349,3.62690870999252,0,0,"0"
"176","Bathophilus_longipinnis",4.06007198074052,4.2,4.06007198074052,0,0,"0"
"177","Bathophilus_vaillanti",4.06007198074052,4.42999982833862,4.06007198074052,0,0,"0"
"178","Bathyanthias_mexicanus",3.83176820517803,3.84999990463257,3.83176820517803,0,0,"0"
"179","Bathyaploactis_ornatissima",3.32813923989941,3.32999992370605,3.32813923989941,0,0,"0"
"180","Bathyclupea_schroederi",3.43791061184292,3.39000010490417,3.43791061184292,0,0,"0"
"181","Bathycongrus_bleekeri",3.78820720303234,3.38000011444092,3.78820720303234,0,0,"0"
"182","Bathycongrus_nasicus",3.78820720303234,3.80999994277954,3.78820720303234,0,0,"0"
"183","Bathycongrus_parviporus",3.78820720303234,3.80999994277954,3.78820720303234,0,0,"0"
"184","Bathygadus_cottoides",3.2122222492911,3.16000008583069,3.2122222492911,0,0,"0"
"185","Bathygadus_entomelas",3.2122222492911,3.14000010490417,3.2122222492911,0,0,"0"
"186","Bathygobius_aeolosoma",3.43124750719975,3.47000002861023,3.43124750719975,0,0,"0"
"187","Bathygobius_mystacium",3.43124750719975,3.58999991416931,3.43124750719975,0,0,"0"
"188","Bathylagichthys_parini",3.37670972090957,3.30999994277954,3.37670972090957,0,0,"0"
"189","Bathylagus_tenuis",3.26003690499917,3.22000002861023,3.26003690499917,0,0,"0"
"190","Bathyonus_laticeps",3.63327107663426,3.52999997138977,3.63327107663426,0,0,"0"
"191","Bathyphylax_pruvosti",4.12921950672834,4.30000019073486,4.12921950672834,0,0,"0"
"192","Bathypterois_andriashevi",3.47167294279257,3.41000008583069,3.47167294279257,0,0,"0"
"193","Bathypterois_filiferus",3.47167294279257,3.4300000667572,3.47167294279257,0,0,"0"
"194","Bathypterois_guentheri",3.47167294279257,3.46000003814697,3.47167294279257,0,0,"0"
"195","Bathyraja_andriashevi",3.97829841323335,4.03000020980835,3.97829841323335,0,0,"0"
"196","Bathyraja_arctowskii",3.97829841323335,3.88000011444092,3.97829841323335,0,0,"0"
"197","Bathyraja_cousseauae",3.97829841323335,3.97000002861023,3.97829841323335,0,0,"0"
"198","Bathyraja_maccaini",3.97829841323335,4.05999994277954,3.97829841323335,0,0,"0"
"199","Bathyraja_taranetzi",3.97829841323335,3.92000007629395,3.97829841323335,0,0,"0"
"200","Bathysphyraenops_declivifrons",3.36180982083286,3.3199999332428,3.36180982083286,0,0,"0"
"201","Bathytroctes_squamosus",3.4695830504283,3.49000000953674,3.4695830504283,0,0,"0"
"202","Bathytyphlops_sewelli",3.45005636592383,3.1,3.45005636592383,0,0,"0"
"203","Batrachomoeus_rubricephalus",3.52387061542971,3.52999997138977,3.52387061542971,0,0,"0"
"204","Bembrops_platyrhynchus",4.02288016634278,4.05000019073486,4.02288016634278,0,0,"0"
"205","Benthalbella_elongata",4.21680030035251,4.03,4.21680030035251,0,0,"0"
"206","Benthocometes_robustus",3.49490669124533,3.1,3.49490669124533,0,0,"0"
"207","Benthodesmus_macrophthalmus",4.04528651190093,4,4.04528651190093,0,0,"0"
"208","Benthosema_fibulatum",3.21780426665369,3.2,3.21780426665369,0,0,"0"
"209","Benthosema_pterotum",3.21780426665369,3.14,3.21780426665369,0,0,"0"
"210","Beringraja_cortezensis",4.20993263748575,4.01000022888184,4.20993263748575,0,0,"0"
"211","Bhanotia_fasciolata",3.22591290678996,3.25999999046326,3.22591290678996,0,0,"0"
"212","Blenniella_leopardus",2.75103750347914,2.85999989509583,2.75103750347914,0,0,"0"
"213","Blennodon_dorsalis",3.16951965568568,3.38000011444092,3.16951965568568,0,0,"0"
"214","Bodianus_bennetti",3.46084492904758,3.32999992370605,3.46084492904758,0,0,"0"
"215","Bodianus_bimaculatus",3.46084492904758,3.52,3.46084492904758,0,0,"0"
"216","Bodianus_dictynna",3.46084492904758,3.5,3.46084492904758,0,0,"0"
"217","Bolinichthys_photothorax",3.09303097954377,3,3.09303097954377,0,0,"0"
"218","Bostrychus_zonatus",3.91422314250157,4.03000020980835,3.91422314250157,0,0,"0"
"219","Bothrocara_brunneum",3.42223318735593,3.61,3.42223318735593,0,0,"0"
"220","Bothrocara_hollandi",3.42223318735593,3.2,3.42223318735593,0,0,"0"
"221","Bothus_constellatus",3.72314985804573,3.53999996185303,3.72314985804573,0,0,"0"
"222","Bothus_ypsigrammus",3.72314985804573,3.69000005722046,3.72314985804573,0,0,"0"
"223","Bovichtus_variegatus",3.57657442644495,3.5699999332428,3.57657442644495,0,0,"0"
"224","Brachaluteres_fahaqa",2.89434342617957,2.91000008583069,2.89434342617957,0,0,"0"
"225","Brachiopsilus_dossenus",3.72989689052947,3.57999992370605,3.72989689052947,0,0,"0"
"226","Brachirus_macrolepis",3.53294863074412,3.5699999332428,3.53294863074412,0,0,"0"
"227","Brachirus_niger",3.53294863074412,3.71000003814697,3.53294863074412,0,0,"0"
"228","Brachysomophis_henshawi",3.84591482089629,4.03000020980835,3.84591482089629,0,0,"0"
"229","Bregmaceros_arabicus",3.14165459607735,3.11999988555908,3.14165459607735,0,0,"0"
"230","Bregmaceros_bathymaster",3.14165459607735,3.5,3.14165459607735,0,0,"0"
"231","Bregmaceros_cantori",3.14165459607735,3.14000010490417,3.14165459607735,0,0,"0"
"232","Bregmaceros_cayorum",3.14165459607735,3.11999988555908,3.14165459607735,0,0,"0"
"233","Brephostoma_carpenteri",3.37759360607957,3.4300000667572,3.37759360607957,0,0,"0"
"234","Breviraja_colesi",3.68791919931518,3.67000007629395,3.68791919931518,0,0,"0"
"235","Brevoortia_tyrannus",2.67635026732053,3.23,2.67635026732053,1,15,"Brevoortia_tyrannus"
"236","Brinkmannella_elongata",3.37759360607957,3.4300000667572,3.37759360607957,0,0,"0"
"237","Brosmolus_longicaudus",3.25828171849731,3.35999989509583,3.25828171849731,0,0,"0"
"238","Bryaninops_spongicolus",3.09624624351427,3.07999992370605,3.09624624351427,0,0,"0"
"239","Bythaelurus_lutarius",4.2814397283764,4.17,4.2814397283764,0,0,"0"
"240","Bythaelurus_vivaldii",4.2814397283764,4.1399998664856,4.2814397283764,0,0,"0"
"241","Caesioperca_rasor",3.29590845360208,3.55999994277954,3.29590845360208,0,0,"0"
"242","Caesio_striata",3.39645910076172,3.4,3.39645910076172,0,0,"0"
"243","Caffrogobius_gilchristi",3.23999142328365,3.62,3.23999142328365,0,0,"0"
"244","Callechelys_papulosa",3.86676027709027,3.77999997138977,3.86676027709027,0,0,"0"
"245","Callionymus_afilum",3.22532668550345,3.25,3.22532668550345,0,0,"0"
"246","Callionymus_mascarenus",3.22532668550345,3.15000009536743,3.22532668550345,0,0,"0"
"247","Callionymus_platycephalus",3.22532668550345,3.22000002861023,3.22532668550345,0,0,"0"
"248","Callogobius_falx",3.18515938317784,3.0699999332428,3.18515938317784,0,0,"0"
"249","Callogobius_producta",3.18515938317784,3.24000000953674,3.18515938317784,0,0,"0"
"250","Cantherhines_fronticinctus",3.08173732946383,3.5,3.08173732946383,0,0,"0"
"251","Cantherhines_pullus",3.08173732946383,2.62,3.08173732946383,1,16,"Cantherhines_pullus"
"252","Cantherhines_sandwichiensis",3.08173732946383,2.66,3.08173732946383,0,0,"0"
"253","Cantheschenia_longipinnis",2.88368672838147,2.85999989509583,2.88368672838147,0,0,"0"
"254","Canthidermis_rotundatus",3.3894056263398,3.36999988555908,3.3894056263398,0,0,"0"
"255","Canthidermis_sufflamen",3.3894056263398,3.45,3.3894056263398,0,0,"0"
"256","Canthigaster_rivulata",3.07895031532113,3.08999991416931,3.07895031532113,0,0,"0"
"257","Canthigaster_valentini",3.07895031532113,2.84,3.07895031532113,0,0,"0"
"258","Caprodon_unicolor",3.61236338525553,3.53999996185303,3.61236338525553,0,0,"0"
"259","Capromimus_abbreviatus",3.57688627602731,3.45000004768372,3.57688627602731,0,0,"0"
"260","Caracanthus_maculatus",3.43614298857753,3.30999994277954,3.43614298857753,0,0,"0"
"261","Caralophia_loxochila",3.82140361275965,3.74000000953674,3.82140361275965,0,0,"0"
"262","Carangoides_ferdau",4.11984870636615,4.31,4.11984870636615,0,0,"0"
"263","Caranx_ignobilis",4.02985666718124,4.22,4.02985666718124,0,0,"0"
"264","Carapus_mourlani",3.61942213339227,3.54999995231628,3.61942213339227,0,0,"0"
"265","Carcharhinus_amboinensis",4.21355384203799,4.28,4.21355384203799,0,0,"0"
"266","Carcharhinus_coatesi",4.21355384203799,3.99000000953674,4.21355384203799,0,0,"0"
"267","Careproctus_brevipectoralis",3.2399961722704,3.24000000953674,3.2399961722704,0,0,"0"
"268","Careproctus_catherinae",3.2399961722704,3.27999997138977,3.2399961722704,0,0,"0"
"269","Careproctus_crozetensis",3.2399961722704,3.20000004768372,3.2399961722704,0,0,"0"
"270","Careproctus_georgianus",3.2399961722704,3.18,3.2399961722704,0,0,"0"
"271","Careproctus_gilberti",3.2399961722704,3.16000008583069,3.2399961722704,0,0,"0"
"272","Careproctus_laperousei",3.2399961722704,3.22000002861023,3.2399961722704,0,0,"0"
"273","Careproctus_lerikimae",3.2399961722704,3.25,3.2399961722704,0,0,"0"
"274","Careproctus_longipinnis",3.2399961722704,3.5,3.2399961722704,0,0,"0"
"275","Careproctus_marginatus",3.2399961722704,3.28999996185303,3.2399961722704,0,0,"0"
"276","Careproctus_pallidus",3.2399961722704,3.25,3.2399961722704,0,0,"0"
"277","Careproctus_pulcher",3.2399961722704,3.21000003814697,3.2399961722704,0,0,"0"
