"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Abantennarius_analis",0.738571586738077,1,0.738571586738077,0,0,"0"
"2","Abantennarius_dorehensis",0.738571586738077,1,0.738571586738077,0,0,"0"
"3","Abantennarius_nummifer",0.738571586738077,1,0.738571586738077,0,0,"0"
"4","Ablabys_macracanthus",0.638658280372193,1,0.638658280372193,0,0,"0"
"5","Abudefduf_sordidus",3.57912017326256,1,3.57912017326256,1,1,"Abudefduf_sordidus"
"6","Acanthanectes_rufus",-0.572595390505257,1,-0.572595390505257,0,0,"0"
"7","Acanthemblemaria_johnsoni",1.01083413118901,1,1.01083413118901,0,0,"0"
"8","Acanthogobius_flavimanus",-1.74223735350528,0,-1.74223735350528,0,0,"0"
"9","Acanthopagrus_butcheri",-1.00777415710342,0,-1.00777415710342,0,0,"0"
"10","Acanthopagrus_sheim",-1.00777415710342,0,-1.00777415710342,0,0,"0"
"11","Acanthoplesiops_cappuccino",-0.721340273164272,1,-0.721340273164272,0,0,"0"
"12","Acanthurus_bahianus",3.20405710669313,1,3.20405710669313,0,0,"0"
"13","Acanthurus_bariene",3.20405710669313,1,3.20405710669313,0,0,"0"
"14","Acanthurus_japonicus",3.20405710669313,1,3.20405710669313,0,0,"0"
"15","Acentrogobius_therezieni",-1.27466117158915,0,-1.27466117158915,0,0,"0"
"16","Acentrogobius_viridipunctatus",-1.27466117158915,0,-1.27466117158915,0,0,"0"
"17","Achirus_scutum",-2.64527521057158,0,-2.64527521057158,0,0,"0"
"18","Achirus_zebrinus",-2.64527521057158,0,-2.64527521057158,0,0,"0"
"19","Achoerodus_viridis",1.91354049617471,1,1.91354049617471,0,0,"0"
"20","Acropoma_boholensis",-1.71885898995694,0,-1.71885898995694,0,0,"0"
"21","Acropoma_profundum",-1.71885898995694,0,-1.71885898995694,0,0,"0"
"22","Acroteriobatus_ocellatus",-1.10297086900905,0,-1.10297086900905,0,0,"0"
"23","Acroteriobatus_salalah",-1.10297086900905,0,-1.10297086900905,0,0,"0"
"24","Acroteriobatus_zanzibarensis",-1.10297086900905,0,-1.10297086900905,0,0,"0"
"25","Acyrtops_beryllinus",-1.34230862107789,1,-1.34230862107789,0,0,"0"
"26","Acyrtus_rubiginosus",-0.399154427993278,0,-0.399154427993278,0,0,"0"
"27","Adelotremus_leptus",-0.424761289964434,0,-0.424761289964434,0,0,"0"
"28","Aesopia_cornuta",-2.69532182314976,1,-2.69532182314976,1,2,"Aesopia_cornuta"
"29","Aetobatus_laticeps",1.085276359117,1,1.085276359117,0,0,"0"
"30","Aetomylaeus_caeruleofasciatus",0.0227569764729924,0,0.0227569764729924,0,0,"0"
"31","Aetomylaeus_milvus",0.0227569764729924,1,0.0227569764729924,0,0,"0"
"32","Aetomylaeus_vespertilio",0.0227569764729924,1,0.0227569764729924,0,0,"0"
"33","Agrostichthys_parkeri",-2.15562861729414,0,-2.15562861729414,0,0,"0"
"34","Akheilos_suwartanai",-1.27428731923514,0,-1.27428731923514,0,0,"0"
"35","Alabes_hoesei",-1.3154035491953,0,-1.3154035491953,0,0,"0"
"36","Aldrovandia_affinis",-1.56567239085299,1,-1.56567239085299,0,0,"0"
"37","Alectrias_markevichi",-2.31632148830046,0,-2.31632148830046,0,0,"0"
"38","Alepes_kleinii",-0.201358330845756,1,-0.201358330845756,0,0,"0"
"39","Alepocephalus_dentifer",-2.81219116911366,0,-2.81219116911366,0,0,"0"
