"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Abantennarius_analis",-3.27925503108835,0,-3.27925503108835,0,0,"0"
"2","Abantennarius_dorehensis",-3.27925503108835,0,-3.27925503108835,0,0,"0"
"3","Abantennarius_nummifer",-3.27925503108835,0,-3.27925503108835,0,0,"0"
"4","Ablabys_macracanthus",-4.87268893454022,0,-4.87268893454022,0,0,"0"
"5","Abudefduf_sordidus",-5.01428965134464,0,-5.01428965134464,0,0,"0"
"6","Acanthanectes_rufus",-4.80749698391515,0,-4.80749698391515,0,0,"0"
"7","Acanthemblemaria_johnsoni",-5.47226640526671,0,-5.47226640526671,0,0,"0"
"8","Acanthogobius_flavimanus",-2.10047294377164,0,-2.10047294377164,0,0,"0"
"9","Acanthopagrus_butcheri",-1.71801670474998,0,-1.71801670474998,0,0,"0"
"10","Acanthopagrus_sheim",-1.71801670474998,0,-1.71801670474998,0,0,"0"
"11","Acanthoplesiops_cappuccino",-1.55358029657337,0,-1.55358029657337,0,0,"0"
"12","Acanthurus_bahianus",-5.18294678952816,0,-5.18294678952816,0,0,"0"
"13","Acanthurus_bariene",-5.18294678952816,0,-5.18294678952816,0,0,"0"
"14","Acanthurus_japonicus",-5.18294678952816,0,-5.18294678952816,0,0,"0"
"15","Acentrogobius_therezieni",-4.70118254523858,0,-4.70118254523858,0,0,"0"
"16","Acentrogobius_viridipunctatus",-4.70118254523858,0,-4.70118254523858,0,0,"0"
"17","Achirus_scutum",-4.97812430937322,0,-4.97812430937322,0,0,"0"
"18","Achirus_zebrinus",-4.97812430937322,0,-4.97812430937322,0,0,"0"
"19","Achoerodus_viridis",-4.41431374155103,0,-4.41431374155103,0,0,"0"
"20","Acropoma_boholensis",0.858024217919609,1,0.858024217919609,0,0,"0"
"21","Acropoma_profundum",0.858024217919609,1,0.858024217919609,0,0,"0"
"22","Acroteriobatus_ocellatus",-3.37532634670432,0,-3.37532634670432,0,0,"0"
"23","Acroteriobatus_salalah",-3.37532634670432,0,-3.37532634670432,0,0,"0"
"24","Acroteriobatus_zanzibarensis",-3.37532634670432,0,-3.37532634670432,0,0,"0"
"25","Acyrtops_beryllinus",-4.6183985837945,0,-4.6183985837945,0,0,"0"
"26","Acyrtus_rubiginosus",-4.66152688941758,0,-4.66152688941758,0,0,"0"
"27","Adelotremus_leptus",-2.35132428847933,1,-2.35132428847933,1,1,"Adelotremus_leptus"
"28","Aesopia_cornuta",-4.65647722483778,0,-4.65647722483778,0,0,"0"
"29","Aetobatus_laticeps",-3.75986167151688,0,-3.75986167151688,0,0,"0"
"30","Aetomylaeus_caeruleofasciatus",-4.08643616399054,1,-4.08643616399054,1,2,"Aetomylaeus_caeruleofasciatus"
"31","Aetomylaeus_milvus",-4.08643616399054,0,-4.08643616399054,0,0,"0"
"32","Aetomylaeus_vespertilio",-4.08643616399054,0,-4.08643616399054,0,0,"0"
"33","Agrostichthys_parkeri",1.47784162765756,1,1.47784162765756,0,0,"0"
"34","Akheilos_suwartanai",-2.28794832919346,1,-2.28794832919346,1,3,"Akheilos_suwartanai"
"35","Alabes_hoesei",-4.80750433742483,0,-4.80750433742483,0,0,"0"
"36","Aldrovandia_affinis",0.615329927604519,0,0.615329927604519,1,4,"Aldrovandia_affinis"
"37","Alectrias_markevichi",-4.20061830927508,1,-4.20061830927508,1,5,"Alectrias_markevichi"
"38","Alepes_kleinii",-0.452448191186558,0,-0.452448191186558,0,0,"0"
"39","Alepocephalus_dentifer",-2.34956686262815,0,-2.34956686262815,0,0,"0"
"40","Allocareproctus_tanix",-2.82721023052762,0,-2.82721023052762,0,0,"0"
"41","Alopias_pelagicus",1.28734885966677,1,1.28734885966677,0,0,"0"
