"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Abudefduf_concolor",-1.03523713220664,-0.997457937045753,-1.03523713220664,0,0,"0"
"2","Acanthemblemaria_exilispinus",-1.57722090561541,-1.24502945471467,-1.57722090561541,0,0,"0"
"3","Acanthurus_dussumieri",-1.38647090375953,-1.32191489378717,-1.38647090375953,0,0,"0"
"4","Acanthurus_mata",-1.38647090375953,-1.36597099183242,-1.38647090375953,0,0,"0"
"5","Acanthurus_monroviae",-1.38647090375953,-1.46640734145279,-1.38647090375953,0,0,"0"
"6","Alepocephalus_bairdii",-1.42020634755859,-1.4626923904176,-1.42020634755859,0,0,"0"
"7","Amblyeleotris_gymnocephala",-1.0792171521462,-1.1759920557688,-1.0792171521462,0,0,"0"
"8","Amblyeleotris_periophthalma",-1.0792171521462,-1.08221946745448,-1.0792171521462,0,0,"0"
"9","Amphiprion_akindynos",-1.05200590114271,-1.11152992361538,-1.05200590114271,0,0,"0"
"10","Amphiprion_chrysogaster",-1.05200590114271,-1.10140068271767,-1.05200590114271,0,0,"0"
"11","Amphiprion_leucokranos",-1.05200590114271,-0.944006334641459,-1.05200590114271,0,0,"0"
"12","Anchoa_mitchilli",-1.11240350751655,-1.08553901402726,-1.11240350751655,0,0,"0"
"13","Anisotremus_taeniatus",-1.36511523247872,-1.34153713585004,-1.36511523247872,0,0,"0"
"14","Antennarius_indicus",-1.50223286761679,-1.40894426102371,-1.50223286761679,0,0,"0"
"15","Antennarius_multiocellatus",-1.50223286761679,-1.39184696032359,-1.50223286761679,0,0,"0"
"16","Antigonia_capros",-1.42053972421419,-1.31297888897993,-1.42053972421419,0,0,"0"
"17","Anyperodon_leucogrammicus",-1.22204388399809,-1.16452785850409,-1.22204388399809,0,0,"0"
"18","Aphanopus_carbo",-3.59983963209625,-3.70977870621854,-3.59983963209625,1,1,"Aphanopus_carbo"
"19","Apogon_lachneri",-1.13542618931264,-1.12916183934577,-1.13542618931264,0,0,"0"
