"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Abudefduf_concolor",2.82424143141334,2.68,2.82424143141334,0,0,"0"
"2","Acanthemblemaria_exilispinus",3.30196928156197,3.4,3.30196928156197,0,0,"0"
"3","Acanthistius_pardalotus",3.97552696177286,4.05000019073486,3.97552696177286,0,0,"0"
"4","Acanthistius_patachonicus",3.97552696177286,4.01000022888184,3.97552696177286,0,0,"0"
"5","Acanthistius_paxtoni",3.97552696177286,4.05000019073486,3.97552696177286,0,0,"0"
"6","Acanthocepola_limbata",3.36769486535185,3.40000009536743,3.36769486535185,0,0,"0"
"7","Acanthodraco_dewitti",3.57848915205686,3.66000008583069,3.57848915205686,0,0,"0"
"8","Acantholiparis_opercularis",3.36042994810627,3.30999994277954,3.36042994810627,0,0,"0"
"9","Acanthopagrus_latus",3.3585552215418,3.84,3.3585552215418,1,1,"Acanthopagrus_latus"
"10","Acanthopagrus_morrisonae",3.3585552215418,3.39000010490417,3.3585552215418,0,0,"0"
"11","Acanthopagrus_vagus",3.3585552215418,3.34999990463257,3.3585552215418,0,0,"0"
"12","Acanthoplesiops_echinatus",3.18069568512686,3.6,3.18069568512686,0,0,"0"
"13","Acanthurus_dussumieri",2.2793632965778,2,2.2793632965778,0,0,"0"
"14","Acanthurus_mata",2.2793632965778,2.53,2.2793632965778,1,2,"Acanthurus_mata"
"15","Acanthurus_monroviae",2.2793632965778,2.5,2.2793632965778,1,3,"Acanthurus_monroviae"
"16","Acanthurus_reversus",2.2793632965778,2.13000011444092,2.2793632965778,0,0,"0"
"17","Acentrogobius_cenderawasih",3.38579473437483,3.20000004768372,3.38579473437483,0,0,"0"
"18","Acentrogobius_dayi",3.38579473437483,3.39000010490417,3.38579473437483,0,0,"0"
"19","Acentrogobius_limarius",3.38579473437483,3.16000008583069,3.38579473437483,0,0,"0"
"20","Acentrogobius_masoni",3.38579473437483,3.35999989509583,3.38579473437483,0,0,"0"
"21","Acentrogobius_signatus",3.38579473437483,3.23000001907349,3.38579473437483,0,0,"0"
"22","Acentrogobius_suluensis",3.38579473437483,3.16000008583069,3.38579473437483,0,0,"0"
"23","Acentrophryne_dolichonema",3.59514082608946,3.77999997138977,3.59514082608946,0,0,"0"
"24","Achirus_klunzingeri",3.45134751628753,3.34999990463257,3.45134751628753,0,0,"0"
"25","Achirus_mazatlanus",3.45134751628753,3.2,3.45134751628753,0,0,"0"
"26","Achirus_mucuri",3.45134751628753,3.25,3.45134751628753,0,0,"0"
"27","Acromycter_nezumi",3.72375458281444,3.8199999332428,3.72375458281444,0,0,"0"
"28","Acropoma_boholensis",3.39232461388449,3.42000007629395,3.39232461388449,0,0,"0"
"29","Acyrtus_pauciradiatus",3.12118569177975,3,3.12118569177975,0,0,"0"
"30","Acyrtus_rubiginosus",3.12118569177975,3.26,3.12118569177975,0,0,"0"
"31","Adelotremus_leptus",2.92600266196977,3.20000004768372,2.92600266196977,0,0,"0"
"32","Agonomalus_mozinoi",3.30897991041847,3.1800000667572,3.30897991041847,0,0,"0"
"33","Aiakas_kreffti",3.28461391890179,3.41000008583069,3.28461391890179,0,0,"0"
"34","Aioliops_tetrophthalmus",3.12256580128362,3.0699999332428,3.12256580128362,0,0,"0"
"35","Alabes_gibbosa",3.20935575712499,3.35999989509583,3.20935575712499,0,0,"0"
"36","Alabes_hoesei",3.20935575712499,3.17000007629395,3.20935575712499,0,0,"0"
