"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Abudefduf_concolor",27.3796391619512,27.3,27.3796391619512,0,0,"0"
"2","Acanthemblemaria_exilispinus",26.6101471183665,27.9,26.6101471183665,0,0,"0"
"3","Acanthistius_paxtoni",18.1222315569678,21.7,18.1222315569678,0,0,"0"
"4","Acanthocepola_limbata",22.9571197648749,24,22.9571197648749,0,0,"0"
"5","Acanthodraco_dewitti",2.06623819716077,0.9,2.06623819716077,0,0,"0"
"6","Acantholiparis_opercularis",3.3412595718447,1.7,3.3412595718447,0,0,"0"
"7","Acanthopagrus_latus",24.6794844876004,27.4,24.6794844876004,0,0,"0"
"8","Acanthoplesiops_echinatus",27.8118696752429,28.5,27.8118696752429,0,0,"0"
"9","Acanthurus_dussumieri",27.7480342915028,27.2,27.7480342915028,0,0,"0"
"10","Acanthurus_mata",27.7480342915028,27.9,27.7480342915028,0,0,"0"
"11","Acanthurus_monroviae",27.7480342915028,26.5,27.7480342915028,0,0,"0"
"12","Acanthurus_reversus",27.7480342915028,28,27.7480342915028,0,0,"0"
"13","Acentrogobius_signatus",28.172631697104,27,28.172631697104,0,0,"0"
"14","Acentrogobius_suluensis",28.172631697104,28.8,28.172631697104,0,0,"0"
"15","Achirus_klunzingeri",26.1824988230758,27.4,26.1824988230758,0,0,"0"
"16","Achirus_mazatlanus",26.1824988230758,24.7,26.1824988230758,0,0,"0"
"17","Acromycter_nezumi",9.21596939908296,21.3,9.21596939908296,1,1,"Acromycter_nezumi"
"18","Acyrtus_rubiginosus",20.5162660558112,27.5,20.5162660558112,0,0,"0"
"19","Agonomalus_mozinoi",8.54322846209281,10.7,8.54322846209281,0,0,"0"
"20","Aiakas_kreffti",4.67793022632659,4.5,4.67793022632659,0,0,"0"
"21","Aioliops_tetrophthalmus",28.4583928461186,27.8,28.4583928461186,0,0,"0"
"22","Alabes_gibbosa",17.3213935581235,18.3,17.3213935581235,0,0,"0"
"23","Alabes_hoesei",17.3213935581235,17.6,17.3213935581235,0,0,"0"
"24","Albatrossia_pectoralis",6.1096720884839,2.6,6.1096720884839,0,0,"0"
"25","Alectis_alexandrina",25.6429836014578,24.4,25.6429836014578,0,0,"0"
"26","Alepes_vari",27.3657901608747,28.5,27.3657901608747,0,0,"0"
"27","Alepocephalus_bairdii",4.73148317119996,6.9,4.73148317119996,0,0,"0"
"28","Alepocephalus_fundulus",4.73148317119996,1.8,4.73148317119996,0,0,"0"
"29","Alepocephalus_planifrons",4.73148317119996,2.6,4.73148317119996,0,0,"0"
"30","Alionematichthys_suluensis",27.8170665860194,28.8,27.8170665860194,0,0,"0"
"31","Amblyeleotris_fontanesii",27.6397499078692,28.8,27.6397499078692,0,0,"0"
"32","Amblyeleotris_gymnocephala",27.6397499078692,28.3,27.6397499078692,0,0,"0"
"33","Amblyeleotris_periophthalma",27.6397499078692,28,27.6397499078692,0,0,"0"
"34","Amblygobius_bynoensis",28.2700971053323,28.1,28.2700971053323,0,0,"0"
"35","Amblyraja_doellojuradoi",3.49660040696949,7.3,3.49660040696949,1,2,"Amblyraja_doellojuradoi"
"36","Amblyrhynchote_honckenii",23.8655293917139,22.4,23.8655293917139,0,0,"0"
