"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Abudefduf_concolor",-4.9594626264875,0,-4.9594626264875,0,0,"0"
"2","Acanthemblemaria_exilispinus",-5.40016310998934,0,-5.40016310998934,0,0,"0"
"3","Acanthistius_pardalotus",-1.73612462589229,0,-1.73612462589229,0,0,"0"
"4","Acanthistius_patachonicus",-1.73612462589229,0,-1.73612462589229,0,0,"0"
"5","Acanthistius_paxtoni",-1.73612462589229,0,-1.73612462589229,0,0,"0"
"6","Acanthocepola_limbata",-3.68171689194669,0,-3.68171689194669,0,0,"0"
"7","Acanthodraco_dewitti",-4.4336994214713,0,-4.4336994214713,0,0,"0"
"8","Acantholiparis_opercularis",-1.275679851375,0,-1.275679851375,0,0,"0"
"9","Acanthopagrus_latus",-2.04072274419817,0,-2.04072274419817,0,0,"0"
"10","Acanthopagrus_morrisonae",-2.04072274419817,1,-2.04072274419817,1,1,"Acanthopagrus_morrisonae"
"11","Acanthopagrus_vagus",-2.04072274419817,0,-2.04072274419817,0,0,"0"
"12","Acanthoplesiops_echinatus",-2.39387017498746,1,-2.39387017498746,1,2,"Acanthoplesiops_echinatus"
"13","Acanthurus_dussumieri",-5.12872572369106,0,-5.12872572369106,0,0,"0"
"14","Acanthurus_mata",-5.12872572369106,0,-5.12872572369106,0,0,"0"
"15","Acanthurus_monroviae",-5.12872572369106,0,-5.12872572369106,0,0,"0"
"16","Acanthurus_reversus",-5.12872572369106,0,-5.12872572369106,0,0,"0"
"17","Acentrogobius_cenderawasih",-4.8181924432251,0,-4.8181924432251,0,0,"0"
"18","Acentrogobius_dayi",-4.8181924432251,0,-4.8181924432251,0,0,"0"
"19","Acentrogobius_limarius",-4.8181924432251,0,-4.8181924432251,0,0,"0"
"20","Acentrogobius_masoni",-4.8181924432251,0,-4.8181924432251,0,0,"0"
"21","Acentrogobius_signatus",-4.8181924432251,0,-4.8181924432251,0,0,"0"
"22","Acentrogobius_suluensis",-4.8181924432251,0,-4.8181924432251,0,0,"0"
"23","Acentrophryne_dolichonema",2.0237373743323,1,2.0237373743323,0,0,"0"
"24","Achirus_klunzingeri",-5.18919604659862,0,-5.18919604659862,0,0,"0"
"25","Achirus_mazatlanus",-5.18919604659862,0,-5.18919604659862,0,0,"0"
"26","Achirus_mucuri",-5.18919604659862,0,-5.18919604659862,0,0,"0"
"27","Acromycter_nezumi",-2.66234180003903,0,-2.66234180003903,0,0,"0"
"28","Acropoma_boholensis",1.01990019228157,1,1.01990019228157,0,0,"0"
"29","Acyrtus_pauciradiatus",-4.69002077059802,0,-4.69002077059802,0,0,"0"
"30","Acyrtus_rubiginosus",-4.69002077059802,0,-4.69002077059802,0,0,"0"
"31","Adelotremus_leptus",-2.28700730512888,1,-2.28700730512888,1,3,"Adelotremus_leptus"
"32","Agonomalus_mozinoi",-4.93697027887779,0,-4.93697027887779,0,0,"0"
"33","Aiakas_kreffti",-3.20323433631987,0,-3.20323433631987,0,0,"0"
"34","Aioliops_tetrophthalmus",-4.2005417882431,0,-4.2005417882431,0,0,"0"
"35","Alabes_gibbosa",-4.82075264358677,0,-4.82075264358677,0,0,"0"
"36","Alabes_hoesei",-4.82075264358677,0,-4.82075264358677,0,0,"0"
"37","Albatrossia_pectoralis",-1.25791221653102,0,-1.25791221653102,0,0,"0"
"38","Albula_goreensis",-2.16018228365913,0,-2.16018228365913,0,0,"0"
"39","Alectis_alexandrina",-2.06460736444346,1,-2.06460736444346,1,4,"Alectis_alexandrina"
"40","Alepes_vari",-1.3879117273736,1,-1.3879117273736,1,5,"Alepes_vari"
"41","Alepocephalus_bairdii",-2.17576003020118,0,-2.17576003020118,0,0,"0"
"42","Alepocephalus_fundulus",-2.17576003020118,0,-2.17576003020118,0,0,"0"
"43","Alepocephalus_planifrons",-2.17576003020118,0,-2.17576003020118,0,0,"0"
"44","Alionematichthys_suluensis",-4.58273806020967,0,-4.58273806020967,0,0,"0"
"45","Allomicrodesmus_dorotheae",-3.11829873797477,0,-3.11829873797477,0,0,"0"
"46","Amblyeleotris_ellipse",-4.75908519520663,0,-4.75908519520663,0,0,"0"
"47","Amblyeleotris_fontanesii",-4.75908519520663,0,-4.75908519520663,0,0,"0"
"48","Amblyeleotris_gymnocephala",-4.75908519520663,0,-4.75908519520663,0,0,"0"
"49","Amblyeleotris_periophthalma",-4.75908519520663,0,-4.75908519520663,0,0,"0"
"50","Amblygobius_bynoensis",-4.42933718141037,0,-4.42933718141037,0,0,"0"
"51","Amblyraja_doellojuradoi",-4.39290419333974,0,-4.39290419333974,0,0,"0"
"52","Amblyrhynchote_honckenii",-3.57775766617202,0,-3.57775766617202,0,0,"0"
"53","Ambophthalmos_magnicirrus",-4.831335971183,0,-4.831335971183,0,0,"0"
"54","Ammodytoides_kimurai",-1.80648736406749,0,-1.80648736406749,0,0,"0"
"55","Ammodytoides_renniei",-1.80648736406749,0,-1.80648736406749,0,0,"0"
"56","Amphiarius_phrygiatus",-4.87561594203157,0,-4.87561594203157,0,0,"0"
"57","Amphiprion_akindynos",-5.08037732455902,0,-5.08037732455902,0,0,"0"
"58","Amphiprion_chrysogaster",-5.08037732455902,0,-5.08037732455902,0,0,"0"
"59","Amphiprion_latezonatus",-5.08037732455902,0,-5.08037732455902,0,0,"0"
"60","Amphiprion_leucokranos",-5.08037732455902,0,-5.08037732455902,0,0,"0"
"61","Amphiprion_tricinctus",-5.08037732455902,0,-5.08037732455902,0,0,"0"
"62","Anacanthobatis_donghaiensis",-3.4226861412969,0,-3.4226861412969,0,0,"0"
"63","Anampses_chrysocephalus",-4.26826818565962,0,-4.26826818565962,0,0,"0"
"64","Anampses_lineatus",-4.26826818565962,0,-4.26826818565962,0,0,"0"
"65","Anampses_melanurus",-4.26826818565962,0,-4.26826818565962,0,0,"0"
"66","Anarchias_galapagensis",-4.9164649450259,0,-4.9164649450259,0,0,"0"
"67","Anarchias_schultzi",-4.9164649450259,0,-4.9164649450259,0,0,"0"
"68","Anarhichas_denticulatus",-4.27028761640219,0,-4.27028761640219,0,0,"0"
"69","Anchoa_mitchilli",3.50544828740569,1,3.50544828740569,1,6,"Anchoa_mitchilli"
"70","Anchovia_clupeoides",3.37254507927673,0,3.37254507927673,1,7,"Anchovia_clupeoides"
"71","Anchoviella_perfasciata",3.60025611409234,1,3.60025611409234,1,8,"Anchoviella_perfasciata"
"72","Ancylopsetta_cycloidea",-5.39034034263899,0,-5.39034034263899,0,0,"0"
"73","Andamia_pacifica",-4.12199923125782,0,-4.12199923125782,0,0,"0"
"74","Anisotremus_taeniatus",-3.98532854776148,0,-3.98532854776148,0,0,"0"
"75","Anodontostoma_thailandiae",2.4155692261604,1,2.4155692261604,0,0,"0"
"76","Anomalops_katoptron",-1.41096671198023,0,-1.41096671198023,0,0,"0"
"77","Antennarius_biocellatus",-3.43718801874668,0,-3.43718801874668,0,0,"0"
"78","Antennarius_indicus",-3.43718801874668,0,-3.43718801874668,0,0,"0"
"79","Antennarius_multiocellatus",-3.43718801874668,0,-3.43718801874668,0,0,"0"
"80","Antennatus_flagellatus",-2.99873575433473,0,-2.99873575433473,0,0,"0"
"81","Antennatus_linearis",-2.99873575433473,0,-2.99873575433473,0,0,"0"
"82","Anthias_helenensis",-3.37644376038546,0,-3.37644376038546,0,0,"0"
"83","Antigonia_capros",-4.43749751283024,0,-4.43749751283024,0,0,"0"
"84","Antigonia_rhomboidea",-4.43749751283024,0,-4.43749751283024,0,0,"0"
"85","Anyperodon_leucogrammicus",-5.38785000425987,0,-5.38785000425987,0,0,"0"
"86","Apagesoma_edentatum",-1.79082545007725,0,-1.79082545007725,0,0,"0"
"87","Aphanopus_carbo",-3.44787882423693,1,-3.44787882423693,1,9,"Aphanopus_carbo"
"88","Aphareus_rutilans",-4.704996671109,0,-4.704996671109,0,0,"0"
"89","Apionichthys_dumerili",-5.19345608175278,0,-5.19345608175278,0,0,"0"
"90","Aploactisoma_milesii",-4.83124472318421,0,-4.83124472318421,0,0,"0"
"91","Apogon_axillaris",-2.88719444005454,0,-2.88719444005454,0,0,"0"
"92","Apogon_dianthus",-2.88719444005454,0,-2.88719444005454,0,0,"0"
"93","Apogonichthyoides_brevicaudatus",-2.25970718509918,0,-2.25970718509918,0,0,"0"
"94","Apogonichthyoides_heptastygma",-2.25970718509918,0,-2.25970718509918,0,0,"0"
"95","Apogon_lachneri",-2.88719444005454,0,-2.88719444005454,0,0,"0"
"96","Apogon_marquesensis",-2.88719444005454,0,-2.88719444005454,0,0,"0"
"97","Apogon_mosavi",-2.88719444005454,0,-2.88719444005454,0,0,"0"
"98","Apogon_semiornatus",-2.88719444005454,0,-2.88719444005454,0,0,"0"
"99","Apogon_talboti",-2.88719444005454,0,-2.88719444005454,0,0,"0"
"100","Apolemichthys_xanthopunctatus",-5.00496188697278,0,-5.00496188697278,0,0,"0"
"101","Apristurus_breviventralis",-1.34341157608929,1,-1.34341157608929,1,10,"Apristurus_breviventralis"
"102","Apristurus_brunneus",-1.34341157608929,0,-1.34341157608929,0,0,"0"
"103","Apristurus_parvipinnis",-1.34341157608929,0,-1.34341157608929,0,0,"0"
"104","Apristurus_profundorum",-1.34341157608929,0,-1.34341157608929,0,0,"0"
"105","Apristurus_sibogae",-1.34341157608929,0,-1.34341157608929,0,0,"0"
"106","Apristurus_sinensis",-1.34341157608929,0,-1.34341157608929,0,0,"0"
"107","Apterichtus_moseri",-4.77876323336739,0,-4.77876323336739,0,0,"0"
"108","Aptychotrema_timorensis",-3.34458612002288,0,-3.34458612002288,0,0,"0"
"109","Aracana_ornata",-3.64266028420447,0,-3.64266028420447,0,0,"0"
"110","Archistes_plumarius",-5.02924354065912,0,-5.02924354065912,0,0,"0"
"111","Arctozenus_risso",2.61681407245896,1,2.61681407245896,0,0,"0"
"112","Argentina_georgei",-1.49115633286588,0,-1.49115633286588,0,0,"0"
"113","Argentina_silus",-1.49115633286588,1,-1.49115633286588,1,11,"Argentina_silus"
"114","Argyripnus_atlanticus",0.0353961826401432,0,0.0353961826401432,0,0,"0"
"115","Argyripnus_hulleyi",0.0353961826401432,0,0.0353961826401432,0,0,"0"
"116","Argyripnus_pharos",0.0353961826401432,1,0.0353961826401432,0,0,"0"
"117","Argyrocottus_zanderi",-5.01360469351464,0,-5.01360469351464,0,0,"0"
"118","Argyropelecus_gigas",2.51656331759068,1,2.51656331759068,0,0,"0"
"119","Argyrops_flavops",-3.74156042939211,0,-3.74156042939211,0,0,"0"
"120","Arius_cous",-4.99207564830456,0,-4.99207564830456,0,0,"0"
"121","Arnoglossus_aspilos",-6.02639256876981,0,-6.02639256876981,0,0,"0"
"122","Arnoglossus_japonicus",-6.02639256876981,0,-6.02639256876981,0,0,"0"
"123","Arnoglossus_laterna",-6.02639256876981,0,-6.02639256876981,0,0,"0"
"124","Arnoglossus_micrommatus",-6.02639256876981,0,-6.02639256876981,0,0,"0"
"125","Artediellus_camchaticus",-5.1669835924592,0,-5.1669835924592,0,0,"0"
"126","Artediellus_scaber",-5.1669835924592,0,-5.1669835924592,0,0,"0"
"127","Artediellus_schmidti",-5.1669835924592,0,-5.1669835924592,0,0,"0"
"128","Aseraggodes_corymbus",-5.44798207076332,0,-5.44798207076332,0,0,"0"
"129","Aseraggodes_cyclurus",-5.44798207076332,0,-5.44798207076332,0,0,"0"
"130","Aseraggodes_longipinnis",-5.44798207076332,0,-5.44798207076332,0,0,"0"
"131","Aseraggodes_melanostictus",-5.44798207076332,0,-5.44798207076332,0,0,"0"
"132","Aseraggodes_senoui",-5.44798207076332,0,-5.44798207076332,0,0,"0"
"133","Aspasmichthys_ciconiae",-4.66499702586644,0,-4.66499702586644,0,0,"0"
"134","Assessor_randalli",-3.33625045765998,0,-3.33625045765998,0,0,"0"
"135","Assiculoides_desmonotus",-4.51266212569199,0,-4.51266212569199,0,0,"0"
"136","Assiculus_punctatus",-4.51266212569199,0,-4.51266212569199,0,0,"0"
"137","Asterropteryx_atripes",-4.33902368201541,0,-4.33902368201541,0,0,"0"
"138","Asterropteryx_profunda",-4.33902368201541,0,-4.33902368201541,0,0,"0"
"139","Astronesthes_gibbsi",3.62813348679279,1,3.62813348679279,1,12,"Astronesthes_gibbsi"
"140","Astronesthes_indicus",3.62813348679279,1,3.62813348679279,1,13,"Astronesthes_indicus"
"141","Astronesthes_karsteni",3.62813348679279,1,3.62813348679279,1,14,"Astronesthes_karsteni"
"142","Astronesthes_tanibe",3.62813348679279,1,3.62813348679279,1,15,"Astronesthes_tanibe"
"143","Astronesthes_trifibulatus",3.62813348679279,1,3.62813348679279,1,16,"Astronesthes_trifibulatus"
"144","Ateleopus_indicus",-2.62114594750438,0,-2.62114594750438,0,0,"0"
"145","Ateleopus_purpureus",-2.62114594750438,0,-2.62114594750438,0,0,"0"
"146","Atelomycterus_erdmanni",-3.51265480991196,0,-3.51265480991196,0,0,"0"
"147","Atelomycterus_marmoratus",-3.51265480991196,0,-3.51265480991196,0,0,"0"
"148","Atheresthes_stomias",-5.0254048126713,0,-5.0254048126713,0,0,"0"
"149","Atherina_boyeri",1.54661852992544,0,1.54661852992544,1,17,"Atherina_boyeri"
"150","Atherinella_nepenthe",0.130498628961534,1,0.130498628961534,0,0,"0"
"151","Atherinomorus_endrachtensis",-0.555882786957588,0,-0.555882786957588,0,0,"0"
"152","Atherinomorus_regina",-0.555882786957588,0,-0.555882786957588,0,0,"0"
"153","Atherinomorus_vaigiensis",-0.555882786957588,1,-0.555882786957588,1,18,"Atherinomorus_vaigiensis"
"154","Atherinosoma_microstoma",0.769854780745095,1,0.769854780745095,0,0,"0"
"155","Atopocottus_tribranchius",-5.01360469351464,0,-5.01360469351464,0,0,"0"
"156","Atractodenchelys_phrix",-3.11118688177358,0,-3.11118688177358,0,0,"0"
"157","Atractoscion_atelodus",-3.96106631780481,0,-3.96106631780481,0,0,"0"
"158","Atropus_atropos",-1.56817225890716,1,-1.56817225890716,1,19,"Atropus_atropos"
"159","Atule_mate",-1.56817225890716,0,-1.56817225890716,0,0,"0"
"160","Aulopareia_koumansi",-4.14117836356627,0,-4.14117836356627,0,0,"0"
"161","Aulostomus_strigosus",-3.06844777998239,0,-3.06844777998239,0,0,"0"
"162","Aulotrachichthys_novaezelandicus",-0.136202260600001,0,-0.136202260600001,0,0,"0"
"163","Aulotrachichthys_sajademalensis",-0.136202260600001,1,-0.136202260600001,0,0,"0"
"164","Austrobatrachus_iselesele",-4.65673426212807,0,-4.65673426212807,0,0,"0"
"165","Austroglossus_pectoralis",-5.00755623245537,0,-5.00755623245537,0,0,"0"
"166","Avocettina_acuticeps",1.42095949402109,1,1.42095949402109,0,0,"0"
"167","Awaous_lateristriga",-4.53536564892738,0,-4.53536564892738,0,0,"0"
"168","Awaous_ocellaris",-4.53536564892738,0,-4.53536564892738,0,0,"0"
"169","Axoclinus_storeyae",-4.8856877929561,0,-4.8856877929561,0,0,"0"
"170","Bahaba_taipingensis",-3.93996977868582,0,-3.93996977868582,0,0,"0"
"171","Bairdiella_icistia",-3.97936354908139,0,-3.97936354908139,0,0,"0"
"172","Bajacalifornia_arcylepis",2.38850625354804,1,2.38850625354804,0,0,"0"
"173","Balistes_polylepis",-3.38904920812972,0,-3.38904920812972,0,0,"0"
"174","Barbantus_elongatus",2.30949991615528,1,2.30949991615528,0,0,"0"
"175","Barbulifer_mexicanus",-4.23754756230654,0,-4.23754756230654,0,0,"0"
"176","Bascanichthys_filaria",-4.71727077195839,0,-4.71727077195839,0,0,"0"
"177","Bascanichthys_kabeyawan",-4.71727077195839,0,-4.71727077195839,0,0,"0"
"178","Bascanichthys_scuticaris",-4.71727077195839,0,-4.71727077195839,0,0,"0"
"179","Bassozetus_zenkevitchi",-3.65495244629499,1,-3.65495244629499,1,20,"Bassozetus_zenkevitchi"
"180","Bathophilus_abarbatus",3.76155135228416,1,3.76155135228416,1,21,"Bathophilus_abarbatus"
"181","Bathophilus_nigerrimus",3.76155135228416,1,3.76155135228416,1,22,"Bathophilus_nigerrimus"
"182","Bathyagonus_alascanus",-4.95712987683961,0,-4.95712987683961,0,0,"0"
"183","Bathyaploactis_curtisensis",-4.8500225054678,0,-4.8500225054678,0,0,"0"
"184","Bathyclupea_schroederi",1.28955840680163,1,1.28955840680163,0,0,"0"
"185","Bathydraco_marri",-4.53489499155767,0,-4.53489499155767,0,0,"0"
"186","Bathygadus_bowersi",-1.09783746334698,0,-1.09783746334698,0,0,"0"
"187","Bathygadus_dubiosus",-1.09783746334698,0,-1.09783746334698,0,0,"0"
"188","Bathygobius_aeolosoma",-4.63659540578388,0,-4.63659540578388,0,0,"0"
"189","Bathygobius_antilliensis",-4.63659540578388,0,-4.63659540578388,0,0,"0"
"190","Bathylaco_nigricans",0.798675799698461,1,0.798675799698461,0,0,"0"
"191","Bathylagichthys_kobylianskyi",3.09967859150637,1,3.09967859150637,1,23,"Bathylagichthys_kobylianskyi"
"192","Bathyonus_caudalis",-3.13951332267563,0,-3.13951332267563,0,0,"0"
"193","Bathypterois_atricolor",-3.60159359267763,0,-3.60159359267763,0,0,"0"
"194","Bathypterois_insularum",-3.60159359267763,0,-3.60159359267763,0,0,"0"
"195","Bathypterois_pectinatus",-3.60159359267763,0,-3.60159359267763,0,0,"0"
"196","Bathyraja_aguja",-3.83301979284336,0,-3.83301979284336,0,0,"0"
"197","Bathyraja_brachyurops",-3.83301979284336,0,-3.83301979284336,0,0,"0"
"198","Bathysauropsis_gracilis",-2.62477220456355,0,-2.62477220456355,0,0,"0"
"199","Bathysolea_profundicola",-3.19721796182992,1,-3.19721796182992,1,24,"Bathysolea_profundicola"
"200","Bellottia_armiger",-2.88930071711718,0,-2.88930071711718,0,0,"0"
"201","Bellottia_galatheae",-2.88930071711718,0,-2.88930071711718,0,0,"0"
"202","Belonoperca_pylei",-3.78591191215736,0,-3.78591191215736,0,0,"0"
"203","Bembradium_roseum",-4.39840216242382,0,-4.39840216242382,0,0,"0"
"204","Bembrops_caudimacula",-4.8185414082137,0,-4.8185414082137,0,0,"0"
"205","Bembrops_ocellatus",-4.8185414082137,0,-4.8185414082137,0,0,"0"
"206","Benthenchelys_pacificus",-1.62537855994007,1,-1.62537855994007,1,25,"Benthenchelys_pacificus"
"207","Benthosema_panamense",2.3775922699535,1,2.3775922699535,0,0,"0"
"208","Beringraja_rhina",-4.31397982728257,0,-4.31397982728257,0,0,"0"
"209","Beringraja_stellulata",-4.31397982728257,0,-4.31397982728257,0,0,"0"
"210","Bilabria_ornata",-3.20330511603042,0,-3.20330511603042,0,0,"0"
"211","Blenniella_paula",-4.15914536797124,0,-4.15914536797124,0,0,"0"
"212","Blenniella_periophthalmus",-4.15914536797124,0,-4.15914536797124,0,0,"0"
"213","Blennioclinus_stella",-4.13644109678674,0,-4.13644109678674,0,0,"0"
"214","Blennodon_dorsalis",-4.80094709914322,0,-4.80094709914322,0,0,"0"
"215","Bodianus_bennetti",-4.90267087603725,0,-4.90267087603725,0,0,"0"
"216","Bodianus_paraleucosticticus",-4.90267087603725,0,-4.90267087603725,0,0,"0"
"217","Bodianus_vulpinus",-4.90267087603725,0,-4.90267087603725,0,0,"0"
"218","Boehlkenchelys_longidentata",-3.09449265214102,0,-3.09449265214102,0,0,"0"
"219","Boleophthalmus_pectinirostris",-2.2569158560688,0,-2.2569158560688,0,0,"0"
"220","Bolinia_euryptera",-5.01360469351464,0,-5.01360469351464,0,0,"0"
"221","Bolinichthys_indicus",3.75935618354499,1,3.75935618354499,1,26,"Bolinichthys_indicus"
"222","Bollmannia_umbrosa",-4.39653343706353,0,-4.39653343706353,0,0,"0"
"223","Borostomias_mononema",2.27372187166847,1,2.27372187166847,0,0,"0"
"224","Bothrocara_nyx",-3.51721494101906,1,-3.51721494101906,1,27,"Bothrocara_nyx"
"225","Bothrocara_soldatovi",-3.51721494101906,0,-3.51721494101906,0,0,"0"
"226","Bothus_mancus",-5.47784435294466,0,-5.47784435294466,0,0,"0"
"227","Bothus_podas",-5.47784435294466,0,-5.47784435294466,0,0,"0"
"228","Brachaluteres_taylori",-4.40703706559702,0,-4.40703706559702,0,0,"0"
"229","Brachirus_sayaensis",-5.16108682507315,0,-5.16108682507315,0,0,"0"
"230","Brachirus_siamensis",-5.16108682507315,0,-5.16108682507315,0,0,"0"
"231","Brachybembras_aschemeieri",-4.37037246055472,0,-4.37037246055472,0,0,"0"
"232","Brachygenys_chrysargyreum",-3.83540234417136,0,-3.83540234417136,0,0,"0"
"233","Brachyistius_aletes",-4.24009022708994,0,-4.24009022708994,0,0,"0"
"234","Brachypterois_curvispina",-2.09258075947136,1,-2.09258075947136,1,28,"Brachypterois_curvispina"
"235","Brachysomophis_longipinnis",-4.53088788632956,0,-4.53088788632956,0,0,"0"
"236","Brama_australis",1.31732426559562,1,1.31732426559562,0,0,"0"
"237","Brama_pauciradiata",1.31732426559562,1,1.31732426559562,0,0,"0"
"238","Branchiostegus_doliatus",-4.61988114089655,0,-4.61988114089655,0,0,"0"
"239","Bregmaceros_cantori",1.87743678161574,1,1.87743678161574,0,0,"0"
"240","Bregmaceros_nectabanus",1.87743678161574,1,1.87743678161574,0,0,"0"
"241","Brevitrygon_walga",-3.07435602557831,0,-3.07435602557831,0,0,"0"
"242","Brinkmannella_elongata",-2.27513635438578,0,-2.27513635438578,0,0,"0"
"243","Brochiraja_albilabiata",-3.57690045156405,0,-3.57690045156405,0,0,"0"
"244","Brochiraja_heuresa",-3.57690045156405,0,-3.57690045156405,0,0,"0"
"245","Brosmophycis_marginata",-2.54968277782574,0,-2.54968277782574,0,0,"0"
"246","Brotulotaenia_nigra",-0.306843354463179,1,-0.306843354463179,0,0,"0"
"247","Bryaninops_annella",-2.09452978354067,1,-2.09452978354067,1,29,"Bryaninops_annella"
"248","Bryozoichthys_marjorius",-3.66039274846652,0,-3.66039274846652,0,0,"0"
"249","Bryx_randalli",-4.06036298582521,0,-4.06036298582521,0,0,"0"
"250","Buglossidium_luteum",-4.93858833143048,0,-4.93858833143048,0,0,"0"
"251","Bunaka_gyrinoides",-4.24895288011648,0,-4.24895288011648,0,0,"0"
"252","Cabillus_tongarevae",-4.26644130778498,0,-4.26644130778498,0,0,"0"
"253","Caffrogobius_natalensis",-4.26854028757385,0,-4.26854028757385,0,0,"0"
"254","Caffrogobius_nudiceps",-4.26854028757385,0,-4.26854028757385,0,0,"0"
"255","Calamus_bajonado",-3.94204578276376,0,-3.94204578276376,0,0,"0"
"256","Callanthias_parini",-2.4488879874615,0,-2.4488879874615,0,0,"0"
"257","Callechelys_eristigma",-4.68511951087763,0,-4.68511951087763,0,0,"0"
"258","Callionymus_erythraeus",-4.57141578542703,0,-4.57141578542703,0,0,"0"
"259","Callionymus_hainanensis",-4.57141578542703,0,-4.57141578542703,0,0,"0"
"260","Callionymus_kailolae",-4.57141578542703,0,-4.57141578542703,0,0,"0"
"261","Callionymus_kotthausi",-4.57141578542703,0,-4.57141578542703,0,0,"0"
"262","Callionymus_madangensis",-4.57141578542703,0,-4.57141578542703,0,0,"0"
"263","Callionymus_melanotopterus",-4.57141578542703,0,-4.57141578542703,0,0,"0"
"264","Callionymus_ogilbyi",-4.57141578542703,0,-4.57141578542703,0,0,"0"
"265","Callionymus_umbrithorax",-4.57141578542703,0,-4.57141578542703,0,0,"0"
"266","Callionymus_zythros",-4.57141578542703,0,-4.57141578542703,0,0,"0"
"267","Callogobius_centrolepis",-4.74531462134312,0,-4.74531462134312,0,0,"0"
"268","Calloplesiops_altivelis",-3.26610061486509,0,-3.26610061486509,0,0,"0"
"269","Calumia_godeffroyi",-4.31066300463414,0,-4.31066300463414,0,0,"0"
"270","Calumia_profunda",-4.31066300463414,0,-4.31066300463414,0,0,"0"
