"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Abudefduf_margariteus",-0.852179014906427,-0.927138141213553,-0.852179014906427,0,0,"0"
"2","Abudefduf_troschelii",-0.852179014906427,-0.951241319854992,-0.852179014906427,0,0,"0"
"3","Acanthurus_blochii",-0.946519798971209,-1.01192857617227,-0.946519798971209,0,0,"0"
"4","Acanthurus_coeruleus",-0.946519798971209,-0.999130437605545,-0.946519798971209,0,0,"0"
"5","Acanthurus_japonicus",-0.946519798971209,-0.941897412107092,-0.946519798971209,0,0,"0"
"6","Acanthurus_mata",-0.946519798971209,-0.888855795670069,-0.946519798971209,0,0,"0"
"7","Acanthurus_nubilus",-0.946519798971209,-0.931661514448875,-0.946519798971209,0,0,"0"
"8","Akarotaxis_nudiceps",-0.647729515229767,-0.622287196455102,-0.647729515229767,0,0,"0"
"9","Amphiprion_clarkii",-0.795680847506364,-0.825348734864818,-0.795680847506364,0,0,"0"
"10","Amphiprion_sandaracinos",-0.795680847506364,-0.819796272493532,-0.795680847506364,0,0,"0"
"11","Anarhichas_orientalis",-0.864613469046711,-0.880961096850377,-0.864613469046711,0,0,"0"
"12","Anchoa_choerostoma",-1.05497354282183,-1.01966215169109,-1.05497354282183,0,0,"0"
"13","Anchoa_walkeri",-1.05497354282183,-1.15083404323537,-1.05497354282183,0,0,"0"
"14","Anisotremus_virginicus",-0.815753254757011,-0.835635123780887,-0.815753254757011,0,0,"0"
"15","Antennarius_commerson",-0.426810795667532,-0.552370651808455,-0.426810795667532,1,1,"Antennarius_commerson"
"16","Antennarius_pictus",-0.426810795667532,-0.492614903050889,-0.426810795667532,0,0,"0"
"17","Antigonia_combatia",-1.04162430206615,-1.12356219123347,-1.04162430206615,0,0,"0"
"18","Apistus_carinatus",-0.673957302960258,-0.70551802691682,-0.673957302960258,0,0,"0"
"19","Aplodactylus_punctatus",-0.786232194472176,-0.800499564380019,-0.786232194472176,0,0,"0"
"20","Apogon_imberbis",-0.717412767088816,-0.774476095004506,-0.717412767088816,0,0,"0"
"21","Aprion_virescens",-0.857640147050229,-0.77910807888762,-0.857640147050229,0,0,"0"
"22","Apsilus_dentatus",-0.824548447872015,-0.813326219277693,-0.824548447872015,0,0,"0"
"23","Aracana_ornata",-0.580200200321465,-0.468033813166104,-0.580200200321465,0,0,"0"
"24","Argyrozona_argyrozona",-0.897341268261698,-0.867238664484858,-0.897341268261698,0,0,"0"
"25","Atherinops_affinis",-0.881841999441258,-0.980059123221218,-0.881841999441258,0,0,"0"
"26","Atypichthys_strigatus",-0.870829627051956,-0.953290911962467,-0.870829627051956,0,0,"0"
"27","Aulopus_filamentosus",-0.801252736975841,-0.639058823316531,-0.801252736975841,0,0,"0"
"28","Austrolycus_laticinctus",-0.782792826203204,-0.752425716239235,-0.782792826203204,0,0,"0"
"29","Bagre_marinus",-0.547536966833216,-0.533951197689676,-0.547536966833216,0,0,"0"
"30","Bathylagus_antarcticus",-0.88636348081705,-0.788287977454274,-0.88636348081705,0,0,"0"
"31","Bathylagus_tenuis",-0.88636348081705,-0.88502390175917,-0.88636348081705,0,0,"0"
"32","Bathymaster_caeruleofasciatus",-0.770656624735183,-0.697386118352398,-0.770656624735183,0,0,"0"
"33","Bathypterois_grallator",-0.84423700330793,-0.886585328779076,-0.84423700330793,0,0,"0"
"34","Benthalbella_infans",-0.948462933102513,-0.967562932946407,-0.948462933102513,0,0,"0"
"35","Beryx_splendens",-0.772266144646049,-0.839996372584172,-0.772266144646049,0,0,"0"
"36","Bodianus_bilunulatus",-0.859738734725114,-0.79569358647633,-0.859738734725114,0,0,"0"
"37","Bolinichthys_indicus",-0.76876617464558,-0.780928036308604,-0.76876617464558,0,0,"0"
"38","Boops_boops",-0.897634393009502,-0.800117129849534,-0.897634393009502,0,0,"0"
"39","Bothrocara_hollandi",-0.891255820232013,-1.00999139307923,-0.891255820232013,0,0,"0"
"40","Brachysomophis_henshawi",-1.1763226603126,-1.09016804286507,-1.1763226603126,0,0,"0"
"41","Branchiostegus_argentatus",-0.840804949057193,-0.970490990834308,-0.840804949057193,0,0,"0"
"42","Brosme_brosme",-0.879069355025464,-0.727693075185527,-0.879069355025464,0,0,"0"
"43","Bryaninops_ridens",-0.629536833114249,-0.544266848153376,-0.629536833114249,0,0,"0"
"44","Calamus_penna",-0.928112294877469,-0.921362056808434,-0.928112294877469,0,0,"0"
"45","Canthigaster_compressa",-0.616206025138396,-0.646131683559572,-0.616206025138396,0,0,"0"
"46","Canthigaster_punctatissima",-0.616206025138396,-0.53973783377243,-0.616206025138396,0,0,"0"
"47","Caranx_crysos",-0.923214825464882,-0.868194723323509,-0.923214825464882,0,0,"0"
"48","Caranx_hippos",-0.923214825464882,-0.858573912079223,-0.923214825464882,0,0,"0"
"49","Caulolatilus_intermedius",-0.797006651081147,-0.829311806175791,-0.797006651081147,0,0,"0"
"50","Centropomus_pectinatus",-0.896449783242272,-0.942650558488049,-0.896449783242272,0,0,"0"
"51","Centropristis_striata",-0.750811032675145,-0.66343071969853,-0.750811032675145,0,0,"0"
"52","Centropyge_eibli",-0.851930338532959,-0.832485443566285,-0.851930338532959,0,0,"0"
"53","Centropyge_loriculus",-0.851930338532959,-0.880886309370075,-0.851930338532959,0,0,"0"
"54","Cetengraulis_mysticetus",-1.034286113511,-1.00556917101142,-1.034286113511,0,0,"0"
"55","Cetostoma_regani",-0.75013330992639,-0.903997217734453,-0.75013330992639,0,0,"0"
"56","Chaetodipterus_faber",-1.01080872966728,-1.00758783600212,-1.01080872966728,0,0,"0"
"57","Chaetodon_auripes",-1.05912648512066,-1.04003533735903,-1.05912648512066,0,0,"0"
"58","Chaetodon_larvatus",-1.05912648512066,-1.1137529619212,-1.05912648512066,0,0,"0"
"59","Chaetodon_lineolatus",-1.05912648512066,-1.05373912809291,-1.05912648512066,0,0,"0"
"60","Chaetodon_mertensii",-1.05912648512066,-1.13644827362384,-1.05912648512066,0,0,"0"
"61","Chaetodon_plebeius",-1.05912648512066,-1.01769815343854,-1.05912648512066,0,0,"0"
"62","Chaetodon_rafflesii",-1.05912648512066,-1.05323283764225,-1.05912648512066,0,0,"0"
"63","Chaetodon_semeion",-1.05912648512066,-1.10008076289054,-1.05912648512066,0,0,"0"
"64","Chaetodon_semilarvatus",-1.05912648512066,-0.991568000648408,-1.05912648512066,0,0,"0"
"65","Chaetodon_speculum",-1.05912648512066,-1.04520439940932,-1.05912648512066,0,0,"0"
"66","Chaetodontoplus_mesoleucus",-0.91536055024747,-0.851919073143174,-0.91536055024747,0,0,"0"
"67","Chaetodon_trichrous",-1.05912648512066,-1.08135816873255,-1.05912648512066,0,0,"0"
"68","Chaetodon_xanthurus",-1.05912648512066,-1.12706818005298,-1.05912648512066,0,0,"0"
"69","Champsodon_atridorsalis",-0.84823926378056,-0.835523294014656,-0.84823926378056,0,0,"0"
"70","Cheilopogon_furcatus",-0.715938252828995,-0.775097857667002,-0.715938252828995,0,0,"0"
"71","Chelidonichthys_obscurus",-0.577609102102987,-0.683818877593367,-0.577609102102987,0,0,"0"
"72","Chlorophthalmus_corniger",-0.733219265893666,-0.808789734277335,-0.733219265893666,0,0,"0"
"73","Chlorophthalmus_punctatus",-0.733219265893666,-0.59640013457796,-0.733219265893666,0,0,"0"
"74","Choerodon_oligacanthus",-0.83317472553319,-0.871752344524647,-0.83317472553319,0,0,"0"
"75","Chromis_weberi",-0.890084377241475,-0.807590883271363,-0.890084377241475,0,0,"0"
"76","Chrysiptera_hemicyanea",-0.84338685789573,-0.869596741815998,-0.84338685789573,0,0,"0"
"77","Chrysiptera_oxycephala",-0.84338685789573,-0.898079798290939,-0.84338685789573,0,0,"0"
"78","Citharichthys_stigmaeus",-1.39613845649289,-1.45900488607673,-1.39613845649289,0,0,"0"
"79","Clepticus_parrae",-0.88730060100226,-0.857388780186484,-0.88730060100226,0,0,"0"
"80","Coilia_dussumieri",-1.08760421757393,-1.12775176212214,-1.08760421757393,0,0,"0"
"81","Coradion_melanopus",-1.13436371985282,-1.0730848381402,-1.13436371985282,0,0,"0"
"82","Coris_aygula",-0.937794709774253,-0.932402813409983,-0.937794709774253,0,0,"0"
"83","Coris_pictoides",-0.937794709774253,-0.894977822114881,-0.937794709774253,0,0,"0"
"84","Coryphaenoides_longifilis",-0.867101846493687,-0.983924477936305,-0.867101846493687,0,0,"0"
"85","Coryphaenoides_nasutus",-0.867101846493687,-0.799478351374816,-0.867101846493687,0,0,"0"
