"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Abudefduf_margariteus",-1.03024860795855,-1.04992873987217,-1.03024860795855,0,0,"0"
"2","Abudefduf_troschelii",-1.03024860795855,-1.05691204029371,-1.03024860795855,0,0,"0"
"3","Acanthurus_blochii",-1.39201970548048,-1.35306135173364,-1.39201970548048,0,0,"0"
"4","Acanthurus_coeruleus",-1.39201970548048,-1.44173863257209,-1.39201970548048,0,0,"0"
"5","Acanthurus_japonicus",-1.39201970548048,-1.46587734550344,-1.39201970548048,0,0,"0"
"6","Acanthurus_mata",-1.39201970548048,-1.36597099183242,-1.39201970548048,0,0,"0"
"7","Acanthurus_nubilus",-1.39201970548048,-1.18934135067177,-1.39201970548048,0,0,"0"
"8","Akarotaxis_nudiceps",-1.93934743042883,-2.18698749678644,-1.93934743042883,0,0,"0"
"9","Amphiprion_clarkii",-1.05456898053744,-1.13267869160002,-1.05456898053744,0,0,"0"
"10","Amphiprion_sandaracinos",-1.05456898053744,-0.951361624098903,-1.05456898053744,0,0,"0"
"11","Anarhichas_orientalis",-2.07477430608907,-2.10050582201186,-2.07477430608907,0,0,"0"
"12","Anchoa_choerostoma",-1.10433225115643,-1.23930264804648,-1.10433225115643,0,0,"0"
"13","Anchoa_walkeri",-1.10433225115643,-1.0990892222658,-1.10433225115643,0,0,"0"
"14","Anisotremus_virginicus",-1.35081554104065,-1.43834841330302,-1.35081554104065,0,0,"0"
"15","Antennarius_commerson",-1.49126614713234,-1.42788419670255,-1.49126614713234,0,0,"0"
"16","Antennarius_pictus",-1.49126614713234,-1.4147817411632,-1.49126614713234,0,0,"0"
"17","Antigonia_combatia",-1.37351132571172,-1.40095078493491,-1.37351132571172,0,0,"0"
"18","Apistus_carinatus",-1.72967758321051,-1.35096488183055,-1.72967758321051,0,0,"0"
"19","Aplodactylus_punctatus",-1.12533456491407,-1.10055504133512,-1.12533456491407,0,0,"0"
"20","Apogon_imberbis",-1.13905960165515,-1.20476987599235,-1.13905960165515,0,0,"0"
"21","Aprion_virescens",-1.2408418453599,-1.37403714037842,-1.2408418453599,0,0,"0"
"22","Apsilus_dentatus",-1.21569339072161,-1.32450799722983,-1.21569339072161,0,0,"0"
"23","Aracana_ornata",-1.81434417023699,-1.42575990546595,-1.81434417023699,0,0,"0"
"24","Argyrozona_argyrozona",-1.33605808140176,-1.26383031616951,-1.33605808140176,0,0,"0"
"25","Atherinops_affinis",-1.32656385902985,-1.37345622628531,-1.32656385902985,0,0,"0"
"26","Atypichthys_strigatus",-1.3543758466797,-1.2407553428577,-1.3543758466797,0,0,"0"
"27","Aulopus_filamentosus",-1.60479375930164,-1.57064113883828,-1.60479375930164,0,0,"0"
"28","Austrolycus_laticinctus",-2.86434712819657,-2.86995259194295,-2.86434712819657,0,0,"0"
"29","Bagre_marinus",-1.50962682127784,-1.58897216109441,-1.50962682127784,0,0,"0"
"30","Bathylagus_antarcticus",-1.65005719247146,-1.60905100283696,-1.65005719247146,0,0,"0"
"31","Bathylagus_tenuis",-1.65005719247146,-1.43906198199597,-1.65005719247146,0,0,"0"
"32","Bathymaster_caeruleofasciatus",-1.42698257332404,-1.32839499568989,-1.42698257332404,0,0,"0"
"33","Bathypterois_grallator",-1.29725726896817,-1.28174951276424,-1.29725726896817,0,0,"0"
"34","Benthalbella_infans",-1.41079694905067,-1.59802302740944,-1.41079694905067,0,0,"0"
"35","Beryx_splendens",-1.45028989325426,-1.45344332827179,-1.45028989325426,0,0,"0"
"36","Bodianus_bilunulatus",-0.886087680568759,-0.927291353954321,-0.886087680568759,0,0,"0"
"37","Bolinichthys_indicus",-1.39001109900181,-1.29618099417518,-1.39001109900181,0,0,"0"
"38","Boops_boops",-1.33414341982513,-1.5098444420732,-1.33414341982513,0,0,"0"
"39","Bothrocara_hollandi",-3.17436504193937,-3.60655510853757,-3.17436504193937,0,0,"0"
"40","Brachysomophis_henshawi",-2.98721208250065,-2.94380920509962,-2.98721208250065,0,0,"0"
"41","Branchiostegus_argentatus",-1.18734770857216,-1.10382498221991,-1.18734770857216,0,0,"0"
"42","Brosme_brosme",-2.34660858291542,-1.79241490715539,-2.34660858291542,1,1,"Brosme_brosme"
"43","Bryaninops_ridens",-1.14055999284471,-1.37819142970155,-1.14055999284471,0,0,"0"
"44","Calamus_penna",-1.4435623645215,-1.38840387564479,-1.4435623645215,0,0,"0"
"45","Canthigaster_compressa",-1.05617909068555,-1.00805864247109,-1.05617909068555,0,0,"0"
"46","Canthigaster_punctatissima",-1.05617909068555,-0.868207880337786,-1.05617909068555,0,0,"0"
"47","Caranx_crysos",-2.24776808652932,-2.28804768059595,-2.24776808652932,0,0,"0"
"48","Caranx_hippos",-2.24776808652932,-2.27796234243105,-2.24776808652932,0,0,"0"
"49","Caulolatilus_intermedius",-1.39971736000051,-1.40080257165033,-1.39971736000051,0,0,"0"
"50","Centropomus_pectinatus",-1.09841589514879,-1.12400973615628,-1.09841589514879,0,0,"0"
"51","Centropristis_striata",-1.25500674723257,-1.09749994204125,-1.25500674723257,0,0,"0"
"52","Centropyge_eibli",-1.29306374076183,-1.27617219368149,-1.29306374076183,0,0,"0"
"53","Centropyge_loriculus",-1.29306374076183,-1.36453953914201,-1.29306374076183,0,0,"0"
"54","Cetengraulis_mysticetus",-1.24189850483493,-1.33220716921336,-1.24189850483493,0,0,"0"
"55","Cetostoma_regani",-1.6445042449423,-1.88177356690404,-1.6445042449423,0,0,"0"
"56","Chaetodipterus_faber",-1.39151933466074,-1.31395816798435,-1.39151933466074,0,0,"0"
"57","Chaetodon_auripes",-1.52712903095469,-1.53119139245816,-1.52712903095469,0,0,"0"
"58","Chaetodon_larvatus",-1.52712903095469,-1.46945651068157,-1.52712903095469,0,0,"0"
"59","Chaetodon_lineolatus",-1.52712903095469,-1.45829894742759,-1.52712903095469,0,0,"0"
"60","Chaetodon_mertensii",-1.52712903095469,-1.57771922861273,-1.52712903095469,0,0,"0"
"61","Chaetodon_plebeius",-1.52712903095469,-1.46774300041957,-1.52712903095469,0,0,"0"
"62","Chaetodon_rafflesii",-1.52712903095469,-1.51853035277263,-1.52712903095469,0,0,"0"
