"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Abudefduf_margariteus",-4.96064194774447,0,-4.96064194774447,0,0,"0"
"2","Abudefduf_natalensis",-4.96064194774447,0,-4.96064194774447,0,0,"0"
"3","Abudefduf_troschelii",-4.96064194774447,0,-4.96064194774447,0,0,"0"
"4","Acanthaphritis_unoorum",-3.37789780534721,0,-3.37789780534721,0,0,"0"
"5","Acanthocepola_abbreviata",-3.68766535992218,0,-3.68766535992218,0,0,"0"
"6","Acanthogobius_luridus",-2.08850352560417,0,-2.08850352560417,0,0,"0"
"7","Acanthopagrus_randalli",-1.79190192926714,0,-1.79190192926714,0,0,"0"
"8","Acanthopsetta_nadeshnyi",-5.04341657903745,0,-5.04341657903745,0,0,"0"
"9","Acanthurus_albimento",-5.15378246712343,0,-5.15378246712343,0,0,"0"
"10","Acanthurus_blochii",-5.15378246712343,0,-5.15378246712343,0,0,"0"
"11","Acanthurus_coeruleus",-5.15378246712343,0,-5.15378246712343,0,0,"0"
"12","Acanthurus_japonicus",-5.15378246712343,0,-5.15378246712343,0,0,"0"
"13","Acanthurus_mata",-5.15378246712343,0,-5.15378246712343,0,0,"0"
"14","Acanthurus_nubilus",-5.15378246712343,0,-5.15378246712343,0,0,"0"
"15","Acentrophryne_longidens",2.05395677792877,1,2.05395677792877,0,0,"0"
"16","Acromycter_alcocki",-2.63457568960541,0,-2.63457568960541,0,0,"0"
"17","Acropoma_boholensis",1.04927292902956,1,1.04927292902956,0,0,"0"
"18","Acyrtops_amplicirrus",-4.21953217209953,0,-4.21953217209953,0,0,"0"
"19","Agrostichthys_parkeri",1.43936775577553,1,1.43936775577553,0,0,"0"
"20","Akarotaxis_nudiceps",-4.57814431308729,0,-4.57814431308729,0,0,"0"
"21","Alabes_dorsalis",-4.45732217881176,0,-4.45732217881176,0,0,"0"
"22","Alepes_djedaba",-0.56664462813466,0,-0.56664462813466,0,0,"0"
"23","Alepocephalus_longiceps",-2.2725800280137,0,-2.2725800280137,0,0,"0"
"24","Alepocephalus_planifrons",-2.2725800280137,0,-2.2725800280137,0,0,"0"
"25","Allips_concolor",-4.27259031434429,0,-4.27259031434429,0,0,"0"
"26","Alloblennius_parvus",-3.97849768792316,0,-3.97849768792316,0,0,"0"
"27","Altrichthys_azurelineatus",-4.71920272724828,0,-4.71920272724828,0,0,"0"
"28","Amblyeleotris_bleekeri",-4.76174443563563,0,-4.76174443563563,0,0,"0"
"29","Amblyeleotris_macronema",-4.76174443563563,0,-4.76174443563563,0,0,"0"
"30","Amblyglyphidodon_flavilatus",-4.82879071952028,0,-4.82879071952028,0,0,"0"
"31","Amblyglyphidodon_flavopurpureus",-4.82879071952028,0,-4.82879071952028,0,0,"0"
"32","Amblyglyphidodon_ternatensis",-4.82879071952028,0,-4.82879071952028,0,0,"0"
"33","Amblygobius_semicinctus",-4.4547399236393,0,-4.4547399236393,0,0,"0"
"34","Amblygobius_sewardii",-4.4547399236393,0,-4.4547399236393,0,0,"0"
"35","Amblypomacentrus_kuiteri",-4.73910051360606,0,-4.73910051360606,0,0,"0"
"36","Amblyraja_radiata",-4.36862232134664,0,-4.36862232134664,0,0,"0"
"37","Amblyrhynchote_honckenii",-3.55960944736147,0,-3.55960944736147,0,0,"0"
"38","Amblyrhynchotes_rufopunctatus",-3.55960944736147,0,-3.55960944736147,0,0,"0"
"39","Ammodytoides_idai",-1.78126495835618,0,-1.78126495835618,0,0,"0"
"40","Ammotretis_brevipinnis",-4.95833750646607,0,-4.95833750646607,0,0,"0"
"41","Ammotretis_lituratus",-4.95833750646607,0,-4.95833750646607,0,0,"0"
"42","Amphiprion_clarkii",-5.07845841643139,0,-5.07845841643139,0,0,"0"
"43","Amphiprion_pacificus",-5.07845841643139,0,-5.07845841643139,0,0,"0"
"44","Amphiprion_sandaracinos",-5.07845841643139,0,-5.07845841643139,0,0,"0"
"45","Anacanthobythites_tasmaniensis",-2.42439247883073,0,-2.42439247883073,0,0,"0"
"46","Anampses_chrysocephalus",-4.38012327217517,0,-4.38012327217517,0,0,"0"
"47","Anampses_elegans",-4.38012327217517,0,-4.38012327217517,0,0,"0"
"48","Anarchias_euryurus",-4.93711931239704,0,-4.93711931239704,0,0,"0"
"49","Anarchias_galapagensis",-4.93711931239704,0,-4.93711931239704,0,0,"0"
"50","Anarchias_schultzi",-4.93711931239704,0,-4.93711931239704,0,0,"0"
"51","Anarhichas_orientalis",-4.41157658182864,0,-4.41157658182864,0,0,"0"
"52","Anchichoerops_natalensis",-4.08722089887188,0,-4.08722089887188,0,0,"0"
"53","Anchoa_choerostoma",3.36419989275829,1,3.36419989275829,1,1,"Anchoa_choerostoma"
"54","Anchoa_walkeri",3.36419989275829,1,3.36419989275829,1,2,"Anchoa_walkeri"
"55","Andamia_pacifica",-4.08304852751541,0,-4.08304852751541,0,0,"0"
"56","Anisotremus_virginicus",-4.09609676377889,0,-4.09609676377889,0,0,"0"
"57","Antennarius_commerson",-3.49943783479522,0,-3.49943783479522,0,0,"0"
"58","Antennarius_pictus",-3.49943783479522,0,-3.49943783479522,0,0,"0"
"59","Antigonia_combatia",-4.40432424844095,0,-4.40432424844095,0,0,"0"
"60","Antigonia_saya",-4.40432424844095,0,-4.40432424844095,0,0,"0"
"61","Apagesoma_delosommatum",-3.12860432023072,1,-3.12860432023072,1,3,"Apagesoma_delosommatum"
"62","Aphanopus_capricornis",-2.15942522035446,0,-2.15942522035446,0,0,"0"
"63","Aphyonus_gelatinosus",-2.42439247883073,0,-2.42439247883073,0,0,"0"
"64","Apistus_carinatus",-4.24346703166071,0,-4.24346703166071,0,0,"0"
"65","Apletodon_incognitus",-2.9199552883291,0,-2.9199552883291,0,0,"0"
"66","Aploactis_aspera",-4.93447750249421,0,-4.93447750249421,0,0,"0"
"67","Aploactisoma_milesii",-4.93447750249421,0,-4.93447750249421,0,0,"0"
"68","Aplodactylus_etheridgii",-3.31199863611464,0,-3.31199863611464,0,0,"0"
"69","Aplodactylus_punctatus",-3.31199863611464,0,-3.31199863611464,0,0,"0"
"70","Apodichthys_fucorum",-4.53895727482618,0,-4.53895727482618,0,0,"0"
"71","Apogon_dhofar",-2.93608864234516,0,-2.93608864234516,0,0,"0"
"72","Apogon_gouldi",-2.93608864234516,0,-2.93608864234516,0,0,"0"
"73","Apogonichthyoides_cantoris",-2.18804289077495,0,-2.18804289077495,0,0,"0"
"74","Apogonichthyoides_erdmanni",-2.18804289077495,0,-2.18804289077495,0,0,"0"
"75","Apogonichthyoides_opercularis",-2.18804289077495,0,-2.18804289077495,0,0,"0"
"76","Apogon_imberbis",-2.93608864234516,0,-2.93608864234516,0,0,"0"
"77","Aprion_virescens",-4.66205642393601,0,-4.66205642393601,0,0,"0"
"78","Apristurus_internatus",-1.44119636994924,1,-1.44119636994924,1,4,"Apristurus_internatus"
"79","Apristurus_japonicus",-1.44119636994924,0,-1.44119636994924,0,0,"0"
"80","Apristurus_kampae",-1.44119636994924,0,-1.44119636994924,0,0,"0"
"81","Apristurus_longicephalus",-1.44119636994924,0,-1.44119636994924,0,0,"0"
"82","Aprognathodon_platyventris",-4.27259031434429,0,-4.27259031434429,0,0,"0"
"83","Apsilus_dentatus",-4.6839021717071,0,-4.6839021717071,0,0,"0"
"84","Apterichtus_gracilis",-4.68658192557399,0,-4.68658192557399,0,0,"0"
"85","Apterichtus_monodi",-4.68658192557399,0,-4.68658192557399,0,0,"0"
"86","Aracana_aurita",-3.5768665348689,0,-3.5768665348689,0,0,"0"
"87","Aracana_ornata",-3.5768665348689,0,-3.5768665348689,0,0,"0"
"88","Arcos_erythrops",-4.31061187977518,0,-4.31061187977518,0,0,"0"
"89","Arctozenus_risso",2.67778613651192,1,2.67778613651192,0,0,"0"
"90","Argentina_sphyraena",-1.19228175119896,0,-1.19228175119896,0,0,"0"
"91","Argyripnus_iridescens",-0.491968105856643,1,-0.491968105856643,0,0,"0"
"92","Argyrozona_argyrozona",-3.4179605041359,0,-3.4179605041359,0,0,"0"
"93","Ariosoma_sokotranum",-4.60202687171483,0,-4.60202687171483,0,0,"0"
"94","Arnoglossus_aspilos",-5.81774926557743,0,-5.81774926557743,0,0,"0"
"95","Arnoglossus_brunneus",-5.81774926557743,0,-5.81774926557743,0,0,"0"
"96","Arnoglossus_micrommatus",-5.81774926557743,0,-5.81774926557743,0,0,"0"
"97","Arnoglossus_waitei",-5.81774926557743,0,-5.81774926557743,0,0,"0"
"98","Arothron_carduus",-3.02770436435179,0,-3.02770436435179,0,0,"0"
"99","Arotrolepis_filicauda",-4.33930336027081,0,-4.33930336027081,0,0,"0"
"100","Arripis_xylabion",0.516103944317852,1,0.516103944317852,0,0,"0"
"101","Artediellichthys_nigripinnis",-5.03134312175936,0,-5.03134312175936,0,0,"0"
"102","Aseraggodes_auroculus",-5.17219048725847,0,-5.17219048725847,0,0,"0"
"103","Aseraggodes_borehami",-5.17219048725847,0,-5.17219048725847,0,0,"0"
"104","Aseraggodes_kruppi",-5.17219048725847,0,-5.17219048725847,0,0,"0"
"105","Aseraggodes_lateralis",-5.17219048725847,0,-5.17219048725847,0,0,"0"
