"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Acanthaluteres_vittiger",-2.01890103381201,-2.32853363115474,-2.01890103381201,0,0,"0"
"2","Acanthurus_coeruleus",-1.92667262694871,-2.01552659164927,-1.92667262694871,0,0,"0"
"3","Acreichthys_tomentosus",-2.02533163467747,-2.10353036682063,-2.02533163467747,0,0,"0"
"4","Alectrias_benjamini",-1.06434674024505,-1.46829601831537,-1.06434674024505,0,0,"0"
"5","Alepisaurus_ferox",-0.255959856595475,-0.0972951128879529,-0.255959856595475,0,0,"0"
"6","Alepocephalus_bairdii",-0.631593610731723,-0.456596909863741,-0.631593610731723,0,0,"0"
"7","Alloclinus_holderi",-0.915273189819398,-0.790295788009519,-0.915273189819398,0,0,"0"
"8","Amblyglyphidodon_curacao",-1.69533137567171,-1.64985269800658,-1.69533137567171,0,0,"0"
"9","Amphiprion_melanopus",-1.47306516800027,-1.48870789447383,-1.47306516800027,0,0,"0"
"10","Amphiprion_nigripes",-1.47306516800027,-1.2842791937524,-1.47306516800027,0,0,"0"
"11","Anarhichas_lupus",-0.688292138483857,-0.90428533922289,-0.688292138483857,0,0,"0"
"12","Anchoa_colonensis",-0.402074322141109,-0.353655701532827,-0.402074322141109,0,0,"0"
"13","Anisotremus_davidsonii",-1.39752129619912,-1.53997714728342,-1.39752129619912,0,0,"0"
"14","Anisotremus_surinamensis",-1.39752129619912,-1.31101426665179,-1.39752129619912,0,0,"0"
"15","Anoplogaster_cornuta",-0.717870338165755,-0.353823506678651,-0.717870338165755,0,0,"0"
"16","Antennatus_tuberosus",-0.747516220791632,-0.670572901369739,-0.747516220791632,0,0,"0"
"17","Aplodactylus_arctidens",-1.58931922787342,-1.82873526508017,-1.58931922787342,0,0,"0"
"18","Aplodactylus_punctatus",-1.58931922787342,-1.87075322515031,-1.58931922787342,0,0,"0"
"19","Apogon_guadalupensis",-0.59166844352565,-0.617192900022357,-0.59166844352565,0,0,"0"
"20","Apogon_pacificus",-0.59166844352565,-0.540983370143094,-0.59166844352565,0,0,"0"
"21","Apsilus_dentatus",-0.970847426046429,-1.08504751680697,-0.970847426046429,0,0,"0"
"22","Argyropelecus_sladeni",-0.496076928236476,-0.543491877894309,-0.496076928236476,0,0,"0"
"23","Arnoglossus_thori",-0.987610828469616,-0.848594984337053,-0.987610828469616,0,0,"0"
"24","Artedidraco_shackletoni",-0.822733059048215,-0.690817557819728,-0.822733059048215,0,0,"0"
"25","Artedius_corallinus",-1.0171987073703,-0.575627045062091,-1.0171987073703,0,0,"0"
"26","Artedius_lateralis",-1.0171987073703,-0.592525367654975,-1.0171987073703,0,0,"0"
"27","Asterropteryx_semipunctata",-1.1043113379264,-1.17280546391662,-1.1043113379264,0,0,"0"
"28","Bairdiella_armata",-0.9505630186306,-0.989880342246228,-0.9505630186306,0,0,"0"
"29","Bajacalifornia_burragei",-0.635466069816101,-0.467315716324064,-0.635466069816101,0,0,"0"
"30","Balistes_capriscus",-1.78660319045936,-1.98879947804279,-1.78660319045936,0,0,"0"
"31","Bathygobius_cocosensis",-1.02189293423048,-1.01095135102293,-1.02189293423048,0,0,"0"
"32","Bathygobius_curacao",-1.02189293423048,-1.10619027103661,-1.02189293423048,0,0,"0"
"33","Bathygobius_lacertus",-1.02189293423048,-0.87044943466437,-1.02189293423048,0,0,"0"
"34","Bathygobius_ramosus",-1.02189293423048,-1.101777667783,-1.02189293423048,0,0,"0"
"35","Bathypterois_phenax",-0.287436522364671,-0.550788044085779,-0.287436522364671,0,0,"0"
"36","Bathysaurus_ferox",-0.315504554788236,-0.00155703992040091,-0.315504554788236,0,0,"0"
"37","Borostomias_antarcticus",-0.251912615577996,-0.204816507280572,-0.251912615577996,0,0,"0"
"38","Brachysomophis_crocodilinus",-0.801851580427174,-0.361656292535406,-0.801851580427174,1,1,"Brachysomophis_crocodilinus"
"39","Branchiostegus_japonicus",-0.971119927583635,-0.863792137833296,-0.971119927583635,0,0,"0"
"40","Bryozoichthys_marjorius",-1.11284009037787,-1.13039861967542,-1.11284009037787,0,0,"0"
"41","Bryx_randalli",-2.00959583468169,-2.13393551892695,-2.00959583468169,0,0,"0"
"42","Canthigaster_papua",-1.87866007531456,-1.85130704525999,-1.87866007531456,0,0,"0"
"43","Canthigaster_valentini",-1.87866007531456,-2.01150102453492,-1.87866007531456,0,0,"0"
"44","Caranx_sexfasciatus",-0.951523239521246,-0.816070596193301,-0.951523239521246,0,0,"0"
"45","Centropomus_ensiferus",-0.521888133674148,-0.608508648165458,-0.521888133674148,0,0,"0"
"46","Cephalopholis_formosa",-0.625808083242984,-0.744844284876537,-0.625808083242984,0,0,"0"
"47","Cephalopholis_polleni",-0.625808083242984,-0.689964425352809,-0.625808083242984,0,0,"0"
"48","Cepola_schlegelii",-1.05735756309379,-0.851776391741802,-1.05735756309379,0,0,"0"
"49","Cercamia_eremia",-0.626440296272414,-0.385335169354201,-0.626440296272414,0,0,"0"
"50","Cetostoma_regani",-0.65713591730997,-0.03523931340531,-0.65713591730997,1,2,"Cetostoma_regani"
"51","Chaetodipterus_faber",-1.58528910523677,-1.78995964217829,-1.58528910523677,0,0,"0"
"52","Chaetodon_baronessa",-1.549898809979,-1.84978583734135,-1.549898809979,0,0,"0"
"53","Chaetodon_dolosus",-1.549898809979,-1.89869885679861,-1.549898809979,0,0,"0"
"54","Chaetodon_guentheri",-1.549898809979,-1.67897395855225,-1.549898809979,0,0,"0"
"55","Chaetodon_meyeri",-1.549898809979,-1.40463677164306,-1.549898809979,0,0,"0"
"56","Champsocephalus_esox",-0.279102491416784,-0.286241938828542,-0.279102491416784,0,0,"0"
"57","Cheilio_inermis",-1.16169019948605,-0.750257505635946,-1.16169019948605,0,0,"0"
"58","Cheilopogon_cyanopterus",-1.05614742269252,-1.06864695446004,-1.05614742269252,0,0,"0"
"59","Cheilopogon_spilonotopterus",-1.05614742269252,-1.08861181596261,-1.05614742269252,0,0,"0"
"60","Cheilopogon_spilopterus",-1.05614742269252,-1.0624010642792,-1.05614742269252,0,0,"0"
"61","Chelidonichthys_kumu",-0.831799445556558,-0.803938365658723,-0.831799445556558,0,0,"0"
"62","Chelmon_rostratus",-1.13063020829029,-0.46242126550356,-1.13063020829029,1,3,"Chelmon_rostratus"
"63","Chionodraco_hamatus",-0.260665950989353,-0.109492571090718,-0.260665950989353,0,0,"0"
"64","Chlorophthalmus_albatrossis",-0.647977947802634,-0.732878866592168,-0.647977947802634,0,0,"0"
"65","Chlorophthalmus_nigromarginatus",-0.647977947802634,-0.707239065300384,-0.647977947802634,0,0,"0"
"66","Chloroscombrus_chrysurus",-1.08101403851867,-1.16241384488601,-1.08101403851867,0,0,"0"
"67","Chlorurus_oedema",-1.47013121526809,-1.78608641707859,-1.47013121526809,0,0,"0"
"68","Choerodon_anchorago",-1.18860577131106,-1.06833083600206,-1.18860577131106,0,0,"0"
"69","Chromis_chromis",-1.47612602137559,-1.59333531914456,-1.47612602137559,0,0,"0"
"70","Chromis_chrysura",-1.47612602137559,-1.56589867793069,-1.47612602137559,0,0,"0"
"71","Chrysiptera_springeri",-1.47879059686467,-1.36946807369082,-1.47879059686467,0,0,"0"
"72","Citharus_linguatula",-0.8947328860821,-0.545660087926055,-0.8947328860821,0,0,"0"
"73","Clinocottus_embryum",-0.975319395095883,-1.52349537034131,-0.975319395095883,1,4,"Clinocottus_embryum"
"74","Cociella_heemstrai",-0.479381775148129,-0.408914727016239,-0.479381775148129,0,0,"0"
"75","Conger_oceanicus",-0.879646556405956,-0.737094633110538,-0.879646556405956,0,0,"0"
"76","Coradion_melanopus",-1.27087879497188,-1.88666318096193,-1.27087879497188,1,5,"Coradion_melanopus"
"77","Coryphaenoides_armatus",-1.06509960516462,-1.0878246290441,-1.06509960516462,0,0,"0"
"78","Coryphaenoides_leptolepis",-1.06509960516462,-0.896085571969522,-1.06509960516462,0,0,"0"
"79","Coryphopterus_dicrus",-0.974104068823225,-1.11280266551549,-0.974104068823225,0,0,"0"
"80","Coryphopterus_eidolon",-0.974104068823225,-1.04286284671537,-0.974104068823225,0,0,"0"
"81","Cottoperca_gobio",-0.91417946722078,-0.422212285180745,-0.91417946722078,1,6,"Cottoperca_gobio"
"82","Cryptocentrus_inexplicatus",-0.874317909946191,-0.675584277006805,-0.874317909946191,0,0,"0"
"83","Cryptocentrus_nigrocellatus",-0.874317909946191,-1.1783558270499,-0.874317909946191,0,0,"0"
"84","Ctenogobius_sagittula",-0.967979865240699,-1.10381642133779,-0.967979865240699,0,0,"0"
"85","Cyclopsetta_chittendeni",-1.13359109087434,-0.702295025104081,-1.13359109087434,0,0,"0"
"86","Cyclothone_microdon",-0.0385830737786211,-0.0287882342743974,-0.0385830737786211,0,0,"0"
"87","Cymolutes_praetextatus",-1.02385873021692,-0.913574430149821,-1.02385873021692,0,0,"0"
"88","Cynoglossus_canariensis",-1.27119455336784,-1.65681409174827,-1.27119455336784,0,0,"0"
"89","Cynoscion_leiarchus",-0.677665314892785,-0.643340963521168,-0.677665314892785,0,0,"0"
"90","Cynoscion_phoxocephalus",-0.677665314892785,-0.546649362669081,-0.677665314892785,0,0,"0"
"91","Dascyllus_marginatus",-1.60855450953198,-1.66175736950715,-1.60855450953198,0,0,"0"
"92","Decapterus_kurroides",-0.999770641010701,-0.955907766897033,-0.999770641010701,0,0,"0"
"93","Decapterus_macarellus",-0.999770641010701,-1.15376373092413,-0.999770641010701,0,0,"0"
"94","Decapterus_russelli",-0.999770641010701,-0.869523725623356,-0.999770641010701,0,0,"0"
"95","Desmodema_polystictum",-1.01901773395122,-1.20747322040631,-1.01901773395122,0,0,"0"
"96","Diancistrus_fuscus",-0.864076145799087,-0.782225992139343,-0.864076145799087,0,0,"0"
"97","Dicrolene_introniger",-0.809257322063702,-0.793913089849724,-0.809257322063702,0,0,"0"
"98","Diplodus_vulgaris",-1.34650779567122,-1.29074474306588,-1.34650779567122,0,0,"0"
"99","Drepane_longimana",-1.36697576606624,-1.31085257842496,-1.36697576606624,0,0,"0"
"100","Drepane_punctata",-1.36697576606624,-1.42258354789442,-1.36697576606624,0,0,"0"
"101","Echidna_nebulosa",-0.746594182522294,-0.942959117917247,-0.746594182522294,0,0,"0"
"102","Ecsenius_bicolor",-1.40126394593512,-1.84044947514924,-1.40126394593512,1,7,"Ecsenius_bicolor"
"103","Elacatinus_louisae",-0.962493925448478,-1.21190523924993,-0.962493925448478,0,0,"0"
"104","Eleginus_nawaga",-0.948472670471166,-0.842134061670717,-0.948472670471166,0,0,"0"
"105","Elops_machnata",-0.552059141746799,-0.545465026487423,-0.552059141746799,0,0,"0"
"106","Enchelynassa_canina",-0.717637244489377,-0.728253669213861,-0.717637244489377,0,0,"0"
"107","Epinephelus_fasciatomaculosus",-0.644980127678809,-0.736922681643647,-0.644980127678809,0,0,"0"
"108","Epinephelus_lanceolatus",-0.644980127678809,-0.649437947625197,-0.644980127678809,0,0,"0"
"109","Epinephelus_marginatus",-0.644980127678809,-0.645796635756577,-0.644980127678809,0,0,"0"
