"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Acanthochromis_polyacanthus",-0.437196147968881,0.0634963115591275,-0.437196147968881,0,0,"0"
"2","Acanthogobius_flavimanus",0.0210040178915155,-1.15836229307388,0.0210040178915155,0,0,"0"
"3","Acanthopagrus_berda",-1.2455890424311,-1.2413285908697,-1.2455890424311,0,0,"0"
"4","Acanthopagrus_butcheri",-1.2455890424311,-1.53255326310464,-1.2455890424311,0,0,"0"
"5","Acanthurus_nigricans",-0.525277658813933,-0.706570200892086,-0.525277658813933,0,0,"0"
"6","Acanthurus_pyroferus",-0.525277658813933,-0.862749964946125,-0.525277658813933,0,0,"0"
"7","Acanthurus_triostegus",-0.525277658813933,-0.076161360965564,-0.525277658813933,0,0,"0"
"8","Alepocephalus_bairdii",-1.28450383818018,-2.55207261964786,-1.28450383818018,0,0,"0"
"9","Ammodytes_americanus",-0.719306606150475,-1.42711635564015,-0.719306606150475,0,0,"0"
"10","Ammodytes_marinus",-0.719306606150475,-0.615517381610699,-0.719306606150475,0,0,"0"
"11","Amphiprion_clarkii",-0.69094875554165,-0.889162064485903,-0.69094875554165,0,0,"0"
"12","Aphia_minuta",0.108631452093435,0.43439847208552,0.108631452093435,0,0,"0"
"13","Arripis_trutta",-0.695583007286935,-0.970502755294423,-0.695583007286935,0,0,"0"
"14","Atropus_atropos",-0.640651566460171,-0.25489224962879,-0.640651566460171,0,0,"0"
"15","Austroglossus_pectoralis",-1.78885010718849,-1.0300194972025,-1.78885010718849,0,0,"0"
"16","Bathyraja_lindbergi",-2.73024662512766,-3.2188758248682,-2.73024662512766,1,1,"Bathyraja_lindbergi"
"17","Bathyraja_taranetzi",-2.73024662512766,-1.89711998488588,-2.73024662512766,1,2,"Bathyraja_taranetzi"
"18","Belone_euxini",-0.920453839442728,-1.12423783630708,-0.920453839442728,0,0,"0"
"19","Beringraja_stellulata",-1.84553475296405,-2.81341071676004,-1.84553475296405,0,0,"0"
"20","Beryx_splendens",-2.02151152571534,-1.87455255572824,-2.02151152571534,0,0,"0"
"21","Bodianus_frenchii",-0.976537786498489,-2.52572864430826,-0.976537786498489,1,3,"Bodianus_frenchii"
"22","Boleophthalmus_pectinirostris",-0.0743270543333848,0.0673470734596102,-0.0743270543333848,0,0,"0"
"23","Boreogadus_saida",-1.2562890789348,-1.16056952879526,-1.2562890789348,0,0,"0"
"24","Bostrychus_africanus",-0.345078301456696,0.298343783877145,-0.345078301456696,0,0,"0"
"25","Calamus_brachysomus",-1.34769842756699,-1.61078882450506,-1.34769842756699,0,0,"0"
"26","Calamus_proridens",-1.34769842756699,-1.3704210119636,-1.34769842756699,0,0,"0"
"27","Carangoides_malabaricus",-0.816409661434681,-0.198450938723838,-0.816409661434681,0,0,"0"
"28","Caranx_bucculentus",-1.27096911159424,-1.18744350237473,-1.27096911159424,0,0,"0"
"29","Caranx_caninus",-1.27096911159424,-1.7111015662106,-1.27096911159424,0,0,"0"
"30","Caranx_crysos",-1.27096911159424,-0.861565832184909,-1.27096911159424,0,0,"0"
"31","Caranx_hippos",-1.27096911159424,-0.693147180559945,-1.27096911159424,0,0,"0"
"32","Carcharhinus_brevipinna",-1.94333029649571,-1.55589714550607,-1.94333029649571,0,0,"0"
"33","Carcharhinus_galapagensis",-1.94333029649571,-1.09986807684012,-1.94333029649571,0,0,"0"
"34","Carcharhinus_sorrah",-1.94333029649571,-0.464949754943057,-1.94333029649571,1,4,"Carcharhinus_sorrah"
"35","Carlarius_latiscutatus",-1.42849133499345,-1.87080267656851,-1.42849133499345,0,0,"0"
"36","Centroberyx_affinis",-2.26727587637023,-1.652171455021,-2.26727587637023,0,0,"0"
"37","Centroscymnus_coelolepis",-3.44773100693829,-4.96184512992682,-3.44773100693829,1,5,"Centroscymnus_coelolepis"
"38","Cetoscarus_ocellatus",-0.880615100899607,-1.36649173382371,-0.880615100899607,0,0,"0"
"39","Chaetodon_fasciatus",0.0798490547660676,-0.0382212128201977,0.0798490547660676,0,0,"0"
"40","Chanos_chanos",-0.765215354186101,0.0319830458530507,-0.765215354186101,0,0,"0"
"41","Chelidonichthys_cuculus",-1.08459328097849,-0.887425651477983,-1.08459328097849,0,0,"0"
"42","Chelidonichthys_lastoviza",-1.08459328097849,-0.908663078346971,-1.08459328097849,0,0,"0"
"43","Chlorophthalmus_agassizi",-0.686156173269628,-1.42711635564015,-0.686156173269628,0,0,"0"
"44","Chromis_chromis",0.286720795322011,-1.42711635564015,0.286720795322011,1,6,"Chromis_chromis"
"45","Chrysoblephus_laticeps",-1.32995999289187,-2.01365380114183,-1.32995999289187,0,0,"0"
"46","Coilia_brachygnathus",-0.446239030167606,-1.27296567581289,-0.446239030167606,0,0,"0"
"47","Coilia_nasus",-0.446239030167606,-0.741077714317495,-0.446239030167606,0,0,"0"
"48","Conger_conger",-1.31385231575177,-2.16282315061889,-1.31385231575177,0,0,"0"
"49","Crystallogobius_linearis",0.108631452093435,-0.0304592074847086,0.108631452093435,0,0,"0"
"50","Ctenolabrus_rupestris",-0.955502160797893,-1.08273893951182,-0.955502160797893,0,0,"0"
"51","Cynoscion_leiarchus",-1.26590967053252,-1.04982212449868,-1.26590967053252,0,0,"0"
"52","Cynoscion_striatus",-1.26590967053252,-1.43166836700821,-1.26590967053252,0,0,"0"
"53","Dactyloptena_orientalis",-0.950501448527229,0.405465108108164,-0.950501448527229,0,0,"0"
"54","Dasyatis_chrysonota",-2.22633237092927,-2.09964424899736,-2.22633237092927,0,0,"0"
"55","Diaphus_watasei",0.249860590215982,-0.219097580636754,0.249860590215982,0,0,"0"
"56","Diplodus_cervinus",-1.37885118857262,-1.95474909772252,-1.37885118857262,0,0,"0"
"57","Dussumieria_albulina",-0.497845310227176,0.0165293019512105,-0.497845310227176,0,0,"0"
"58","Electrona_carlsbergi",-0.285674750651782,-0.59783700075562,-0.285674750651782,0,0,"0"
"59","Enchelyopus_cimbrius",-0.776020009115994,-1.35878620370329,-0.776020009115994,0,0,"0"
"60","Encrasicholina_punctifer",0.474190164838484,0.386622020306684,0.474190164838484,1,7,"Encrasicholina_punctifer"
"61","Engraulis_encrasicolus",-0.45060843450772,-0.480187114896419,-0.45060843450772,0,0,"0"
"62","Epinephelus_adscensionis",-1.57647585085112,-1.67220023417042,-1.57647585085112,0,0,"0"
"63","Epinephelus_drummondhayi",-1.57647585085112,-2.24879159339265,-1.57647585085112,0,0,"0"
"64","Epinephelus_hexagonatus",-1.57647585085112,-0.0943106794712413,-1.57647585085112,1,8,"Epinephelus_hexagonatus"
"65","Epinephelus_labriformis",-1.57647585085112,-1.3483565217795,-1.57647585085112,0,0,"0"
"66","Epinephelus_quoyanus",-1.57647585085112,-0.301105092783922,-1.57647585085112,0,0,"0"
"67","Equulites_lineolatus",-0.33180591869758,0.534821129322206,-0.33180591869758,0,0,"0"
"68","Equulites_popei",-0.33180591869758,0.122217632724249,-0.33180591869758,0,0,"0"
"69","Erythrocles_schlegelii",-1.1182940574086,-1.20397280432594,-1.1182940574086,0,0,"0"
"70","Etrumeus_micropus",-0.327253576462452,0.321358598811165,-0.327253576462452,0,0,"0"
"71","Evermannella_melanoderma",-0.830404914126812,-0.49429632181478,-0.830404914126812,0,0,"0"
"72","Facciolella_gilbertii",-1.35369325322253,-0.916290731874155,-1.35369325322253,0,0,"0"
"73","Favonigobius_lateralis",0.159365531654632,0.989541193613748,0.159365531654632,0,0,"0"
"74","Filimanus_heptadactyla",-0.835790901985532,-0.3147107448397,-0.835790901985532,0,0,"0"
"75","Gaidropsarus_vulgaris",-0.489016816811369,-0.7339691750802,-0.489016816811369,0,0,"0"
"76","Gazza_minuta",-0.0426288357467654,-0.0161293819298836,-0.0426288357467654,0,0,"0"
"77","Gerlachea_australis",-1.63772208702049,-1.39971738145203,-1.63772208702049,0,0,"0"
"78","Gymnocanthus_galeatus",-1.55517348864638,-2.20727491318972,-1.55517348864638,0,0,"0"
"79","Gymnocanthus_tricuspis",-1.55517348864638,-1.02026332225713,-1.55517348864638,0,0,"0"
"80","Haemulon_aurolineatum",-1.53547448957286,-1.33744977666256,-1.53547448957286,0,0,"0"
"81","Halichoeres_radiatus",-0.567725693829381,-0.510825623765991,-0.567725693829381,0,0,"0"
"82","Halichoeres_scapularis",-0.567725693829381,-0.478035800943,-0.567725693829381,0,0,"0"
"83","Hemitrygon_akajei",-1.72857270191015,-2.30258509299405,-1.72857270191015,0,0,"0"
"84","Hippoglossoides_platessoides",-1.94948378734115,-2.12347381183034,-1.94948378734115,0,0,"0"
"85","Hippoglossoides_robustus",-1.94948378734115,-1.43078976100645,-1.94948378734115,0,0,"0"
"86","Holocentrus_adscensionis",-0.327013554819394,0.165514438477573,-0.327013554819394,0,0,"0"
"87","Hypoptychus_dybowskii",-1.32484082651431,1.34351733176383,-1.32484082651431,1,9,"Hypoptychus_dybowskii"
"88","Hyporhamphus_australis",-0.170617331242282,-0.116908418245723,-0.170617331242282,0,0,"0"
"89","Indonotothenia_cyanobrancha",-1.82238505001906,-1.68200860526894,-1.82238505001906,0,0,"0"
"90","Isopsetta_isolepis",-1.67934014922815,-1.17118298150295,-1.67934014922815,0,0,"0"
"91","Johnius_carutta",-0.291873906573965,-0.531240938716925,-0.291873906573965,0,0,"0"
"92","Knipowitschia_croatica",0.232273355982822,0.404130885095028,0.232273355982822,0,0,"0"
"93","Knipowitschia_milleri",0.232273355982822,0.404130885095028,0.232273355982822,0,0,"0"
"94","Lampanyctodes_hectoris",-0.253522924002299,-1.17118298150295,-0.253522924002299,0,0,"0"
"95","Larimichthys_polyactis",-1.08819064974953,-0.94551827080763,-1.08819064974953,0,0,"0"
"96","Larimus_breviceps",-0.864261491711692,-0.59783700075562,-0.864261491711692,0,0,"0"
"97","Larimus_fasciatus",-0.864261491711692,-0.0202027073175195,-0.864261491711692,0,0,"0"
"98","Leptoclinus_maculatus",-1.32994059719831,-1.89379219479321,-1.32994059719831,0,0,"0"
"99","Leptoscarus_vaigiensis",-0.856678628913642,0.509825123432407,-0.856678628913642,0,0,"0"
"100","Lethrinus_genivittatus",-1.03248698069084,-0.145025772050258,-1.03248698069084,0,0,"0"
"101","Lethrinus_nebulosus",-1.03248698069084,-1.40426256876729,-1.03248698069084,0,0,"0"
