"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Abalistes_stellatus",-0.857095131868313,-0.853705910057779,-0.857095131868313,0,0,"0"
"2","Abudefduf_septemfasciatus",-0.867805233664296,-0.774419677179464,-0.867805233664296,0,0,"0"
"3","Acanthemblemaria_paula",-0.750617933936609,-0.828775671852831,-0.750617933936609,0,0,"0"
"4","Acanthemblemaria_spinosa",-0.750617933936609,-0.705051921802653,-0.750617933936609,0,0,"0"
"5","Acanthochromis_polyacanthus",-0.851285475545801,-0.975568599884651,-0.851285475545801,0,0,"0"
"6","Acanthogobius_flavimanus",-0.548004302489876,-0.647326253909827,-0.548004302489876,0,0,"0"
"7","Acanthopagrus_berda",-0.921040601853799,-0.889601647550101,-0.921040601853799,0,0,"0"
"8","Acanthopagrus_butcheri",-0.921040601853799,-0.861197517162566,-0.921040601853799,0,0,"0"
"9","Acanthopagrus_pacificus",-0.921040601853799,-0.863683648525584,-0.921040601853799,0,0,"0"
"10","Acanthurus_nigricans",-0.951030828844423,-0.991315068381668,-0.951030828844423,0,0,"0"
"11","Acanthurus_pyroferus",-0.951030828844423,-0.907205397876141,-0.951030828844423,0,0,"0"
"12","Acanthurus_thompsoni",-0.951030828844423,-0.996128391840624,-0.951030828844423,0,0,"0"
"13","Acanthurus_triostegus",-0.951030828844423,-0.843427973298535,-0.951030828844423,0,0,"0"
"14","Aldrovandia_affinis",-1.0071464865972,-1.08341630938347,-1.0071464865972,0,0,"0"
"15","Aldrovandia_phalacra",-1.0071464865972,-1.14772272406283,-1.0071464865972,0,0,"0"
"16","Alectrias_alectrolophus",-0.93361454042852,-1.0079297731235,-0.93361454042852,0,0,"0"
"17","Alepocephalus_bairdii",-0.847822745965309,-0.833835480721184,-0.847822745965309,0,0,"0"
"18","Allomycterus_pilatus",-0.378991741879241,-0.358516576444497,-0.378991741879241,0,0,"0"
"19","Ammodytes_americanus",-0.94139835973211,-0.983259724801913,-0.94139835973211,0,0,"0"
"20","Amphiprion_clarkii",-0.797034294902956,-0.825348734864818,-0.797034294902956,0,0,"0"
"21","Anampses_geographicus",-0.92225281267981,-0.866095109518031,-0.92225281267981,0,0,"0"
"22","Anchoa_choerostoma",-1.06191446734375,-1.01966215169109,-1.06191446734375,0,0,"0"
"23","Anoplocapros_inermis",-0.539423791658896,-0.627616497686251,-0.539423791658896,0,0,"0"
"24","Antennarius_hispidus",-0.462231080971845,-0.401513737290452,-0.462231080971845,0,0,"0"
"25","Aphareus_furca",-0.851282982472062,-0.830329407568469,-0.851282982472062,0,0,"0"
"26","Aphia_minuta",-0.625146141994968,-0.838876003031683,-0.625146141994968,0,0,"0"
"27","Aplodactylus_arctidens",-0.812337092713983,-0.742497434428438,-0.812337092713983,0,0,"0"
"28","Apogon_aurolineatus",-0.717145931582328,-0.769842212492322,-0.717145931582328,0,0,"0"
"29","Apogonichthyoides_taeniatus",-0.751841206161063,-0.772528533403343,-0.751841206161063,0,0,"0"
"30","Apogon_maculatus",-0.717145931582328,-0.704891058668626,-0.717145931582328,0,0,"0"
"31","Apogon_phenax",-0.717145931582328,-0.735655713756523,-0.717145931582328,0,0,"0"
"32","Arctoscopus_japonicus",-0.707900379746339,-0.90257775821362,-0.707900379746339,0,0,"0"
"33","Ariosoma_meeki",-1.1131786733735,-0.986295988443307,-1.1131786733735,0,0,"0"
"34","Arius_arius",-0.547420277743753,-0.479891062534348,-0.547420277743753,0,0,"0"
"35","Arius_venosus",-0.547420277743753,-0.545257891984935,-0.547420277743753,0,0,"0"
"36","Arothron_nigropunctatus",-0.405478636904166,-0.416537373275497,-0.405478636904166,0,0,"0"
"37","Arothron_stellatus",-0.405478636904166,-0.386845206542186,-0.405478636904166,0,0,"0"
"38","Arripis_trutta",-0.999745225481406,-0.820209794940824,-0.999745225481406,0,0,"0"
"39","Atherion_elymus",-0.869973465858123,-0.726715445036818,-0.869973465858123,0,0,"0"
"40","Austrolycus_laticinctus",-0.782035481079516,-0.752425716239235,-0.782035481079516,0,0,"0"
"41","Bathophilus_vaillanti",-0.993589117506549,-0.897428034448973,-0.993589117506549,0,0,"0"
"42","Bathygobius_ramosus",-0.497957298600466,-0.448216930269319,-0.497957298600466,0,0,"0"
