"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Abalistes_stellatus",-1.64861137545103,-2.30135416513409,-1.64861137545103,1,1,"Abalistes_stellatus"
"2","Abudefduf_septemfasciatus",-1.03618129811431,-0.980885042523256,-1.03618129811431,0,0,"0"
"3","Acanthemblemaria_paula",-1.42084974995758,-1.86401473830207,-1.42084974995758,0,0,"0"
"4","Acanthemblemaria_spinosa",-1.42084974995758,-1.36120618994426,-1.42084974995758,0,0,"0"
"5","Acanthochromis_polyacanthus",-1.10773545430554,-1.1073694756458,-1.10773545430554,0,0,"0"
"6","Acanthogobius_flavimanus",-1.28400136520267,-1.22983694491893,-1.28400136520267,0,0,"0"
"7","Acanthopagrus_berda",-1.25067933502275,-1.21090899824447,-1.25067933502275,0,0,"0"
"8","Acanthopagrus_butcheri",-1.25067933502275,-1.32535386042287,-1.25067933502275,0,0,"0"
"9","Acanthopagrus_pacificus",-1.25067933502275,-1.1924313827021,-1.25067933502275,0,0,"0"
"10","Acanthurus_nigricans",-1.38504463951126,-1.41491729456189,-1.38504463951126,0,0,"0"
"11","Acanthurus_pyroferus",-1.38504463951126,-1.29660746264741,-1.38504463951126,0,0,"0"
"12","Acanthurus_thompsoni",-1.38504463951126,-1.42392034805046,-1.38504463951126,0,0,"0"
"13","Acanthurus_triostegus",-1.38504463951126,-1.44430684823026,-1.38504463951126,0,0,"0"
"14","Aldrovandia_affinis",-2.95806580456138,-3.77976208174516,-2.95806580456138,1,2,"Aldrovandia_affinis"
"15","Aldrovandia_phalacra",-2.95806580456138,-3.24970140310802,-2.95806580456138,0,0,"0"
"16","Alectrias_alectrolophus",-1.72538881451655,-1.64261169873424,-1.72538881451655,0,0,"0"
"17","Alepocephalus_bairdii",-1.41958987077423,-1.4626923904176,-1.41958987077423,0,0,"0"
"18","Allomycterus_pilatus",-1.88560994292768,-1.79530402212549,-1.88560994292768,0,0,"0"
"19","Ammodytes_americanus",-1.97483228228092,-2.01462412690286,-1.97483228228092,0,0,"0"
"20","Amphiprion_clarkii",-1.04832397070855,-1.13267869160002,-1.04832397070855,0,0,"0"
"21","Anampses_geographicus",-0.997986107032984,-0.978743340950242,-0.997986107032984,0,0,"0"
"22","Anchoa_choerostoma",-1.10425596213276,-1.23930264804648,-1.10425596213276,0,0,"0"
"23","Anoplocapros_inermis",-1.71193554226083,-1.81174688393916,-1.71193554226083,0,0,"0"
"24","Antennarius_hispidus",-1.47333556230511,-1.49474445801832,-1.47333556230511,0,0,"0"
"25","Aphareus_furca",-1.25930172868005,-1.44326268550225,-1.25930172868005,0,0,"0"
"26","Aphia_minuta",-1.14473899728776,-1.2014628903446,-1.14473899728776,0,0,"0"
"27","Aplodactylus_arctidens",-1.1370736609893,-1.06858410548537,-1.1370736609893,0,0,"0"
"28","Apogon_aurolineatus",-1.14804713320109,-1.05861940920752,-1.14804713320109,0,0,"0"
"29","Apogonichthyoides_taeniatus",-1.04868415957047,-0.916982488735376,-1.04868415957047,0,0,"0"
"30","Apogon_maculatus",-1.14804713320109,-1.12692601604803,-1.14804713320109,0,0,"0"
"31","Apogon_phenax",-1.14804713320109,-1.14007581515,-1.14804713320109,0,0,"0"
"32","Arctoscopus_japonicus",-1.73358149537097,-1.69287322766077,-1.73358149537097,0,0,"0"
"33","Ariosoma_meeki",-2.77989376778232,-3.02091397249065,-2.77989376778232,0,0,"0"
"34","Arius_arius",-1.60742783642957,-1.65884087953524,-1.60742783642957,0,0,"0"
"35","Arius_venosus",-1.60742783642957,-1.49856733554047,-1.60742783642957,0,0,"0"
"36","Arothron_nigropunctatus",-1.30196503862587,-1.22345474575723,-1.30196503862587,0,0,"0"
"37","Arothron_stellatus",-1.30196503862587,-1.40148020171633,-1.30196503862587,0,0,"0"
"38","Arripis_trutta",-1.97015892554739,-1.4725889314418,-1.97015892554739,0,0,"0"
"39","Atherion_elymus",-1.48296064132805,-1.37712275314395,-1.48296064132805,0,0,"0"
"40","Austrolycus_laticinctus",-2.86755531416707,-2.86995259194295,-2.86755531416707,0,0,"0"
"41","Bathophilus_vaillanti",-2.07400988149923,-1.0725446674985,-2.07400988149923,1,3,"Bathophilus_vaillanti"
"42","Bathygobius_ramosus",-1.0699413446319,-1.07409008528,-1.0699413446319,0,0,"0"
"43","Bathymaster_caeruleofasciatus",-1.44009573468938,-1.32839499568989,-1.44009573468938,0,0,"0"
"44","Belone_svetovidovi",-1.92979704975689,-1.89964250704375,-1.92979704975689,0,0,"0"
"45","Beryx_splendens",-1.4803298408522,-1.45344332827179,-1.4803298408522,0,0,"0"
"46","Boleophthalmus_pectinirostris",-1.26514512038297,-1.24646937185463,-1.26514512038297,0,0,"0"
"47","Boreogadus_saida",-2.03434635857298,-2.26448467170771,-2.03434635857298,0,0,"0"
"48","Bothus_robinsi",-1.18440260103393,-1.27190055360685,-1.18440260103393,0,0,"0"
"49","Branchiostegus_wardi",-1.19028648019091,-1.10257765680389,-1.19028648019091,0,0,"0"
"50","Bregmaceros_cantori",-2.41720391453731,-1.47977143493705,-2.41720391453731,1,4,"Bregmaceros_cantori"
"51","Brotulotaenia_crassa",-2.79280460840699,-3.44921496865931,-2.79280460840699,1,5,"Brotulotaenia_crassa"
"52","Bryozoichthys_lysimus",-1.57904642674244,-1.53612826188277,-1.57904642674244,0,0,"0"
"53","Caesio_teres",-1.48784027973899,-1.74467665986727,-1.48784027973899,0,0,"0"
"54","Calamus_brachysomus",-1.40694390172437,-1.55168465097763,-1.40694390172437,0,0,"0"
"55","Callechelys_catostoma",-2.80049724005919,-2.74956293377079,-2.80049724005919,0,0,"0"
"56","Calloplesiops_altivelis",-1.04976503110237,-0.997065125865171,-1.04976503110237,0,0,"0"
"57","Canthigaster_figueiredoi",-1.02504763385936,-1.25082079816315,-1.02504763385936,0,0,"0"
"58","Carangoides_malabaricus",-2.12844088363257,-2.29501240084238,-2.12844088363257,0,0,"0"
"59","Caranx_bucculentus",-2.23834260826172,-2.24198312096634,-2.23834260826172,0,0,"0"
"60","Caranx_caninus",-2.23834260826172,-2.33589085919503,-2.23834260826172,0,0,"0"
"61","Caranx_crysos",-2.23834260826172,-2.28804768059595,-2.23834260826172,0,0,"0"
"62","Caranx_hippos",-2.23834260826172,-2.27796234243105,-2.23834260826172,0,0,"0"
"63","Careproctus_cypselurus",-2.94117520654941,-2.82895299248543,-2.94117520654941,1,6,"Careproctus_cypselurus"
"64","Centroberyx_affinis",-1.35805712974071,-1.26681521504208,-1.35805712974071,0,0,"0"
"65","Centropomus_poeyi",-1.1141825899941,-0.973623947665489,-1.1141825899941,0,0,"0"
"66","Centropyge_aurantonotus",-1.28464422104748,-1.3480704021078,-1.28464422104748,0,0,"0"
"67","Centropyge_ferrugata",-1.28464422104748,-1.35358110141989,-1.28464422104748,0,0,"0"
"68","Centropyge_venusta",-1.28464422104748,-1.33787979819449,-1.28464422104748,0,0,"0"
"69","Cepola_pauciradiata",-2.34881991331734,-2.43414576947499,-2.34881991331734,0,0,"0"
"70","Cepola_schlegelii",-2.34881991331734,-1.93713547437412,-2.34881991331734,0,0,"0"
"71","Chaetodon_auripes",-1.52287190748534,-1.53119139245816,-1.52287190748534,0,0,"0"
"72","Chaetodon_dolosus",-1.52287190748534,-1.58355237155646,-1.52287190748534,0,0,"0"
"73","Chaetodon_fasciatus",-1.52287190748534,-1.51323034349145,-1.52287190748534,0,0,"0"
"74","Chaetodon_fremblii",-1.52287190748534,-1.61118299105067,-1.52287190748534,0,0,"0"
"75","Chaetodon_hoefleri",-1.52287190748534,-1.40744899886072,-1.52287190748534,0,0,"0"
"76","Chaetodon_ocellicaudus",-1.52287190748534,-1.69771916068921,-1.52287190748534,0,0,"0"
"77","Chaetodon_octofasciatus",-1.52287190748534,-1.51702635644918,-1.52287190748534,0,0,"0"
"78","Chaetodon_vagabundus",-1.52287190748534,-1.52976607889677,-1.52287190748534,0,0,"0"
"79","Chanos_chanos",-1.64561397663235,-1.28979835212177,-1.64561397663235,0,0,"0"
"80","Cheilopogon_xenopterus",-1.41578975317213,-1.39371142502066,-1.41578975317213,0,0,"0"
"81","Chelidonichthys_cuculus",-1.85796469625499,-2.00931830529361,-1.85796469625499,0,0,"0"
"82","Chirodactylus_brachydactylus",-1.40632294521586,-1.41903677923102,-1.40632294521586,0,0,"0"
"83","Chlorophthalmus_agassizi",-1.473459320757,-1.45997021744015,-1.473459320757,0,0,"0"
"84","Chlorophthalmus_punctatus",-1.473459320757,-1.47810655849379,-1.473459320757,0,0,"0"
"85","Chromis_chromis",-1.11788263409129,-1.0332607844294,-1.11788263409129,0,0,"0"
"86","Chromis_punctipinnis",-1.11788263409129,-1.19777400540076,-1.11788263409129,0,0,"0"
"87","Chrysiptera_hemicyanea",-1.07525124189685,-1.11604063700152,-1.07525124189685,0,0,"0"
"88","Citharichthys_stigmaeus",-1.13596724930251,-1.05688750369642,-1.13596724930251,0,0,"0"
"89","Clinitrachus_argentatus",-1.65900997257978,-1.42537811330178,-1.65900997257978,0,0,"0"
"90","Conger_conger",-3.11191991778138,-2.78978651733304,-3.11191991778138,1,7,"Conger_conger"
"91","Coris_aygula",-0.883007709733933,-0.825314405491243,-0.883007709733933,0,0,"0"
"92","Coris_flavovittata",-0.883007709733933,-0.783739140554608,-0.883007709733933,0,0,"0"
"93","Cryptocentrus_cinctus",-1.12040003214498,-1.11243340349173,-1.12040003214498,0,0,"0"
"94","Ctenogobius_sagittula",-1.18553682892739,-1.20701821953058,-1.18553682892739,0,0,"0"
"95","Ctenolabrus_rupestris",-0.995117450313321,-0.811806824410829,-0.995117450313321,0,0,"0"
"96","Cubiceps_baxteri",-1.41275900050285,-1.40924264926954,-1.41275900050285,0,0,"0"
"97","Cynoglossus_zanzibarensis",-1.77273095500245,-2.33222481671932,-1.77273095500245,1,8,"Cynoglossus_zanzibarensis"
"98","Cynoscion_leiarchus",-1.35249518158885,-1.34274630201505,-1.35249518158885,0,0,"0"
"99","Cyttus_australis",-1.87402692328503,-1.84177760702878,-1.87402692328503,0,0,"0"
"100","Dactyloptena_orientalis",-1.9179046619791,-1.75538286035649,-1.9179046619791,0,0,"0"
"101","Decapterus_muroadsi",-2.13873835303231,-2.26992125465943,-2.13873835303231,0,0,"0"
"102","Diaphus_effulgens",-1.21287704942096,-1.18992728605396,-1.21287704942096,0,0,"0"
"103","Diaphus_subtilis",-1.21287704942096,-1.17762692813591,-1.21287704942096,0,0,"0"
"104","Diaphus_watasei",-1.21287704942096,-1.08372681804209,-1.21287704942096,0,0,"0"
