"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Abalistes_stellatus",24.864221905096,27.1,24.864221905096,0,0,"0"
"2","Abantennarius_rosaceus",27.0867026102969,26.8,27.0867026102969,0,0,"0"
"3","Abudefduf_natalensis",27.5021365633343,23.9,27.5021365633343,0,0,"0"
"4","Abudefduf_septemfasciatus",27.5021365633343,28.6,27.5021365633343,0,0,"0"
"5","Acanthemblemaria_chaplini",26.3654351559018,27.1,26.3654351559018,0,0,"0"
"6","Acanthemblemaria_hancocki",26.3654351559018,28.2,26.3654351559018,0,0,"0"
"7","Acanthemblemaria_spinosa",26.3654351559018,27.9,26.3654351559018,0,0,"0"
"8","Acanthistius_brasilianus",20.3883620119843,8.1,20.3883620119843,1,1,"Acanthistius_brasilianus"
"9","Acanthochromis_polyacanthus",26.5462150358125,27.8,26.5462150358125,0,0,"0"
"10","Acanthodraco_dewitti",1.87283354607879,0.9,1.87283354607879,0,0,"0"
"11","Acanthogobius_flavimanus",24.9150264835432,17.9,24.9150264835432,0,0,"0"
"12","Acantholiparis_opercularis",3.27948042074181,1.7,3.27948042074181,0,0,"0"
"13","Acanthopagrus_berda",25.4979754443095,27.8,25.4979754443095,0,0,"0"
"14","Acanthopagrus_butcheri",25.4979754443095,17.6,25.4979754443095,0,0,"0"
"15","Acanthostracion_guineense",25.8795687523529,19.9,25.8795687523529,0,0,"0"
"16","Acanthurus_gahhm",27.6951669700754,28.6,27.6951669700754,0,0,"0"
"17","Acanthurus_nigricans",27.6951669700754,27.4,27.6951669700754,0,0,"0"
"18","Acanthurus_pyroferus",27.6951669700754,27.6,27.6951669700754,0,0,"0"
"19","Acanthurus_thompsoni",27.6951669700754,27.6,27.6951669700754,0,0,"0"
"20","Acanthurus_triostegus",27.6951669700754,27.6,27.6951669700754,0,0,"0"
"21","Acromycter_alcocki",15.5139563781838,2.9,15.5139563781838,1,2,"Acromycter_alcocki"
"22","Acroteriobatus_ocellatus",23.9691041012766,15.9,23.9691041012766,0,0,"0"
"23","Alabes_dorsalis",17.4439089959261,17.4,17.4439089959261,0,0,"0"
"24","Aldrovandia_affinis",4.81252092309196,4,4.81252092309196,0,0,"0"
"25","Aldrovandia_mediorostris",4.81252092309196,5,4.81252092309196,0,0,"0"
"26","Aldrovandia_phalacra",4.81252092309196,5.3,4.81252092309196,0,0,"0"
"27","Alectrias_alectrolophus",12.12628820626,6,12.12628820626,0,0,"0"
"28","Alepes_vari",27.3477463689705,28.5,27.3477463689705,0,0,"0"
"29","Alepocephalus_bairdii",4.59617648230911,6.9,4.59617648230911,0,0,"0"
"30","Alepocephalus_fundulus",4.59617648230911,1.8,4.59617648230911,0,0,"0"
"31","Alepocephalus_productus",4.59617648230911,4,4.59617648230911,0,0,"0"
"32","Alionematichthys_riukiuensis",27.8587456371528,28.6,27.8587456371528,0,0,"0"
"33","Alloblennius_anuchalis",26.9877539348488,26.8,26.9877539348488,0,0,"0"
"34","Allocyttus_folletti",5.80464229301723,3.6,5.80464229301723,0,0,"0"
"35","Allocyttus_guineensis",5.80464229301723,3.1,5.80464229301723,0,0,"0"
"36","Allomycterus_pilatus",25.6197687328051,15.1,25.6197687328051,1,3,"Allomycterus_pilatus"
"37","Ammodytes_americanus",11.1606313717547,7.9,11.1606313717547,0,0,"0"
"38","Ammodytes_marinus",11.1606313717547,9.7,11.1606313717547,0,0,"0"
"39","Amphichthys_cryptocentrus",24.0834844369991,27.5,24.0834844369991,0,0,"0"
"40","Amphiprion_clarkii",27.5164651004825,27.9,27.5164651004825,0,0,"0"
"41","Anampses_chrysocephalus",27.271188969243,22.9,27.271188969243,0,0,"0"
"42","Anampses_geographicus",27.271188969243,28.3,27.271188969243,0,0,"0"
"43","Anaora_tentaculata",22.403385065453,28.9,22.403385065453,0,0,"0"
"44","Anarchias_similis",26.51638787919,24.8,26.51638787919,0,0,"0"
"45","Ancistrogobius_yanoi",27.2500667671794,28.8,27.2500667671794,0,0,"0"
"46","Andamia_amphibius",27.6812908444281,28.4,27.6812908444281,0,0,"0"
