"","label","infered","expected","errorpercent","Booleand_outliers","ID","lab"
"1","Abalistes_stellatus",-1.66419354769263,0,-1.66419354769263,0,0,"0"
"2","Abantennarius_rosaceus",-3.41234002391685,0,-3.41234002391685,0,0,"0"
"3","Abudefduf_hoefleri",-5.04874930696808,0,-5.04874930696808,0,0,"0"
"4","Abudefduf_natalensis",-5.04874930696808,0,-5.04874930696808,0,0,"0"
"5","Abudefduf_septemfasciatus",-5.04874930696808,0,-5.04874930696808,0,0,"0"
"6","Acanthaphritis_unoorum",-3.38787646147647,0,-3.38787646147647,0,0,"0"
"7","Acanthemblemaria_chaplini",-5.38059000089125,0,-5.38059000089125,0,0,"0"
"8","Acanthemblemaria_hancocki",-5.38059000089125,0,-5.38059000089125,0,0,"0"
"9","Acanthemblemaria_paula",-5.38059000089125,0,-5.38059000089125,0,0,"0"
"10","Acanthemblemaria_spinosa",-5.38059000089125,0,-5.38059000089125,0,0,"0"
"11","Acanthistius_brasilianus",-1.99997824340486,0,-1.99997824340486,0,0,"0"
"12","Acanthochromis_polyacanthus",-4.80285699257552,0,-4.80285699257552,0,0,"0"
"13","Acanthodraco_dewitti",-4.53621225754677,0,-4.53621225754677,0,0,"0"
"14","Acanthogobius_flavimanus",-2.02328110676631,0,-2.02328110676631,0,0,"0"
"15","Acanthogobius_stigmothonus",-2.02328110676631,0,-2.02328110676631,0,0,"0"
"16","Acantholiparis_opercularis",-1.13726271570357,0,-1.13726271570357,0,0,"0"
"17","Acanthopagrus_berda",-2.06718579892097,0,-2.06718579892097,0,0,"0"
"18","Acanthopagrus_butcheri",-2.06718579892097,0,-2.06718579892097,0,0,"0"
"19","Acanthopagrus_pacificus",-2.06718579892097,1,-2.06718579892097,1,1,"Acanthopagrus_pacificus"
"20","Acanthostracion_guineense",-3.99086020909085,0,-3.99086020909085,0,0,"0"
"21","Acanthurus_gahhm",-5.15679939860479,0,-5.15679939860479,0,0,"0"
"22","Acanthurus_nigricans",-5.15679939860479,0,-5.15679939860479,0,0,"0"
"23","Acanthurus_pyroferus",-5.15679939860479,0,-5.15679939860479,0,0,"0"
"24","Acanthurus_thompsoni",-5.15679939860479,0,-5.15679939860479,0,0,"0"
"25","Acanthurus_triostegus",-5.15679939860479,0,-5.15679939860479,0,0,"0"
"26","Acentrogobius_ennorensis",-4.91696442448523,0,-4.91696442448523,0,0,"0"
"27","Acentrogobius_madraspatensis",-4.91696442448523,0,-4.91696442448523,0,0,"0"
"28","Acromycter_alcocki",-2.65087241616384,0,-2.65087241616384,0,0,"0"
"29","Acropoma_boholensis",1.05021854024073,1,1.05021854024073,0,0,"0"
"30","Acroteriobatus_ocellatus",-3.51804685962819,0,-3.51804685962819,0,0,"0"
"31","Acroteriobatus_variegatus",-3.51804685962819,0,-3.51804685962819,0,0,"0"
"32","Alabes_dorsalis",-4.46247930769524,0,-4.46247930769524,0,0,"0"
"33","Alabes_springeri",-4.46247930769524,0,-4.46247930769524,0,0,"0"
"34","Aldrovandia_affinis",1.19056555799538,0,1.19056555799538,1,2,"Aldrovandia_affinis"
"35","Aldrovandia_mediorostris",1.19056555799538,1,1.19056555799538,0,0,"0"
"36","Aldrovandia_phalacra",1.19056555799538,0,1.19056555799538,1,3,"Aldrovandia_phalacra"
"37","Alectrias_alectrolophus",-2.40735340195633,0,-2.40735340195633,0,0,"0"
"38","Alectrias_mutsuensis",-2.40735340195633,0,-2.40735340195633,0,0,"0"
"39","Alepes_vari",-1.33340113643487,1,-1.33340113643487,1,4,"Alepes_vari"
"40","Alepocephalus_bairdii",-2.26167532925284,0,-2.26167532925284,0,0,"0"
"41","Alepocephalus_fundulus",-2.26167532925284,0,-2.26167532925284,0,0,"0"
"42","Alepocephalus_productus",-2.26167532925284,0,-2.26167532925284,0,0,"0"
"43","Alionematichthys_riukiuensis",-4.60154228198597,0,-4.60154228198597,0,0,"0"
"44","Alloblennius_anuchalis",-4.11366659886136,0,-4.11366659886136,0,0,"0"
"45","Allocyttus_folletti",0.823751487799167,0,0.823751487799167,1,5,"Allocyttus_folletti"
"46","Allocyttus_guineensis",0.823751487799167,1,0.823751487799167,0,0,"0"
"47","Allomycterus_pilatus",-3.04639223890323,0,-3.04639223890323,0,0,"0"
"48","Alticus_arnoldorum",-4.28960424656199,0,-4.28960424656199,0,0,"0"
"49","Amblycirrhitus_earnshawi",-3.5961226192954,0,-3.5961226192954,0,0,"0"
"50","Amblyeleotris_macronema",-4.85926166093732,0,-4.85926166093732,0,0,"0"
"51","Amblyeleotris_neglecta",-4.85926166093732,0,-4.85926166093732,0,0,"0"
"52","Ammodytes_americanus",-2.99585458753914,0,-2.99585458753914,0,0,"0"
"53","Ammodytes_marinus",-2.99585458753914,0,-2.99585458753914,0,0,"0"
"54","Ammodytoides_idai",-1.75522475441196,0,-1.75522475441196,0,0,"0"
"55","Amphichthys_cryptocentrus",-4.66203992877975,0,-4.66203992877975,0,0,"0"
"56","Amphiprion_clarkii",-5.23600808652147,0,-5.23600808652147,0,0,"0"
"57","Anampses_chrysocephalus",-4.31919680727177,0,-4.31919680727177,0,0,"0"
"58","Anampses_geographicus",-4.31919680727177,0,-4.31919680727177,0,0,"0"
"59","Anaora_tentaculata",-4.62068605239875,0,-4.62068605239875,0,0,"0"
"60","Anarchias_similis",-5.03345465332963,0,-5.03345465332963,0,0,"0"
"61","Anatolanthias_apiomycter",-3.15119928757176,1,-3.15119928757176,1,6,"Anatolanthias_apiomycter"
"62","Anchoa_choerostoma",3.44672836440364,1,3.44672836440364,1,7,"Anchoa_choerostoma"
"63","Ancistrogobius_yanoi",-4.2977408019565,0,-4.2977408019565,0,0,"0"
"64","Andamia_amphibius",-4.17483064663759,0,-4.17483064663759,0,0,"0"
"65","Andamia_heteroptera",-4.17483064663759,0,-4.17483064663759,0,0,"0"
"66","Anoplocapros_inermis",-3.72276776951882,0,-3.72276776951882,0,0,"0"
"67","Antennarius_hispidus",-3.50652228006978,0,-3.50652228006978,0,0,"0"
"68","Antennarius_randalli",-3.50652228006978,0,-3.50652228006978,0,0,"0"
"69","Anthias_menezesi",-3.55391448021537,0,-3.55391448021537,0,0,"0"
"70","Anthias_nicholsi",-3.55391448021537,0,-3.55391448021537,0,0,"0"
"71","Antigonia_undulata",-4.47237946894604,0,-4.47237946894604,0,0,"0"
"72","Aphareus_furca",-4.82523092499809,0,-4.82523092499809,0,0,"0"
"73","Aphia_minuta",-4.19749104480878,1,-4.19749104480878,1,8,"Aphia_minuta"
"74","Apionichthys_finis",-5.28367522428685,0,-5.28367522428685,0,0,"0"
"75","Apistops_caloundra",-4.23660153498616,0,-4.23660153498616,0,0,"0"
"76","Apletodon_bacescui",-2.90874477654447,0,-2.90874477654447,0,0,"0"
"77","Aplodactylus_arctidens",-3.43555772944735,0,-3.43555772944735,0,0,"0"
"78","Apogon_aurolineatus",-3.2211175358208,0,-3.2211175358208,0,0,"0"
"79","Apogon_dammermani",-3.2211175358208,0,-3.2211175358208,0,0,"0"
"80","Apogon_deetsie",-3.2211175358208,0,-3.2211175358208,0,0,"0"
"81","Apogonichthyoides_chrysurus",-2.19654213205079,0,-2.19654213205079,0,0,"0"
"82","Apogonichthyoides_erdmanni",-2.19654213205079,0,-2.19654213205079,0,0,"0"
"83","Apogonichthyoides_taeniatus",-2.19654213205079,0,-2.19654213205079,0,0,"0"
"84","Apogon_maculatus",-3.2211175358208,0,-3.2211175358208,0,0,"0"
"85","Apogon_mosavi",-3.2211175358208,0,-3.2211175358208,0,0,"0"
"86","Apogon_phenax",-3.2211175358208,0,-3.2211175358208,0,0,"0"
"87","Apogon_rubrifuscus",-3.2211175358208,1,-3.2211175358208,1,9,"Apogon_rubrifuscus"
"88","Apogon_susanae",-3.2211175358208,0,-3.2211175358208,0,0,"0"
"89","Apolemichthys_xanthotis",-4.99916604396927,0,-4.99916604396927,0,0,"0"
"90","Apristurus_gibbosus",-1.38941228425175,0,-1.38941228425175,0,0,"0"
"91","Apristurus_herklotsi",-1.38941228425175,0,-1.38941228425175,0,0,"0"
"92","Apristurus_longicephalus",-1.38941228425175,0,-1.38941228425175,0,0,"0"
"93","Apristurus_melanoasper",-1.38941228425175,1,-1.38941228425175,1,10,"Apristurus_melanoasper"
"94","Apristurus_parvipinnis",-1.38941228425175,0,-1.38941228425175,0,0,"0"
"95","Apterichtus_malabar",-4.71416178385306,0,-4.71416178385306,0,0,"0"
"96","Apterichtus_mysi",-4.71416178385306,0,-4.71416178385306,0,0,"0"
"97","Aptychotrema_timorensis",-3.42664108763068,0,-3.42664108763068,0,0,"0"
"98","Araiophos_eastropas",1.49209228656705,1,1.49209228656705,0,0,"0"
"99","Arcos_poecilophthalmos",-4.33379860153877,0,-4.33379860153877,0,0,"0"
"100","Arctoscopus_japonicus",-4.20124929682521,0,-4.20124929682521,0,0,"0"
"101","Arenigobius_leftwichi",-4.26725830272914,0,-4.26725830272914,0,0,"0"
"102","Argentina_brasiliensis",-1.16491733943097,0,-1.16491733943097,0,0,"0"
"103","Argyripnus_iridescens",-0.556741437839475,1,-0.556741437839475,1,11,"Argyripnus_iridescens"
"104","Argyrosomus_thorpei",-4.17555559455612,0,-4.17555559455612,0,0,"0"
"105","Ariosoma_meeki",-4.65183861911798,0,-4.65183861911798,0,0,"0"
"106","Ariosoma_mellissii",-4.65183861911798,0,-4.65183861911798,0,0,"0"
"107","Arius_arius",-4.98775859198778,0,-4.98775859198778,0,0,"0"
"108","Arius_jella",-4.98775859198778,0,-4.98775859198778,0,0,"0"
"109","Arius_venosus",-4.98775859198778,0,-4.98775859198778,0,0,"0"
"110","Arnoglossus_fisoni",-6.87855708370356,0,-6.87855708370356,0,0,"0"
"111","Arnoglossus_scapha",-6.87855708370356,0,-6.87855708370356,0,0,"0"
"112","Arothron_nigropunctatus",-3.07101156377611,0,-3.07101156377611,0,0,"0"
"113","Arothron_stellatus",-3.07101156377611,0,-3.07101156377611,0,0,"0"
"114","Arripis_trutta",0.556222285082403,1,0.556222285082403,0,0,"0"
"115","Aseraggodes_albidus",-5.30234153290339,0,-5.30234153290339,0,0,"0"
"116","Aseraggodes_auroculus",-5.30234153290339,0,-5.30234153290339,0,0,"0"
"117","Aseraggodes_bahamondei",-5.30234153290339,0,-5.30234153290339,0,0,"0"
"118","Aseraggodes_senoui",-5.30234153290339,0,-5.30234153290339,0,0,"0"
"119","Aseraggodes_umbratilis",-5.30234153290339,0,-5.30234153290339,0,0,"0"
"120","Askoldia_variegata",-4.45802424311753,0,-4.45802424311753,0,0,"0"
"121","Assessor_flavissimus",-3.18966513896669,0,-3.18966513896669,0,0,"0"
"122","Asterropteryx_bipunctata",-4.43958026567083,0,-4.43958026567083,0,0,"0"
"123","Asthenomacrurus_victoris",-0.372483159674561,0,-0.372483159674561,0,0,"0"
"124","Astrabe_fasciata",-4.26611849468835,0,-4.26611849468835,0,0,"0"
