V1
Argyrosomusregius;4
Aristaeomorphafoliacea;2
Aristeusantennatus;2
Atherinaboyeri;5
Auxisspp;5
Belonebelone;5
Boopsboops;4
Caranxspp;5
Chelidonichthysspp;4
Lizaspp;1
Corisjulis;3
Coryphaenahippurus;5
Crangoncrangon;3
Crystallogobiuslinearis;4
Dentexdentex;3
Dentexgibbosus;3
Dentexspp;4
Dicentrarchusspp;3
Diplodusannularis;3
Diplodusspp;3
Diplodussargussargus;3
Diplodusvulgaris;3
Eledonespp;4
Eledonespp.1;4
Engraulisencrasicolus;4
Epinephelusspp;3
Epinephelusmarginatus;4
Etrumeusteres;3
Euphausiids;5
Eutriglagurnardus;4
Galeusspp;2
Gobiusspp;3
Zosterisessorophiocephalus;3
Halobatrachusdidactylus;3
Illexspp;5
Lepidorhombusspp;1
Loligospp;4
Lophiusbudegassa;1
Lophiuspiscatorius;1
Merlangiusmerlangus;3
Merlucciusmerluccius;1
Micromesistiuspoutassou;5
Mugilcephalus;3
Mullusbarbatusbarbatus;4
Mullussurmuletus;4
Mustelusspp;1
Nephropsnorvegicus;1
Octopusspp;4
Pagellusspp;4
Pagelluserythrinus;4
Pagrusspp;4
Palaemonspp;3
Palinurusspp;3
Parapenaeuslongirostris;1
Penaeusspp;3
Phycisspp;1
Platichthysflesusflesus;3
Pomatomussaltatrix;5
Pomatoschistusmarmoratus;3
Pomatoschistusminutus;3
Rhinobatosrhinobatos;3
Sardasarda;5
Sardinapilchardus;5
Sardinellaspp;1
Sauridaundosquamis;4
Sciaenaumbra;3
Scombercolias;5
Scombercolias.1;5
Scomberscombrus;5
Scophthalmusspp;3
Scorpaenaspp;1
Scyliorhinusspp;1
Sepiaspp;4
Serioladumerili;5
Serranusspp;3
Soleaspp;3
Sparusaurata;3
Sphyraenaspp;1
Spicaraspp;3
Spicarasmaris;2
Spondyliosomacantharus;4
Sprattussprattus;3
Squillamantis;4
Stephanolepisdiaspros;3
Thunnusalalunga;5
Thunnusthynnus;5
Trachurusmediterraneus;4
Trachuruspicturatus;1
Trachurustrachurus;5
Trachyrincusscabrus;2
Triglaspp;1
Trisopterusluscus;3
Trisopterusminutus;4
Upeneusmoluccensis;3
Xiphiasgladius;5
